knot,reference,F_knot,F_reference,Delta_RT_ren,half_Delta_RT_ren,status
0_1,0_1,941.3282617687901,941.3282617687901,0.0,0.0,FINITE_RT_CORRECTION_FROM_CONSTANT_TERM
3_1,0_1,512.8912087306653,941.3282617687901,-428.43705303812476,-214.21852651906238,FINITE_RT_CORRECTION_FROM_CONSTANT_TERM
4_1,0_1,471.6498285446622,941.3282617687901,-469.67843322412784,-234.83921661206392,FINITE_RT_CORRECTION_FROM_CONSTANT_TERM
5_1,0_1,847.9513637401544,941.3282617687901,-93.37689802863565,-46.688449014317825,FINITE_RT_CORRECTION_FROM_CONSTANT_TERM
5_1_2,0_1,868.2288882193067,941.3282617687901,-73.0993735494834,-36.5496867747417,FINITE_RT_CORRECTION_FROM_CONSTANT_TERM
