status,fit_model,M_min,M_max,n_points,n_params,rms,A_M,A_M_se,A_sqrtM,A_sqrtM_se,A_logM,A_logM_se,F,F_se,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se,knot,id,L_database,n_eigenvalues,S_all
PASS_FIT,hk+inv_sqrt+inv,160,639,480,6,0.0009802738387602581,-0.07320958367530968,0.001828291303863413,11.27466638918599,0.2694196339475258,-160.09146950960306,3.6777224399910464,941.3282617687901,21.298529395050203,-3954.6841958180776,88.17106331353227,8883.66506442594,195.76667479666935,0_1,0:1:1,6.283185,639,2.8364682811865474
PASS_FIT,hk+inv_sqrt+inv,160,639,480,6,0.0005964974301825037,-0.03708804788527442,0.0011125167491552958,5.864877062101034,0.1639420669367815,-86.00115864360446,2.237897103480392,512.8912087306653,12.960172503309108,-2195.9119402315187,53.6521639193143,5057.407692303336,119.12418123824504,3_1,3:1:1,16.371637,639,2.933397513423846
PASS_FIT,hk+inv_sqrt+inv,160,639,480,6,0.0005535878700826144,-0.03500925871189524,0.001032486891699905,5.4489044501792225,0.15214875213243845,-79.20249220879737,2.0769120339725826,471.6498285446622,12.02787125137324,-2013.9238236086821,49.792648964689,4623.897817591622,110.55487992100609,4_1,4:1:1,21.043322,639,2.9447164794540157
PASS_FIT,hk+inv_sqrt+inv,160,639,480,6,0.0008690820082263971,-0.06682313638511514,0.001620909398126938,10.193370932242038,0.2388595382927496,-144.21075600478972,3.2605607509519556,847.9513637401544,18.882650915512336,-3564.231433300106,78.16987635709212,8022.606542840646,173.56098688838233,5_1,5:1:1,23.598564,639,2.8930398100554027
PASS_FIT,hk+inv_sqrt+inv,160,639,480,6,0.0009109543189525282,-0.06891736270860456,0.0016990047002213712,10.476689006540765,0.25036777423898127,-147.79866535853415,3.4176543412149845,868.2288882193067,19.792415723647025,-3644.8311978042234,81.93609556456046,8191.845323185652,181.92314316838113,5_1_2,5:1:2,24.734148,639,2.8929219247532876
