t,phi_model_real,phi_model_imag,phi_model_abs
20.0,1.5067262416365996e-06,3.5211813291749104e-06,3.830005472602662e-06
20.01,1.4572860526318097e-06,3.734253183777265e-06,4.008532085408054e-06
20.02,1.4012579631031137e-06,3.950141263265304e-06,4.191317200941859e-06
20.03,1.338634865544534e-06,4.1683950260541645e-06,4.378065828249335e-06
20.04,1.2694287539370354e-06,4.3885381620458776e-06,4.568447937872899e-06
20.05,1.1936704730682739e-06,4.610068846832317e-06,4.7620986939383015e-06
20.06,1.1114094076115309e-06,4.832460107967063e-06,4.958618917241015e-06
20.07,1.0227131165771603e-06,5.055160304405693e-06,5.15757576988046e-06
20.08,9.276669173828436e-07,5.277593719564054e-06,5.3585036510567515e-06
20.09,8.263734222168407e-07,5.499161268318264e-06,5.560905293917359e-06
20.1,7.189520277358484e-07,5.719241318729797e-06,5.764253054824332e-06
20.11,6.055383576269827e-07,5.937190630378951e-06,5.967990389068768e-06
20.12,4.862836563536087e-07,6.152345412891292e-06,6.171533510721719e-06
20.13,3.61354131688775e-07,6.364022510444965e-06,6.3742732387260265e-06
20.14,2.3093024355471566e-07,6.571520720727473e-06,6.57557703630174e-06
20.15,9.520593742628836e-08,6.774122259675406e-06,6.774791255791653e-06
20.16,-4.561217785080091e-08,6.971094386304195e-06,6.971243605952252e-06
20.17,-1.9130570535509436e-07,7.161691204671567e-06,7.164245862892444e-06
20.18,-3.4164538253394683e-07,7.3451556623604946e-06,7.353096849063883e-06
20.19,-4.963920403472368e-07,7.520721766440848e-06,7.5370857064211e-06
20.2,-6.552975834625069e-07,7.68761703852467e-06,7.715495489850707e-06
20.21,-8.18105970032736e-07,7.845065229874467e-06,7.88760710476812e-06
20.22,-9.845541634593709e-07,7.992289315492557e-06,8.052703608312034e-06
20.23,-1.1543730223792038e-06,8.128514782429667e-06,8.210074886563125e-06
20.24,-1.3272880893961303e-06,8.252973222132335e-06,8.359022710669365e-06
20.25,-1.5030202340731997e-06,8.364906229518722e-06,8.498866162769866e-06
20.26,-1.6812861020480713e-06,8.46356960266437e-06,8.62894740835082e-06
20.27,-1.8617983201263438e-06,8.548237826700782e-06,8.748637775486157e-06
20.28,-2.0442654073937027e-06,8.618208814145838e-06,8.857344083871166e-06
20.29,-2.2283913451209554e-06,8.672808861715057e-06,8.954515148172635e-06
20.3,-2.4138747637442573e-06,8.711397771459092e-06,9.039648361945493e-06
20.31,-2.6004077137789e-06,8.73337407222903e-06,9.112296250855932e-06
20.32,-2.7876739990408137e-06,8.738180267009355e-06,9.172072868424012e-06
20.33,-2.9753470649419707e-06,8.725308023059204e-06,9.218659894698368e-06
20.34,-3.163087451429533e-06,8.694303216012245e-06,9.251812289349145e-06
20.35,-3.3505398388004303e-06,8.644770736675088e-06,9.271363346405035e-06
20.36,-3.5373297344074496e-06,8.576378970712081e-06,9.277228998962755e-06
20.37,-3.7230598681711583e-06,8.48886386723269e-06,9.269411229328182e-06
20.38,-3.907306383817914e-06,8.382032522336267e-06,9.248000453207554e-06
20.39,-4.089614929822278e-06,8.255766218009664e-06,9.213176765950759e-06
20.4,-4.269496768082543e-06,8.110022874727066e-06,9.165209963839539e-06
20.41,-4.446425028423418e-06,7.944838897069712e-06,9.104458283378648e-06
20.42,-4.619831242491019e-06,7.760330414583308e-06,9.031365835387405e-06
20.43,-4.789102290898062e-06,7.556693943790711e-06,8.94645874705787e-06
20.44,-4.953577892552006e-06,7.334206520472409e-06,8.850340062535448e-06
20.45,-5.112548755106806e-06,7.093225372721736e-06,8.743683489329173e-06
20.46,-5.26525549092149e-06,6.834187223641357e-06,8.627226112283232e-06
20.47,-5.410888384723098e-06,6.557607326851923e-06,8.501760227453687e-06
20.48,-5.548588078298631e-06,6.264078347386413e-06,8.36812447355039e-06
