t,phi_model_real,phi_model_imag,phi_model_abs
20.0,-3.1735932542368904e-06,2.3712868890304574e-06,3.961653146531842e-06
20.01,-3.0550138296350783e-06,2.273147114701902e-06,3.807926903754741e-06
20.02,-2.944929314502481e-06,2.174345410045133e-06,3.6606538527427567e-06
20.03,-2.8427668850260596e-06,2.0754130655330356e-06,3.5197532520314546e-06
20.04,-2.7479588192082287e-06,1.9767972975467836e-06,3.385115245845043e-06
20.05,-2.659949447713063e-06,1.8788694320464443e-06,3.256605810820148e-06
20.06,-2.5782005445497943e-06,1.7819329701675944e-06,3.134071339023278e-06
20.07,-2.5021953471752533e-06,1.686231368113184e-06,3.0173428347197053e-06
20.08,-2.4314413936818038e-06,1.5919554086974562e-06,2.9062397138210047e-06
20.09,-2.365472356805894e-06,1.4992500806050316e-06,2.8005732047220305e-06
20.1,-2.3038490423529973e-06,1.4082209138523793e-06,2.7001493573804495e-06
20.11,-2.2461597047958723e-06,1.3189397463897008e-06,2.6047716740734123e-06
20.12,-2.1920198165531153e-06,1.2314499177107298e-06,2.5142433804210993e-06
20.13,-2.141071410737342e-06,1.1457709013771106e-06,2.4283693591213237e-06
20.14,-2.0929821007389024e-06,1.0619024001530095e-06,2.3469577715553707e-06
20.15,-2.047443864397662e-06,9.798279356457097e-07,2.2698213941478667e-06
20.16,-2.004171666058888e-06,8.995179696017178e-07,2.196778697245049e-06
20.17,-1.9629019767232406e-06,8.209325968915254e-07,2.1276546944612676e-06
20.18,-1.923391240852273e-06,7.440238512411343e-07,2.0622815900363695e-06
20.19,-1.8854143282335895e-06,6.687376644019616e-07,2.0004992509117088e-06
20.2,-1.8487630005297317e-06,5.950155180485766e-07,1.9421555290054174e-06
20.21,-1.8132444147078983e-06,5.227958255840647e-07,1.8871064577064834e-06
20.22,-1.7786796793043723e-06,4.520150784603331e-07,1.8352163449375132e-06
20.23,-1.7449024743217072e-06,3.826087887862461e-07,1.7863577833543018e-06
20.24,-1.711757741352583e-06,3.1451225704461043e-07,1.7404115964081003e-06
20.25,-1.6791004471338109e-06,2.4766119079982284e-07,1.6972667371374923e-06
20.26,-1.6467944210579875e-06,1.8199219741698922e-07,1.6568201547387023e-06
20.27,-1.6147112650734361e-06,1.1744317109346414e-07,1.6189766422007284e-06
20.28,-1.5827293328111317e-06,5.395359197367061e-08,1.5836486766412653e-06
20.29,-1.5507327735828891e-06,-8.535247222392492e-09,1.5507562624439818e-06
20.3,-1.5186106360286998e-06,-7.008007374465703e-08,1.5202267859091117e-06
20.31,-1.4862560255856768e-06,-1.3073551513140472e-07,1.491994888900899e-06
20.32,-1.4535653095399005e-06,-1.90554017601079e-07,1.4660023679113683e-06
20.33,-1.420437363168758e-06,-2.4958579431494627e-07,1.442198104079199e-06
20.34,-1.3867728503251499e-06,-3.0787879663204476e-07,1.4205380289927252e-06
20.35,-1.3524735317323233e-06,-3.6547870261600393e-07,1.4009851305786157e-06
20.36,-1.3174415942104648e-06,-4.2242891804971257e-07,1.3835095030249924e-06
20.37,-1.2815789940190798e-06,-4.787705860655543e-07,1.3680884445066084e-06
20.38,-1.2447868074474373e-06,-5.345426022330968e-07,1.3547066064640395e-06
20.39,-1.206964581697561e-06,-5.897816325791009e-07,1.3433561983331294e-06
20.4,-1.1680096789677208e-06,-6.445221325572568e-07,1.334037251923061e-06
20.41,-1.1278166064322222e-06,-6.987963654662267e-07,1.3267579500922926e-06
20.42,-1.0862763245243693e-06,-7.526344192399039e-07,1.3215350249791944e-06
20.43,-1.0432755255290048e-06,-8.0606422092202e-07,1.318394231790493e-06
20.44,-9.986958739849678e-07,-8.591115485174523e-07,1.3173709050645737e-06
