ell,q0_m_inv,q_edge_m_inv,n_line_m_inv,M2_m_inv3,x1_m,f_edge_Hz,omega_edge_rad_s
1,1.5707963267948965e+06,1.5707963267948965e+06,5.0000000000000000e+05,4.1123351671205658e+17,1.9999999999999999e-06,2.7346140749999994e+11,1.7182086976846492e+12
2,1.5707963267948965e+06,3.1415926535897930e+06,5.0000000000000000e+05,1.6449340668482263e+18,9.9999999999999995e-07,5.4692281499999988e+11,3.4364173953692983e+12
4,1.5707963267948965e+06,6.2831853071795860e+06,5.0000000000000000e+05,6.5797362673929052e+18,4.9999999999999998e-07,1.0938456299999998e+12,6.8728347907385967e+12
8,1.5707963267948965e+06,1.2566370614359172e+07,5.0000000000000000e+05,2.6318945069571621e+19,2.4999999999999999e-07,2.1876912599999995e+12,1.3745669581477193e+13
13,1.5707963267948965e+06,2.0420352248333655e+07,5.0000000000000000e+05,6.9498464324337558e+19,1.5384615384615385e-07,3.5549982974999995e+12,2.2336713069900441e+13
21,1.5707963267948965e+06,3.2986722862692825e+07,5.0000000000000000e+05,1.8135398087001696e+20,9.5238095238095240e-08,5.7426895574999990e+12,3.6082382651377633e+13
28,1.5707963267948965e+06,4.3982297150257103e+07,5.0000000000000000e+05,3.2240707710225233e+20,7.1428571428571423e-08,7.6569194099999990e+12,4.8109843535170180e+13
34,1.5707963267948965e+06,5.3407075111026481e+07,5.0000000000000000e+05,4.7538594531913735e+20,5.8823529411764709e-08,9.2976878550000000e+12,5.8419095721278078e+13
