ell,q_edge_m_inv,x1_m,f_edge_hz,n_line_m_inv,m2_line_m_inv3,q2_mean_m_inv2,barrier_qcrit,m2_line_ratio,spectral_power_fraction,classification
1.0,25026988055613.656,1.2552819566656247e-13,4.3569718507926124e+18,7966337719505.472,1.6632388917615167e+39,2.087833770452762e+26,0.0004144761212226737,nan,2.0707176132264583e-34,allowed
2.0,50053976111227.31,6.276409783328124e-14,8.713943701585225e+18,7966337719505.472,6.652955567046067e+39,8.351335081811048e+26,0.0016579044848906948,nan,0.20154274744864417,allowed
4.0,100107952222454.62,3.138204891664062e-14,1.742788740317045e+19,7966337719505.472,2.6611822268184267e+40,3.340534032724419e+27,0.006631617939562779,nan,0.52837034028417,allowed
8.0,200215904444909.25,1.569102445832031e-14,3.48557748063409e+19,7966337719505.472,1.0644728907273707e+41,1.3362136130897677e+28,0.026526471758251118,nan,0.6851681623111057,allowed
13.0,325350844722977.5,9.656015051274038e-15,5.664063406030396e+19,7966337719505.472,2.8108737270769633e+41,3.528439072065168e+28,0.07004646448663186,nan,0.8040393056451216,allowed
21.0,525566749167886.75,5.977533126979166e-15,9.149640886664485e+19,7966337719505.472,7.33488351266829e+41,9.207346927696682e+28,0.1827839694591991,nan,0.8743868998703043,allowed
28.0,700755665557182.4,4.483149845234374e-15,1.2199521182219316e+20,7966337719505.472,1.303979291141029e+42,1.6368616760349652e+29,0.3249492790385761,nan,0.9035259539444971,allowed
34.0,850917593890864.2,3.692005754898897e-15,1.481370429269488e+20,7966337719505.472,1.9227041588763135e+42,2.413535838643393e+29,0.4791343961334108,nan,0.929280420850799,allowed
55.0,1376484343058751.0,2.2823308303011362e-15,2.396334517935937e+20,7966337719505.472,5.031297647578588e+42,6.315697155619605e+29,1.2537902666985878,nan,0.9500546695035234,suppressed
89.0,2227401936949615.5,1.4104291647928367e-15,3.877704947205426e+20,7966337719505.472,1.3174515261642973e+43,1.6537731295756328e+30,3.2830653562047982,nan,0.9626179863582837,suppressed
