quantity,model,status,n_rows,n_params
alpha_inv_pred_blind_with_soft,h+a+Rinv,SKIP_UNDERDETERMINED,3,4
S_total_soft_plus_RT,h+a+Rinv,SKIP_UNDERDETERMINED,3,4
S_ren,h+a+Rinv,SKIP_UNDERDETERMINED,3,4
alpha_inv_pred_blind_with_soft,h+a+Rinv+Ninv,SKIP_UNDERDETERMINED,3,5
S_total_soft_plus_RT,h+a+Rinv+Ninv,SKIP_UNDERDETERMINED,3,5
S_ren,h+a+Rinv+Ninv,SKIP_UNDERDETERMINED,3,5
alpha_inv_pred_blind_with_soft,h+h2+a+Rinv,SKIP_UNDERDETERMINED,3,5
S_total_soft_plus_RT,h+h2+a+Rinv,SKIP_UNDERDETERMINED,3,5
S_ren,h+h2+a+Rinv,SKIP_UNDERDETERMINED,3,5
