r_m,avg_vtheta_mps,far_vtheta_mps,rel_deviation,hexapole_over_mean
6e-13,83.0058840095716,7705.979316274286,-0.9892283795994272,256.16159958115924
6.554185041430453e-13,150.17116975414223,7054.405026006822,-0.9787124258955192,197.84004661443905
7.159556926218446e-13,474.4997094749806,6457.92419476811,-0.9265244225289302,94.20810235951963
7.820843484848451e-13,-53632.333243956426,5911.878429381668,-10.07196145600814,0.7316841048547852
8.543209229960417e-13,-48779.7669201446,5412.003224209918,-10.013255332505056,0.2952202289242686
9.332295690136186e-13,-44608.8472531224,4954.394656238222,-10.003894592239257,0.050680327778735774
1.0194265469082738e-12,-40833.114693987256,4535.478896235369,-10.003043697961068,0.018515953547503804
1.1135850374305508e-12,-37410.21716540138,4151.984297878933,-10.010201985713824,0.24806258618480181
1.2164403991146803e-12,-34503.82321940261,3800.9158468673,-10.077765625313837,0.8239459637923107
1.3287959112781872e-12,99.12749090611273,3479.531770471116,-0.9715112556961389,159.23341808032802
1.4515290474689061e-12,25.56651264544,3185.3221248495993,-0.9919736492438274,267.8918147257765
1.5855983283537487e-12,10.411339071021487,2915.989192902986,-0.9964295687047261,320.28537570182937
1.7320508075688776e-12,4.9874576771078445,2669.4295395723875,-0.9981316391374364,349.41294757574116
1.8920302489942446e-12,2.5992185346965475,2443.717584442613,-0.9989363670535236,367.6140009653128
2.066786059315334e-12,1.425842934293156,2237.0905633533403,-0.9993626351308033,380.26714984430936
2.2576830456335913e-12,0.8092585602006771,2047.9347615719091,-0.9996048416310002,390.0000058005456
2.4662120743304702e-12,0.4703879769977648,1874.772911011632,-0.9997490960242519,398.21849180229833
2.6940017144286546e-12,0.27817246771104037,1716.252653070469,-0.9998379186961701,405.7383985631753
2.942830956382712e-12,0.16660573170976437,1571.1359769872145,-0.9998939584261642,413.07368660907815
3.214643105630339e-12,0.10072982945726486,1438.2895512309015,-0.9999299655417985,420.5794806159648
3.5115609594099814e-12,0.061325906298108204,1316.6758724135702,-0.999953423687953,428.52860152694257
3.835903385372676e-12,0.03752378356242725,1205.3451626012127,-0.9999688688479228,437.1560260126453
4.1902034314636685e-12,0.023039016157273936,1103.4279517425525,-0.9999791205070336,446.68755365497566
4.577228108508286e-12,0.014175615122162397,1010.1282872859473,-0.9999859665199949,457.36110096890815
5e-12,0.00873048176004193,924.7175179529142,-0.9999905587581175,469.44554176251563
