t abs_dw_stable abs_dw_unstable
108.8019999999 0.0002064963 0.1232913242
109.0019999999 0.0001977726 0.1212157539
109.2019999999 0.0001883702 0.1191159993
109.4019999999 0.0001783622 0.1169987728
109.6019999999 0.0001678287 0.1148708670
109.8019999999 0.0001568506 0.1127391331
110.0019999999 0.0001455013 0.1106104606
110.2019999999 0.0001338461 0.1084917548
110.4019999999 0.0001219505 0.1063899102
110.6019999999 0.0001098846 0.1043117857
110.8019999999 0.0000977178 0.1022641844
111.0019999999 0.0000855099 0.1002538353
111.2019999999 0.0000733114 0.0982873728
111.4019999999 0.0000611717 0.0963713127
111.6019999999 0.0000491442 0.0945120293
111.8019999999 0.0000372807 0.0927157355
112.0019999999 0.0000256230 0.0909884633
112.2019999999 0.0000142033 0.0893360425
112.4019999999 0.0000030527 0.0877640753
112.6019999999 0.0000077937 0.0862779112
112.8019999999 0.0000183023 0.0848826232
113.0019999999 0.0000284491 0.0835829832
113.2019999999 0.0000382193 0.0823834362
113.4019999999 0.0000475987 0.0812880723
113.6019999999 0.0000565686 0.0803006000
113.8019999999 0.0000651112 0.0794243194
114.0019999999 0.0000732173 0.0786620974
114.2019999999 0.0000808865 0.0780163442
114.4019999999 0.0000881182 0.0774889925
114.6019999999 0.0000949063 0.0770814789
114.8019999999 0.0001012450 0.0767947295
115.0019999999 0.0001071363 0.0766291486
115.2019999999 0.0001125901 0.0765846140
115.4019999999 0.0001176153 0.0766604767
115.6019999999 0.0001222147 0.0768555662
115.8019999999 0.0001263904 0.0771681998
116.0019999999 0.0001301516 0.0775961967
116.2019999999 0.0001335149 0.0781368972
116.4019999999 0.0001364949 0.0787871883
116.6019999999 0.0001390996 0.0795435322
116.8019999999 0.0001413354 0.0804019964
117.0019999999 0.0001432159 0.0813582859
117.2019999999 0.0001447605 0.0824077794
117.4019999999 0.0001459869 0.0835455666
117.6019999999 0.0001469052 0.0847664877
117.8019999999 0.0001475238 0.0860651695
118.0019999999 0.0001478572 0.0874360611
118.2019999999 0.0001479263 0.0888734703
118.4019999999 0.0001477488 0.0903716001
118.6019999999 0.0001473354 0.0919245831
118.8019999999 0.0001466941 0.0935265116
119.0019999999 0.0001458391 0.0951714650
119.2019999999 0.0001447903 0.0968535372
119.4019999999 0.0001435650 0.0985668619
119.6019999999 0.0001421722 0.1003056366
119.8019999999 0.0001406188 0.1020641403
120.0019999999 0.0001389174 0.1038367494
120.2019999999 0.0001370864 0.1056179519
120.4019999999 0.0001351407 0.1074023619
120.6019999999 0.0001330833 0.1091847328
120.8019999999 0.0001309011 0.1109599663
121.0019999999 0.0001285647 0.1127231209
121.2019999999 0.0001260310 0.1144694176
121.4019999999 0.0001232458 0.1161942434
121.6019999999 0.0001201479 0.1178931537
121.8019999999 0.0001166720 0.1195618733
122.0019999999 0.0001127531 0.1211962962
122.2019999999 0.0001083306 0.1227924845
122.4019999999 0.0001033511 0.1243466670
122.6019999999 0.0000977705 0.1258552371
122.8019999999 0.0000915555 0.1273147495
123.0019999999 0.0000846851 0.1287219182
123.2019999999 0.0000771514 0.1300736134
123.4019999999 0.0000689606 0.1313668591
123.6019999999 0.0000601317 0.1325988305
123.8019999999 0.0000506961 0.1337668517
124.0019999999 0.0000406962 0.1348683938
124.2019999999 0.0000301854 0.1359010741
124.4019999999 0.0000192269 0.1368626549
124.6019999999 0.0000078915 0.1377510436
124.8019999999 0.0000037442 0.1385642930
125.0019999999 0.0000155987 0.1393006022
125.2019999999 0.0000275872 0.1399583188
125.4019999999 0.0000396222 0.1405359415
125.6019999999 0.0000516160 0.1410321232
125.8019999999 0.0000634818 0.1414456742
126.0019999999 0.0000751352 0.1417755677
126.2019999999 0.0000864943 0.1420209441
126.4019999999 0.0000974805 0.1421811174
126.6019999999 0.0001080202 0.1422555807
126.8019999999 0.0001180455 0.1422440128
127.0019999999 0.0001274944 0.1421462850
127.2019999999 0.0001363112 0.1419624681
127.4019999999 0.0001444463 0.1416928395
127.6019999999 0.0001518568 0.1413378903
127.8019999999 0.0001585073 0.1408983318
128.0019999999 0.0001643696 0.1403751021
128.2019999999 0.0001694220 0.1397693722
128.4019999999 0.0001736490 0.1390825520
128.6019999999 0.0001770416 0.1383162946
128.8019999999 0.0001795976 0.1374725004
129.0019999999 0.0001813209 0.1365533197
129.2019999999 0.0001822205 0.1355611553
129.4019999999 0.0001823103 0.1344986631
129.6019999999 0.0001816089 0.1333687515
129.8019999999 0.0001801397 0.1321745792
130.0019999999 0.0001779302 0.1309195521
130.2019999999 0.0001750111 0.1296073184
130.4019999999 0.0001714157 0.1282417629
130.6019999999 0.0001671799 0.1268269983
130.8019999999 0.0001623424 0.1253673565
131.0019999999 0.0001569436 0.1238673769
131.2019999999 0.0001510253 0.1223317948
131.4019999999 0.0001446297 0.1207655270
131.6019999999 0.0001377997 0.1191736566
131.8019999999 0.0001305791 0.1175614161
132.0019999999 0.0001230118 0.1159341689
132.2019999999 0.0001151413 0.1142973903
132.4019999999 0.0001070101 0.1126566461
132.6019999999 0.0000986600 0.1110175710
