t dw_unstable
0.0020000000 -0.0000000000
0.2020000000 0.0027182005
0.4020000000 0.0073806500
0.6020000000 0.0080029815
0.8020000000 0.0042183458
1.0020000000 0.0017768931
1.2020000000 0.0046321985
1.4020000000 0.0094383030
1.6020000000 0.0102219651
1.8020000000 0.0066204002
2.0020000000 0.0043746256
2.2020000000 0.0074294560
2.4020000000 0.0124443045
2.6020000000 0.0134624854
2.8020000000 0.0101272564
3.0020000000 0.0081658941
3.2020000000 0.0115099026
3.4020000000 0.0168266030
3.6020000000 0.0181840914
3.8020000000 0.0152346489
4.0020000000 0.0136846581
4.2020000000 0.0174451177
4.4020000000 0.0231949982
4.6020000000 0.0250397812
4.8020000000 0.0226452963
5.0020000000 0.0216856956
5.2020000000 0.0260398152
5.4020000000 0.0324037992
5.6020000000 0.0349400885
5.8020000000 0.0333349617
6.0020000000 0.0332119160
6.2020000000 0.0383982244
6.4020000000 0.0456153519
6.6020000000 0.0491135462
6.8020000000 0.0486100395
7.0020000000 0.0496468836
7.2020000000 0.0559666462
7.4020000000 0.0643281179
7.6020000000 0.0691186202
7.8020000000 0.0701020897
8.0020000000 0.0726863176
8.2020000000 0.0804715052
8.4020000000 0.0902715751
8.6020000000 0.0966903099
8.8020000000 0.0995610869
9.0020000000 0.1040654706
9.2020000000 0.1135611796
9.4020000000 0.1249448526
9.6020000000 0.1331648139
9.8020000000 0.1381545877
10.0020000000 0.1447114136
10.2020000000 0.1557841774
10.4020000000 0.1684009912
10.6020000000 0.1780596177
10.8020000000 0.1848322609
11.0020000000 0.1928777951
11.2020000000 0.2044923370
11.4020000000 0.2169395871
11.6020000000 0.2265855327
11.8020000000 0.2336886726
12.0020000000 0.2414212331
12.2020000000 0.2511563904
12.4020000000 0.2606237621
12.6020000000 0.2675061700
12.8020000000 0.2723009454
13.0020000000 0.2768336630
13.2020000000 0.2814002729
13.4020000000 0.2845860129
13.6020000000 0.2858477391
13.8020000000 0.2859170733
14.0020000000 0.2850269984
14.2020000000 0.2824511593
14.4020000000 0.2779866730
14.6020000000 0.2730069296
14.8020000000 0.2683087432
15.0020000000 0.2624675044
15.2020000000 0.2539056191
15.4020000000 0.2436610584
15.6020000000 0.2346944763
15.8020000000 0.2276140222
16.0020000000 0.2194945358
16.2020000000 0.2081031930
16.4020000000 0.1954594012
16.6020000000 0.1855949340
16.8020000000 0.1788101719
17.0020000000 0.1710284413
17.2020000000 0.1595677185
17.4020000000 0.1471241419
17.6020000000 0.1383908397
17.8020000000 0.1334014503
18.0020000000 0.1273127378
18.2020000000 0.1171698221
18.4020000000 0.1061115710
18.6020000000 0.0992358909
18.8020000000 0.0964004012
19.0020000000 0.0922930215
19.2020000000 0.0838043428
19.4020000000 0.0743571618
19.6020000000 0.0693006028
19.8020000000 0.0683895608
20.0020000000 0.0660341684
20.2020000000 0.0615317727
20.4020000000 0.0576113438
20.6020000000 0.0541558635
