t dw_unstable
20.8020000000 0.0507957628
21.0020000000 0.0474008419
21.2020000000 0.0442457980
21.4020000000 0.0416138881
21.6020000000 0.0393860786
21.8020000000 0.0371893308
22.0020000000 0.0348962554
22.2020000000 0.0327893099
22.4020000000 0.0311574020
22.6020000000 0.0298825131
22.8020000000 0.0285921809
23.0020000000 0.0271629078
23.2020000000 0.0258829399
23.4020000000 0.0250452939
23.6020000000 0.0245341268
23.8020000000 0.0239798405
24.0020000000 0.0232631960
24.2020000000 0.0226762301
24.4020000000 0.0225142676
24.6020000000 0.0226641682
24.8020000000 0.0227610698
25.0020000000 0.0226903913
25.2020000000 0.0227460293
25.4020000000 0.0232236181
25.6020000000 0.0240131211
25.8020000000 0.0247565818
26.0020000000 0.0253448131
26.2020000000 0.0260714341
26.4020000000 0.0272298482
26.6020000000 0.0287135180
26.8020000000 0.0301743069
27.0020000000 0.0315095675
27.2020000000 0.0330096725
27.4020000000 0.0349619230
27.6020000000 0.0372634827
27.8020000000 0.0395799902
28.0020000000 0.0418167158
28.2020000000 0.0442557888
28.4020000000 0.0471717416
28.6020000000 0.0504648321
28.8020000000 0.0538195515
29.0020000000 0.0571500565
29.2020000000 0.0607211170
29.4020000000 0.0647826563
29.6020000000 0.0692355001
29.8020000000 0.0737889383
30.0020000000 0.0783653188
30.2020000000 0.0831960229
30.4020000000 0.0884868328
30.6020000000 0.0941339939
30.8020000000 0.0998784411
31.0020000000 0.1056475927
31.2020000000 0.1116159341
31.4020000000 0.1179197170
31.6020000000 0.1244465627
31.8020000000 0.1309800089
32.0020000000 0.1374511349
32.2020000000 0.1439562039
32.4020000000 0.1505457225
32.6020000000 0.1571088740
32.8020000000 0.1634947918
33.0020000000 0.1696496474
33.2020000000 0.1755938077
33.4020000000 0.1813076139
33.6020000000 0.1867143976
33.8020000000 0.1917593789
34.0020000000 0.1964260823
34.2020000000 0.2006867725
34.4020000000 0.2044880713
34.6020000000 0.2078125999
34.8020000000 0.2107059159
35.0020000000 0.2131925872
35.2020000000 0.2152149936
35.4020000000 0.2167007185
35.6020000000 0.2176787004
35.8020000000 0.2182644482
36.0020000000 0.2185052738
36.2020000000 0.2183122656
36.4020000000 0.2175877551
36.6020000000 0.2163846962
36.8020000000 0.2148649539
37.0020000000 0.2130888792
37.2020000000 0.2109367920
37.4020000000 0.2082850946
37.6020000000 0.2052069032
37.8020000000 0.2019087932
38.0020000000 0.1984663775
38.2020000000 0.1947331739
38.4020000000 0.1905635551
38.6020000000 0.1860536378
38.8020000000 0.1814551020
39.0020000000 0.1768570514
39.2020000000 0.1720850088
39.4020000000 0.1669707943
39.6020000000 0.1616298326
39.8020000000 0.1563503792
40.0020000000 0.1512262836
40.2020000000 0.1461024478
40.4020000000 0.1409598318
40.6020000000 0.1358372182
40.8020000000 0.1307555311
41.0020000000 0.1257171396
41.2020000000 0.1207292449
41.4020000000 0.1158190648
41.6020000000 0.1110189290
41.8020000000 0.1063415182
42.0020000000 0.1017798358
42.2020000000 0.0973325757
42.4020000000 0.0930200128
42.6020000000 0.0888678930
42.8020000000 0.0848815281
43.0020000000 0.0810462867
43.2020000000 0.0773543220
43.4020000000 0.0738208292
43.6020000000 0.0704670055
43.8020000000 0.0672933679
44.0020000000 0.0642806158
44.2020000000 0.0614171934
44.4020000000 0.0587156633
44.6020000000 0.0561950151
44.8020000000 0.0538535568
45.0020000000 0.0516700547
45.2020000000 0.0496317057
45.4020000000 0.0477504288
45.6020000000 0.0460447914
45.8020000000 0.0445128273
46.0020000000 0.0431334067
46.2020000000 0.0418942389
46.4020000000 0.0408078824
46.6020000000 0.0398935457
46.8020000000 0.0391502120
47.0020000000 0.0385582329
47.2020000000 0.0381069545
47.4020000000 0.0378101909
47.6020000000 0.0376881598
47.8020000000 0.0377413788
48.0020000000 0.0379525036
48.2020000000 0.0383130692
48.4020000000 0.0388380490
48.6020000000 0.0395482297
48.8020000000 0.0404455049
49.0020000000 0.0415150050
49.2020000000 0.0427502390
49.4020000000 0.0441661768
49.6020000000 0.0457824743
49.8020000000 0.0476010507
50.0020000000 0.0496085729
50.2020000000 0.0517989774
50.4020000000 0.0541843037
50.6020000000 0.0567793928
50.8020000000 0.0595829944
51.0020000000 0.0625806637
51.2020000000 0.0657633311
51.4020000000 0.0691350485
51.6020000000 0.0727001701
51.8020000000 0.0764495612
52.0020000000 0.0803639064
52.2020000000 0.0844269632
52.4020000000 0.0886297690
52.6020000000 0.0929616970
52.8020000000 0.0974031482
53.0020000000 0.1019290038
53.2020000000 0.1065157160
53.4020000000 0.1111422791
53.6020000000 0.1157861489
53.8020000000 0.1204223513
54.0020000000 0.1250262461
54.2020000000 0.1295745036
54.4020000000 0.1340435267
54.6020000000 0.1384096485
54.8020000000 0.1426527191
55.0020000000 0.1467573450
55.2020000000 0.1507088667
55.4020000000 0.1544899222
55.6020000000 0.1580834180
55.8020000000 0.1614786931
56.0020000000 0.1646715044
56.2020000000 0.1676567650
56.4020000000 0.1704239172
56.6020000000 0.1729617242
56.8020000000 0.1752663726
57.0020000000 0.1773410111
57.2020000000 0.1791864251
57.4020000000 0.1807955144
57.6020000000 0.1821595616
57.8020000000 0.1832782366
58.0020000000 0.1841590543
58.2020000000 0.1848062249
58.4020000000 0.1852141767
58.6020000000 0.1853752223
58.8020000000 0.1852915229
59.0020000000 0.1849744585
59.2020000000 0.1844314897
59.4020000000 0.1836586034
59.6020000000 0.1826494265
59.8020000000 0.1814092282
60.0020000000 0.1799540905
60.2020000000 0.1782962580
60.4020000000 0.1764416844
60.6020000000 0.1743972413
60.8020000000 0.1721711438
61.0020000000 0.1697718640
61.2020000000 0.1672077640
61.4020000000 0.1644879679
61.6020000000 0.1616232348
61.8020000000 0.1586255167
62.0020000000 0.1555066780
62.2020000000 0.1522780488
62.4020000000 0.1489513652
62.6020000000 0.1455396976
62.8020000000 0.1420569142
63.0020000000 0.1385162514
63.2020000000 0.1349298362
63.4020000000 0.1313097368
63.6020000000 0.1276689774
63.8020000000 0.1240209623
64.0020000000 0.1203779642
64.2020000000 0.1167506744
64.4020000000 0.1131493878
64.6020000000 0.1095851243
64.8020000000 0.1060690477
65.0020000000 0.1026109220
65.2020000000 0.0992187124
65.4020000000 0.0958998934
65.6020000000 0.0926626551
65.8020000000 0.0895153246
66.0020000000 0.0864648105
66.2020000000 0.0835162501
66.4020000000 0.0806743971
66.6020000000 0.0779448696
66.8020000000 0.0753335648
67.0020000000 0.0728451048
67.2020000000 0.0704825151
67.4020000000 0.0682486391
67.6020000000 0.0661473764
67.8020000000 0.0641830856
68.0020000000 0.0623590494
68.2020000000 0.0606771769
68.4020000000 0.0591393875
68.6020000000 0.0577487870
68.8020000000 0.0565090577
69.0020000000 0.0554229782
69.2020000000 0.0544921451
69.4020000000 0.0537182641
69.6020000000 0.0531042001
69.8020000000 0.0526533587
70.0020000000 0.0523683115
70.2020000000 0.0522505393
70.4019999999 0.0523015488
70.6019999999 0.0525237183
70.8019999999 0.0529196860
71.0019999999 0.0534911512
71.2019999999 0.0542386473
71.4019999999 0.0551623980
71.6019999999 0.0562628876
71.8019999999 0.0575403032
72.0019999999 0.0589936231
72.2019999999 0.0606204583
72.4019999999 0.0624176077
72.6019999999 0.0643813562
72.8019999999 0.0665070931
73.0019999999 0.0687888350
73.2019999999 0.0712192215
73.4019999999 0.0737898249
73.6019999999 0.0764912883
73.8019999999 0.0793132534
74.0019999999 0.0822443886
74.2019999999 0.0852725697
74.4019999999 0.0883850117
74.6019999999 0.0915683209
74.8019999999 0.0948086830
75.0019999999 0.0980922336
75.2019999999 0.1014052894
75.4019999999 0.1047342717
75.6019999999 0.1080656101
75.8019999999 0.1113859930
76.0019999999 0.1146828267
76.2019999999 0.1179443835
76.4019999999 0.1211594991
76.6019999999 0.1243172986
76.8019999999 0.1274074087
77.0019999999 0.1304204232
77.2019999999 0.1333479756
77.4019999999 0.1361822807
77.6019999999 0.1389157408
77.8019999999 0.1415411473
78.0019999999 0.1440521900
78.2019999999 0.1464435182
78.4019999999 0.1487101945
78.6019999999 0.1508472351
78.8019999999 0.1528498432
79.0019999999 0.1547140019
79.2019999999 0.1564365590
79.4019999999 0.1580146216
79.6019999999 0.1594450489
79.8019999999 0.1607247372
80.0019999999 0.1618513162
80.2019999999 0.1628232773
80.4019999999 0.1636395016
80.6019999999 0.1642990882
80.8019999999 0.1648014037
81.0019999999 0.1651460964
81.2019999999 0.1653330657
81.4019999999 0.1653624551
81.6019999999 0.1652347058
81.8019999999 0.1649506277
82.0019999999 0.1645114169
82.2019999999 0.1639186221
82.4019999999 0.1631741343
82.6019999999 0.1622802425
82.8019999999 0.1612397052
83.0019999999 0.1600557594
83.2019999999 0.1587320705
83.4019999999 0.1572727050
83.6019999999 0.1556821746
83.8019999999 0.1539654951
84.0019999999 0.1521281739
84.2019999999 0.1501761308
84.4019999999 0.1481156452
84.6019999999 0.1459533797
84.8019999999 0.1436964210
85.0019999999 0.1413522424
85.2019999999 0.1389285967
85.4019999999 0.1364334397
85.6019999999 0.1338749412
85.8019999999 0.1312615138
86.0019999999 0.1286017626
86.2019999999 0.1259043642
86.4019999999 0.1231779837
86.6019999999 0.1204312869
86.8019999999 0.1176729756
87.0019999999 0.1149117406
87.2019999999 0.1121561463
87.4019999999 0.1094145584
87.6019999999 0.1066951728
87.8019999999 0.1040060675
88.0019999999 0.1013551722
88.2019999999 0.0987501695
88.4019999999 0.0961984429
88.6019999999 0.0937071239
88.8019999999 0.0912831615
89.0019999999 0.0889333074
89.2019999999 0.0866640350
89.4019999999 0.0844815039
89.6019999999 0.0823916166
89.8019999999 0.0804000919
90.0019999999 0.0785124557
90.2019999999 0.0767339705
90.4019999999 0.0750696037
90.6019999999 0.0735240767
90.8019999999 0.0721019211
91.0019999999 0.0708074602
91.2019999999 0.0696447370
91.4019999999 0.0686174742
91.6019999999 0.0677290945
91.8019999999 0.0669827402
92.0019999999 0.0663812347
92.2019999999 0.0659270052
92.4019999999 0.0656220298
92.6019999999 0.0654678228
92.8019999999 0.0654654184
93.0019999999 0.0656153223
93.2019999999 0.0659174485
93.4019999999 0.0663710763
93.6019999999 0.0669748282
93.8019999999 0.0677266518
94.0019999999 0.0686238015
94.2019999999 0.0696628312
94.4019999999 0.0708396011
94.6019999999 0.0721492904
94.8019999999 0.0735864190
95.0019999999 0.0751448881
95.2019999999 0.0768180423
95.4019999999 0.0785987330
95.6019999999 0.0804793696
95.8019999999 0.0824519720
96.0019999999 0.0845082461
96.2019999999 0.0866396769
96.4019999999 0.0888376075
96.6019999999 0.0910932898
96.8019999999 0.0933979272
97.0019999999 0.0957427399
97.2019999999 0.0981190444
97.4019999999 0.1005183118
97.6019999999 0.1029321879
97.8019999999 0.1053525041
98.0019999999 0.1077713127
98.2019999999 0.1101809401
98.4019999999 0.1125740167
98.6019999999 0.1149434662
98.8019999999 0.1172824861
99.0019999999 0.1195845601
99.2019999999 0.1218434918
99.4019999999 0.1240534166
99.6019999999 0.1262087713
99.8019999999 0.1283042574
100.0019999999 0.1303348406
100.2019999999 0.1322957799
100.4019999999 0.1341826365
100.6019999999 0.1359912604
100.8019999999 0.1377177747
101.0019999999 0.1393585631
101.2019999999 0.1409102567
101.4019999999 0.1423697205
101.6019999999 0.1437340415
101.8019999999 0.1450005210
102.0019999999 0.1461666712
102.2019999999 0.1472302110
102.4019999999 0.1481890596
102.6019999999 0.1490413341
102.8019999999 0.1497853505
103.0019999999 0.1504196285
103.2019999999 0.1509428954
103.4019999999 0.1513540886
103.6019999999 0.1516523591
103.8019999999 0.1518370801
104.0019999999 0.1519078588
104.2019999999 0.1518645457
104.4019999999 0.1517072414
104.6019999999 0.1514363039
104.8019999999 0.1510523607
105.0019999999 0.1505563217
105.2019999999 0.1499493896
105.4019999999 0.1492330653
105.6019999999 0.1484091535
105.8019999999 0.1474797710
106.0019999999 0.1464473555
106.2019999999 0.1453146696
106.4019999999 0.1440847999
106.6019999999 0.1427611530
106.8019999999 0.1413474550
107.0019999999 0.1398477508
107.2019999999 0.1382663978
107.4019999999 0.1366080522
107.6019999999 0.1348776551
107.8019999999 0.1330804200
108.0019999999 0.1312218216
108.2019999999 0.1293075777
108.4019999999 0.1273436271
108.6019999999 0.1253361053
108.8019999999 0.1232913242
109.0019999999 0.1212157539
109.2019999999 0.1191159993
109.4019999999 0.1169987728
109.6019999999 0.1148708670
109.8019999999 0.1127391331
110.0019999999 0.1106104606
110.2019999999 0.1084917548
110.4019999999 0.1063899102
110.6019999999 0.1043117857
110.8019999999 0.1022641844
111.0019999999 0.1002538353
111.2019999999 0.0982873728
111.4019999999 0.0963713127
111.6019999999 0.0945120293
111.8019999999 0.0927157355
112.0019999999 0.0909884633
112.2019999999 0.0893360425
112.4019999999 0.0877640753
112.6019999999 0.0862779112
112.8019999999 0.0848826232
113.0019999999 0.0835829832
113.2019999999 0.0823834362
113.4019999999 0.0812880723
113.6019999999 0.0803006000
113.8019999999 0.0794243194
114.0019999999 0.0786620974
114.2019999999 0.0780163442
114.4019999999 0.0774889925
114.6019999999 0.0770814789
114.8019999999 0.0767947295
115.0019999999 0.0766291486
115.2019999999 0.0765846140
115.4019999999 0.0766604767
115.6019999999 0.0768555662
115.8019999999 0.0771681998
116.0019999999 0.0775961967
116.2019999999 0.0781368972
116.4019999999 0.0787871883
116.6019999999 0.0795435322
116.8019999999 0.0804019964
117.0019999999 0.0813582859
117.2019999999 0.0824077794
117.4019999999 0.0835455666
117.6019999999 0.0847664877
117.8019999999 0.0860651695
118.0019999999 0.0874360611
118.2019999999 0.0888734703
118.4019999999 0.0903716001
118.6019999999 0.0919245831
118.8019999999 0.0935265116
119.0019999999 0.0951714650
119.2019999999 0.0968535372
119.4019999999 0.0985668619
119.6019999999 0.1003056366
119.8019999999 0.1020641403
120.0019999999 0.1038367494
120.2019999999 0.1056179519
120.4019999999 0.1074023619
120.6019999999 0.1091847328
120.8019999999 0.1109599663
121.0019999999 0.1127231209
121.2019999999 0.1144694176
121.4019999999 0.1161942434
121.6019999999 0.1178931537
121.8019999999 0.1195618733
122.0019999999 0.1211962962
122.2019999999 0.1227924845
122.4019999999 0.1243466670
122.6019999999 0.1258552371
122.8019999999 0.1273147495
123.0019999999 0.1287219182
123.2019999999 0.1300736134
123.4019999999 0.1313668591
123.6019999999 0.1325988305
123.8019999999 0.1337668517
124.0019999999 0.1348683938
124.2019999999 0.1359010741
124.4019999999 0.1368626549
124.6019999999 0.1377510436
124.8019999999 0.1385642930
125.0019999999 0.1393006022
125.2019999999 0.1399583188
125.4019999999 0.1405359415
125.6019999999 0.1410321232
125.8019999999 0.1414456742
126.0019999999 0.1417755677
126.2019999999 0.1420209441
126.4019999999 0.1421811174
126.6019999999 0.1422555807
126.8019999999 0.1422440128
127.0019999999 0.1421462850
127.2019999999 0.1419624681
127.4019999999 0.1416928395
127.6019999999 0.1413378903
127.8019999999 0.1408983318
128.0019999999 0.1403751021
128.2019999999 0.1397693722
128.4019999999 0.1390825520
128.6019999999 0.1383162946
128.8019999999 0.1374725004
129.0019999999 0.1365533197
129.2019999999 0.1355611553
129.4019999999 0.1344986631
129.6019999999 0.1333687515
129.8019999999 0.1321745792
130.0019999999 0.1309195521
130.2019999999 0.1296073184
130.4019999999 0.1282417629
130.6019999999 0.1268269983
130.8019999999 0.1253673565
131.0019999999 0.1238673769
131.2019999999 0.1223317948
131.4019999999 0.1207655270
131.6019999999 0.1191736566
131.8019999999 0.1175614161
132.0019999999 0.1159341689
132.2019999999 0.1142973903
132.4019999999 0.1126566461
132.6019999999 0.1110175710
132.8019999999 0.1093858448
133.0019999999 0.1077671680
133.2019999999 0.1061672368
133.4019999999 0.1045917162
133.6019999999 0.1030462134
133.8019999999 0.1015362493
134.0019999999 0.1000672306
134.2019999999 0.0986444212
134.4019999999 0.0972729140
134.6019999999 0.0959576023
134.8019999999 0.0947031525
135.0019999999 0.0935139778
135.2019999999 0.0923942128
135.4019999999 0.0913476897
135.6019999999 0.0903779171
135.8019999999 0.0894880608
136.0019999999 0.0886809272
136.2019999999 0.0879589489
136.4019999999 0.0873241745
136.6019999999 0.0867782608
136.8019999999 0.0863224678
137.0019999999 0.0859576580
137.2019999999 0.0856842979
137.4019999999 0.0855024625
137.6019999999 0.0854118435
137.8019999999 0.0854117595
138.0019999999 0.0855011689
138.2019999999 0.0856786848
138.4019999999 0.0859425920
138.6019999999 0.0862908657
138.8019999999 0.0867211915
139.0019999999 0.0872309861
139.2019999999 0.0878174195
139.4019999999 0.0884774369
139.6019999999 0.0892077811
139.8019999999 0.0900050156
140.0019999999 0.0908655465
140.2019999999 0.0917856441
140.4019999999 0.0927614646
140.6019999999 0.0937890703
140.8019999999 0.0948644494
141.0019999999 0.0959835354
141.2019999999 0.0971422246
141.4019999999 0.0983363929
141.6019999999 0.0995619117
141.8019999999 0.1008146620
142.0019999999 0.1020905477
142.2019999999 0.1033855076
142.4019999999 0.1046955257
142.6019999999 0.1060166412
142.8019999999 0.1073449570
143.0019999999 0.1086766462
143.2019999999 0.1100079597
143.4019999999 0.1113352305
143.6019999999 0.1126548789
143.8019999999 0.1139634160
144.0019999999 0.1152574468
144.2019999999 0.1165336728
144.4019999999 0.1177888937
144.6019999999 0.1190200092
144.8019999999 0.1202240196
145.0019999999 0.1213980270
145.2019999999 0.1225392357
145.4019999999 0.1236449528
145.6019999999 0.1247125883
145.8019999999 0.1257396555
146.0019999999 0.1267237715
146.2019999999 0.1276626575
146.4019999999 0.1285541397
146.6019999999 0.1293961499
146.8019999999 0.1301867264
147.0019999999 0.1309240159
147.2019999999 0.1316062748
147.4019999999 0.1322318710
147.6019999999 0.1327992868
147.8019999999 0.1333071212
148.0019999999 0.1337540931
148.2019999999 0.1341390447
148.4019999999 0.1344609457
148.6019999999 0.1347188968
148.8019999999 0.1349121348
149.0019999999 0.1350400372
149.2019999999 0.1351021271
149.4019999999 0.1350980787
149.6019999999 0.1350277225
149.8019999999 0.1348910511
150.0019999999 0.1346882245
150.2019999999 0.1344195756
150.4019999999 0.1340856159
150.6019999999 0.1336870403
150.8019999999 0.1332247322
151.0019999999 0.1326997679
151.2019999999 0.1321134205
151.4019999999 0.1314671636
151.6019999999 0.1307626735
151.8019999999 0.1300018312
152.0019999999 0.1291867238
152.2019999999 0.1283196436
152.4019999999 0.1274030874
152.6019999999 0.1264397543
152.8019999999 0.1254325411
153.0019999999 0.1243845381
153.2019999999 0.1232990218
153.4019999999 0.1221794473
153.6019999999 0.1210294382
153.8019999999 0.1198527755
154.0019999999 0.1186533847
154.2019999999 0.1174353213
154.4019999999 0.1162027550
154.6019999999 0.1149599518
154.8019999999 0.1137112559
155.0019999999 0.1124610686
155.2019999999 0.1112138283
155.4019999999 0.1099739874
155.6019999999 0.1087459902
155.8019999999 0.1075342494
156.0019999999 0.1063431226
156.2019999999 0.1051768888
156.4019999999 0.1040397254
156.6019999999 0.1029356851
156.8019999999 0.1018686745
157.0019999999 0.1008424329
157.2019999999 0.0998605127
157.4019999999 0.0989262613
157.6019999999 0.0980428047
157.8019999999 0.0972130324
158.0019999999 0.0964395849
158.2019999999 0.0957248428
158.4019999999 0.0950709178
158.6019999999 0.0944796463
158.8019999999 0.0939525846
159.0019999999 0.0934910065
159.2019999999 0.0930959027
159.4019999999 0.0927679821
159.6019999999 0.0925076753
159.8019999999 0.0923151391
160.0019999999 0.0921902632
160.2019999999 0.0921326784
160.4019999999 0.0921417651
160.6019999999 0.0922166645
160.8019999999 0.0923562890
161.0019999999 0.0925593352
161.2019999999 0.0928242959
161.4019999999 0.0931494741
161.6019999999 0.0935329963
161.8019999999 0.0939728265
162.0019999999 0.0944667805
162.2019999999 0.0950125396
162.4019999999 0.0956076647
162.6019999999 0.0962496099
162.8019999999 0.0969357361
163.0019999999 0.0976633235
163.2019999999 0.0984295848
163.4019999999 0.0992316764
163.6019999999 0.1000667105
163.8019999999 0.1009317655
164.0019999999 0.1018238966
164.2019999999 0.1027401452
164.4019999999 0.1036775476
164.6019999999 0.1046331437
164.8019999999 0.1056039846
165.0019999999 0.1065871394
165.2019999999 0.1075797020
165.4019999999 0.1085787966
165.6019999999 0.1095815832
165.8019999999 0.1105852626
166.0019999999 0.1115870802
166.2019999999 0.1125843306
166.4019999999 0.1135743601
166.6019999999 0.1145545709
166.8019999999 0.1155224228
167.0019999999 0.1164754366
167.2019999999 0.1174111957
167.4019999999 0.1183273484
167.6019999999 0.1192216099
167.8019999999 0.1200917638
168.0019999999 0.1209356639
168.2019999999 0.1217512360
168.4019999999 0.1225364793
168.6019999999 0.1232894682
168.8019999999 0.1240083541
169.0019999999 0.1246913671
169.2019999999 0.1253368181
169.4019999999 0.1259431006
169.6019999999 0.1265086933
169.8019999999 0.1270321625
170.0019999999 0.1275121645
170.2019999999 0.1279474486
170.4019999999 0.1283368601
170.6019999999 0.1286793440
170.8019999999 0.1289739476
171.0019999999 0.1292198251
171.2019999999 0.1294162410
171.4019999999 0.1295625742
171.6019999999 0.1296583222
171.8019999999 0.1297031056
172.0019999999 0.1296966723
172.2019999999 0.1296389017
172.4019999999 0.1295298098
172.6019999999 0.1293695525
172.8019999999 0.1291584306
173.0019999999 0.1288968936
173.2019999999 0.1285855427
173.4019999999 0.1282251350
173.6019999999 0.1278165859
173.8019999999 0.1273609712
174.0019999999 0.1268595291
174.2019999999 0.1263136610
174.4019999999 0.1257249315
174.6019999999 0.1250950681
174.8019999999 0.1244259589
175.0019999999 0.1237196499
175.2019999999 0.1229783416
175.4019999999 0.1222043836
175.6019999999 0.1214002682
175.8019999999 0.1205686236
176.0019999999 0.1197122048
176.2019999999 0.1188338837
176.4019999999 0.1179366388
176.6019999999 0.1170235427
176.8019999999 0.1160977489
177.0019999999 0.1151624784
177.2019999999 0.1142210046
177.4019999999 0.1132766379
177.6019999999 0.1123327096
177.8019999999 0.1113925560
178.0019999999 0.1104595013
178.2019999999 0.1095368411
178.4019999999 0.1086278260
178.6019999999 0.1077356449
178.8019999999 0.1068634095
179.0019999999 0.1060141385
179.2019999999 0.1051907436
179.4019999999 0.1043960147
179.6019999999 0.1036326081
179.8019999999 0.1029030338
180.0019999999 0.1022096454
180.2019999999 0.1015546300
180.4019999999 0.1009400006
180.6019999999 0.1003675887
180.8019999999 0.0998390388
181.0019999999 0.0993558040
181.2019999999 0.0989191428
181.4019999999 0.0985301174
181.6019999999 0.0981895935
181.8019999999 0.0978982401
182.0019999999 0.0976565319
182.2019999999 0.0974647517
182.4019999999 0.0973229944
182.6019999999 0.0972311712
182.8019999999 0.0971890156
183.0019999999 0.0971960891
183.2019999999 0.0972517881
183.4019999999 0.0973553511
183.6019999999 0.0975058668
183.8019999999 0.0977022820
184.0019999999 0.0979434099
184.2019999999 0.0982279388
184.4019999999 0.0985544411
184.6019999999 0.0989213818
184.8019999999 0.0993271274
185.0019999999 0.0997699550
185.2019999999 0.1002480602
185.4019999999 0.1007595663
185.6019999999 0.1013025324
185.8019999999 0.1018749612
186.0019999999 0.1024748070
186.2019999999 0.1030999832
186.4019999999 0.1037483695
186.6019999999 0.1044178186
186.8019999999 0.1051061630
187.0019999999 0.1058112209
187.2019999999 0.1065308021
187.4019999999 0.1072627139
187.6019999999 0.1080047656
187.8019999999 0.1087547739
188.0019999999 0.1095105672
188.2019999999 0.1102699899
188.4019999999 0.1110309062
188.6019999999 0.1117912040
188.8019999999 0.1125487984
189.0019999999 0.1133016345
189.2019999999 0.1140476908
189.4019999999 0.1147849820
189.6019999999 0.1155115615
189.8019999999 0.1162255239
190.0019999999 0.1169250080
190.2019999999 0.1176081983
190.4019999999 0.1182733280
190.6019999999 0.1189186808
190.8019999999 0.1195425934
191.0019999999 0.1201434578
191.2019999999 0.1207197233
191.4019999999 0.1212698988
191.6019999999 0.1217925557
191.8019999999 0.1222863296
192.0019999999 0.1227499234
192.2019999999 0.1231821097
192.4019999999 0.1235817336
192.6019999999 0.1239477154
192.8019999999 0.1242790537
193.0019999999 0.1245748285
193.2019999999 0.1248342041
193.4019999999 0.1250564328
193.6019999999 0.1252408575
193.8019999999 0.1253869160
194.0019999999 0.1254941435
194.2019999999 0.1255621765
194.4019999999 0.1255907561
194.6019999999 0.1255797311
194.8019999999 0.1255290614
195.0019999999 0.1254388209
195.2019999999 0.1253092001
195.4019999999 0.1251405089
195.6019999999 0.1249331788
195.8019999999 0.1246877643
196.0019999999 0.1244049448
196.2019999999 0.1240855253
196.4019999999 0.1237304364
196.6019999999 0.1233407346
196.8019999999 0.1229176010
197.0019999999 0.1224623398
197.2019999999 0.1219763759
197.4019999999 0.1214612520
197.6019999999 0.1209186245
197.8019999999 0.1203502593
198.0019999999 0.1197580256
198.2019999999 0.1191438906
198.4019999999 0.1185099120
198.6019999999 0.1178582302
198.8019999999 0.1171910605
199.0019999999 0.1165106837
199.2019999999 0.1158194366
199.4019999999 0.1151197022
