t omega_inst
0.00200000 0.9488847242
0.20200000 0.9462185924
0.40200000 0.9421744749
0.60200000 0.9427235431
0.80200000 0.9474653280
1.00200000 0.9501789193
1.20200000 0.9474129719
1.40200000 0.9432762551
1.60200000 0.9437416165
1.80200000 0.9484073364
2.00200000 0.9510497792
2.20200000 0.9482166380
2.40200000 0.9440175932
2.60200000 0.9444265953
2.80200000 0.9490410931
3.00200000 0.9516356392
3.20200000 0.9487572819
3.40200000 0.9445162989
3.60200000 0.9448873712
3.80200000 0.9494673929
4.00200000 0.9520297076
4.20200000 0.9491209311
4.40200000 0.9448517356
4.60200000 0.9451972885
4.80200000 0.9497541127
5.00200000 0.9522947434
5.20200000 0.9493655056
5.40200000 0.9450773340
5.60200000 0.9454057205
5.80200000 0.9499469395
6.00200000 0.9524729843
6.20200000 0.9495299850
6.40200000 0.9452290509
6.60200000 0.9455458913
6.80200000 0.9500766141
7.00200000 0.9525928487
7.20200000 0.9496405945
7.40200000 0.9453310775
7.60200000 0.9456401529
7.80200000 0.9501638163
8.00200000 0.9526734534
8.20200000 0.9497149753
8.40200000 0.9453996865
8.60200000 0.9457035398
8.80200000 0.9502224557
9.00200000 0.9527276561
9.20200000 0.9497649927
9.40200000 0.9454458225
9.60200000 0.9457461641
9.80200000 0.9502618875
10.00200000 0.9527641042
10.20200000 0.9497986264
10.40200000 0.9454768463
10.60200000 0.9457748264
10.80200000 0.9502884029
11.00200000 0.9527886133
11.20200000 0.9498212429
11.40200000 0.9454977077
11.60200000 0.9457940999
11.80200000 0.9503062327
12.00200000 0.9528050939
12.20200000 0.9498364509
12.40200000 0.9455117356
12.60200000 0.9458070599
12.80200000 0.9503182219
13.00200000 0.9528161760
13.20200000 0.9498466772
13.40200000 0.9455211683
13.60200000 0.9458157746
13.80200000 0.9503262838
14.00200000 0.9528236279
14.20200000 0.9498535537
14.40200000 0.9455275111
14.60200000 0.9458216346
14.80200000 0.9503317049
15.00200000 0.9528286387
15.20200000 0.9498581776
15.40200000 0.9455317762
15.60200000 0.9458255750
15.80200000 0.9503353501
16.00200000 0.9528320081
16.20200000 0.9498612868
16.40200000 0.9455346441
16.60200000 0.9458282246
16.80200000 0.9503378013
17.00200000 0.9528342738
17.20200000 0.9498633775
17.40200000 0.9455365726
17.60200000 0.9458300063
17.80200000 0.9503394495
18.00200000 0.9528357972
18.20200000 0.9498647833
18.40200000 0.9455378693
18.60200000 0.9458312044
18.80200000 0.9503405578
19.00200000 0.9528368217
19.20200000 0.9498657287
19.40200000 0.9455387413
19.60200000 0.9458320099
19.80200000 0.9503413030
20.00200000 0.9528375105
20.20200000 0.9524629488
20.40200000 0.9518170170
20.60200000 0.9510637196
20.80200000 0.9505991733
21.00200000 0.9504962729
21.20200000 0.9503956365
21.40200000 0.9499954710
21.60200000 0.9494624286
21.80200000 0.9491950462
22.00200000 0.9492684836
22.20200000 0.9493254467
22.40200000 0.9490659851
22.60200000 0.9486583850
22.80200000 0.9485026897
23.00200000 0.9486754442
23.20200000 0.9488206037
23.40200000 0.9486393250
23.60200000 0.9483009006
23.80200000 0.9482063106
24.00200000 0.9484329409
24.20200000 0.9486254839
24.40200000 0.9484857529
24.60200000 0.9481836574
24.80200000 0.9481207586
25.00200000 0.9483749474
25.20200000 0.9485913427
25.40200000 0.9484721413
25.60200000 0.9481876280
25.80200000 0.9481397221
26.00200000 0.9484066138
26.20200000 0.9486336629
26.40200000 0.9485232846
26.60200000 0.9482459901
26.80200000 0.9482039175
27.00200000 0.9484754315
27.20200000 0.9487060225
27.40200000 0.9485982268
27.60200000 0.9483226897
27.80200000 0.9482816822
28.00200000 0.9485536681
28.20200000 0.9487842047
28.40200000 0.9486758920
28.60200000 0.9483994539
28.80200000 0.9483572407
29.00200000 0.9486277707
29.20200000 0.9488566323
29.40200000 0.9487464564
29.60200000 0.9484680115
29.80200000 0.9484236950
30.00200000 0.9486920536
30.20200000 0.9489186869
30.40200000 0.9488062387
30.60200000 0.9485255024
30.80200000 0.9484789024
31.00200000 0.9487449987
31.20200000 0.9489693926
31.40200000 0.9488547310
31.60200000 0.9485718205
31.80200000 0.9485231003
32.00200000 0.9487871362
32.20200000 0.9490095259
32.40200000 0.9488929151
32.60200000 0.9486081164
32.80200000 0.9485575775
33.00200000 0.9488198653
33.20200000 0.9490405723
33.40200000 0.9489223407
33.60200000 0.9486359860
33.80200000 0.9485839598
34.00200000 0.9488448283
34.20200000 0.9490641784
34.40200000 0.9489446486
34.60200000 0.9486570549
34.80200000 0.9486038510
35.00200000 0.9488636010
35.20200000 0.9490818872
35.40200000 0.9489613443
35.60200000 0.9486727880
35.80200000 0.9486186726
36.00200000 0.9488775603
36.20200000 0.9490950293
36.40200000 0.9489737109
36.60200000 0.9486844202
36.80200000 0.9486296115
37.00200000 0.9488878453
37.20200000 0.9491046962
37.40200000 0.9489827930
37.60200000 0.9486929499
37.80200000 0.9486376211
38.00200000 0.9488953653
38.20200000 0.9491117545
38.40200000 0.9489894155
38.60200000 0.9486991616
38.80200000 0.9486434466
39.00200000 0.9489008281
39.20200000 0.9491168759
39.40200000 0.9489942152
39.60200000 0.9487036585
39.80200000 0.9486476595
40.00200000 0.9489047745
40.20200000 0.9491917414
40.40200000 0.9494184417
40.60200000 0.9495720093
40.80200000 0.9496653871
41.00200000 0.9497312566
41.20200000 0.9497871775
41.40200000 0.9498202482
41.60200000 0.9498127120
41.80200000 0.9497731865
42.00200000 0.9497305324
42.20200000 0.9496989417
42.40200000 0.9496625518
42.60200000 0.9496010042
42.80200000 0.9495206314
43.00200000 0.9494482915
43.20200000 0.9493964270
43.40200000 0.9493476526
43.60200000 0.9492802841
43.80200000 0.9491995013
44.00200000 0.9491311632
44.20200000 0.9490868515
44.40200000 0.9490484415
44.60200000 0.9489936149
44.80200000 0.9489270087
45.00200000 0.9488740209
45.20200000 0.9488458442
45.40200000 0.9488240279
45.60200000 0.9487859807
45.80200000 0.9487361143
46.00200000 0.9486996422
46.20200000 0.9486876089
46.40200000 0.9486814451
46.60200000 0.9486584670
46.80200000 0.9486230164
47.00200000 0.9486002573
47.20200000 0.9486012003
47.40200000 0.9486072552
47.60200000 0.9485957285
47.80200000 0.9485709625
48.00200000 0.9485581304
48.20200000 0.9485682582
48.40200000 0.9485827747
48.60200000 0.9485790095
48.80200000 0.9485613319
49.00200000 0.9485549454
49.20200000 0.9485709074
49.40200000 0.9485906778
49.60200000 0.9485916175
49.80200000 0.9485781288
50.00200000 0.9485754485
50.20200000 0.9485946659
50.40200000 0.9486172718
50.60200000 0.9486206561
50.80200000 0.9486092507
51.00200000 0.9486083213
51.20200000 0.9486289847
51.40200000 0.9486527562
51.60200000 0.9486570496
51.80200000 0.9486463197
52.00200000 0.9486458551
52.20200000 0.9486667929
52.40200000 0.9486906671
52.60200000 0.9486949088
52.80200000 0.9486839894
53.00200000 0.9486832138
53.20200000 0.9487037339
53.40200000 0.9487270962
53.60200000 0.9487307434
53.80200000 0.9487191589
54.00200000 0.9487176580
54.20200000 0.9487374025
54.40200000 0.9487599472
54.60200000 0.9487627422
54.80200000 0.9487502781
55.00200000 0.9487478773
55.20200000 0.9487667075
55.40200000 0.9487883284
55.60200000 0.9487901947
55.80200000 0.9487768010
56.00200000 0.9487734740
56.20200000 0.9487913848
56.40200000 0.9488120958
56.60200000 0.9488130637
56.80200000 0.9487987857
57.00200000 0.9487945906
57.20200000 0.9488116511
57.40200000 0.9488315308
57.60200000 0.9488316874
57.80200000 0.9488166190
58.00200000 0.9488116554
58.20200000 0.9488279698
58.40200000 0.9488471262
58.60200000 0.9488465822
58.80200000 0.9488308362
59.00200000 0.9488252182
59.20200000 0.9488409014
59.40200000 0.9488594494
59.60200000 0.9488583196
59.80200000 0.9488420101
60.00200000 0.9488358506
60.20200000 0.9488524244
60.40200000 0.9488874356
60.60200000 0.9489342954
60.80200000 0.9489868158
61.00200000 0.9490412010
61.20200000 0.9490960765
61.40200000 0.9491503023
61.60200000 0.9492014095
61.80200000 0.9492466644
62.00200000 0.9492851517
62.20200000 0.9493178845
62.40200000 0.9493456868
62.60200000 0.9493676920
62.80200000 0.9493824604
63.00200000 0.9493901090
