t dw_stable
0.0020000000 0.0000000000
0.2020000000 -0.0026661319
0.4020000000 -0.0067102494
0.6020000000 -0.0061611811
0.8020000000 -0.0014193962
1.0020000000 0.0012941951
1.2020000000 -0.0014717524
1.4020000000 -0.0056084692
1.6020000000 -0.0051431078
1.8020000000 -0.0004773879
2.0020000000 0.0021650550
2.2020000000 -0.0006680863
2.4020000000 -0.0048671310
2.6020000000 -0.0044581289
2.8020000000 0.0001563688
3.0020000000 0.0027509150
3.2020000000 -0.0001274423
3.4020000000 -0.0043684253
3.6020000000 -0.0039973531
3.8020000000 0.0005826686
4.0020000000 0.0031449834
4.2020000000 0.0002362068
4.4020000000 -0.0040329886
4.6020000000 -0.0036874357
4.8020000000 0.0008693885
5.0020000000 0.0034100191
5.2020000000 0.0004807814
5.4020000000 -0.0038073902
5.6020000000 -0.0034790038
5.8020000000 0.0010622153
6.0020000000 0.0035882600
6.2020000000 0.0006452607
6.4020000000 -0.0036556734
6.6020000000 -0.0033388329
6.8020000000 0.0011918898
7.0020000000 0.0037081245
7.2020000000 0.0007558702
7.4020000000 -0.0035536467
7.6020000000 -0.0032445714
7.8020000000 0.0012790920
8.0020000000 0.0037887292
8.2020000000 0.0008302511
8.4020000000 -0.0034850377
8.6020000000 -0.0031811844
8.8020000000 0.0013377315
9.0020000000 0.0038429318
9.2020000000 0.0008802684
9.4020000000 -0.0034389017
9.6020000000 -0.0031385601
9.8020000000 0.0013771633
10.0020000000 0.0038793800
10.2020000000 0.0009139021
10.4020000000 -0.0034078780
10.6020000000 -0.0031098978
10.8020000000 0.0014036786
11.0020000000 0.0039038890
11.2020000000 0.0009365186
11.4020000000 -0.0033870165
11.6020000000 -0.0030906244
11.8020000000 0.0014215084
12.0020000000 0.0039203697
12.2020000000 0.0009517267
12.4020000000 -0.0033729887
12.6020000000 -0.0030776643
12.8020000000 0.0014334977
13.0020000000 0.0039314517
13.2020000000 0.0009619530
13.4020000000 -0.0033635560
13.6020000000 -0.0030689496
13.8020000000 0.0014415596
14.0020000000 0.0039389036
14.2020000000 0.0009688294
14.4020000000 -0.0033572131
14.6020000000 -0.0030630896
14.8020000000 0.0014469806
15.0020000000 0.0039439144
15.2020000000 0.0009734533
15.4020000000 -0.0033529481
15.6020000000 -0.0030591492
15.8020000000 0.0014506259
16.0020000000 0.0039472838
16.2020000000 0.0009765625
16.4020000000 -0.0033500801
16.6020000000 -0.0030564996
16.8020000000 0.0014530770
17.0020000000 0.0039495495
17.2020000000 0.0009786532
17.4020000000 -0.0033481517
17.6020000000 -0.0030547179
17.8020000000 0.0014547252
18.0020000000 0.0039510730
18.2020000000 0.0009800591
18.4020000000 -0.0033468549
18.6020000000 -0.0030535199
18.8020000000 0.0014558335
19.0020000000 0.0039520974
19.2020000000 0.0009810044
19.4020000000 -0.0033459830
19.6020000000 -0.0030527143
19.8020000000 0.0014565788
20.0020000000 0.0039527863
20.2020000000 0.0035782246
20.4020000000 0.0029322928
20.6020000000 0.0021789953
20.8020000000 0.0017144491
21.0020000000 0.0016115487
21.2020000000 0.0015109123
21.4020000000 0.0011107468
21.6020000000 0.0005777044
21.8020000000 0.0003103220
22.0020000000 0.0003837594
22.2020000000 0.0004407224
22.4020000000 0.0001812608
22.6020000000 -0.0002263393
22.8020000000 -0.0003820346
23.0020000000 -0.0002092801
23.2020000000 -0.0000641205
23.4020000000 -0.0002453992
23.6020000000 -0.0005838237
23.8020000000 -0.0006784137
24.0020000000 -0.0004517833
24.2020000000 -0.0002592404
24.4020000000 -0.0003989713
24.6020000000 -0.0007010668
24.8020000000 -0.0007639656
25.0020000000 -0.0005097769
25.2020000000 -0.0002933816
25.4020000000 -0.0004125830
25.6020000000 -0.0006970962
25.8020000000 -0.0007450022
26.0020000000 -0.0004781104
26.2020000000 -0.0002510614
26.4020000000 -0.0003614396
26.6020000000 -0.0006387342
26.8020000000 -0.0006808068
27.0020000000 -0.0004092927
27.2020000000 -0.0001787017
27.4020000000 -0.0002864974
27.6020000000 -0.0005620345
27.8020000000 -0.0006030421
28.0020000000 -0.0003310561
28.2020000000 -0.0001005195
28.4020000000 -0.0002088322
28.6020000000 -0.0004852703
28.8020000000 -0.0005274835
29.0020000000 -0.0002569535
29.2020000000 -0.0000280919
29.4020000000 -0.0001382679
29.6020000000 -0.0004167127
29.8020000000 -0.0004610292
30.0020000000 -0.0001926707
30.2020000000 0.0000339626
30.4020000000 -0.0000784856
30.6020000000 -0.0003592218
30.8020000000 -0.0004058219
31.0020000000 -0.0001397255
31.2020000000 0.0000846684
31.4020000000 -0.0000299932
31.6020000000 -0.0003129038
31.8020000000 -0.0003616240
32.0020000000 -0.0000975880
32.2020000000 0.0001248017
32.4020000000 0.0000081908
32.6020000000 -0.0002766078
32.8020000000 -0.0003271467
33.0020000000 -0.0000648589
33.2020000000 0.0001558480
33.4020000000 0.0000376165
33.6020000000 -0.0002487383
33.8020000000 -0.0003007644
34.0020000000 -0.0000398960
34.2020000000 0.0001794541
34.4020000000 0.0000599243
34.6020000000 -0.0002276694
34.8020000000 -0.0002808733
35.0020000000 -0.0000211232
35.2020000000 0.0001971630
35.4020000000 0.0000766201
35.6020000000 -0.0002119363
35.8020000000 -0.0002660517
36.0020000000 -0.0000071639
36.2020000000 0.0002103051
36.4020000000 0.0000889867
36.6020000000 -0.0002003040
36.8020000000 -0.0002551127
37.0020000000 0.0000031211
37.2020000000 0.0002199720
37.4020000000 0.0000980688
37.6020000000 -0.0001917743
37.8020000000 -0.0002471032
38.0020000000 0.0000106410
38.2020000000 0.0002270303
38.4020000000 0.0001046912
38.6020000000 -0.0001855626
38.8020000000 -0.0002412777
39.0020000000 0.0000161038
39.2020000000 0.0002321517
39.4020000000 0.0001094909
39.6020000000 -0.0001810657
39.8020000000 -0.0002370648
40.0020000000 0.0000200503
40.2020000000 0.0003070171
40.4020000000 0.0005337174
40.6020000000 0.0006872851
40.8020000000 0.0007806628
41.0020000000 0.0008465323
41.2020000000 0.0009024532
41.4020000000 0.0009355240
41.6020000000 0.0009279878
41.8020000000 0.0008884622
42.0020000000 0.0008458082
42.2020000000 0.0008142174
42.4020000000 0.0007778276
42.6020000000 0.0007162799
42.8020000000 0.0006359072
43.0020000000 0.0005635672
43.2020000000 0.0005117027
43.4020000000 0.0004629283
43.6020000000 0.0003955599
43.8020000000 0.0003147771
44.0020000000 0.0002464390
44.2020000000 0.0002021273
44.4020000000 0.0001637173
44.6020000000 0.0001088906
44.8020000000 0.0000422844
45.0020000000 -0.0000107034
45.2020000000 -0.0000388800
45.4020000000 -0.0000606964
45.6020000000 -0.0000987435
45.8020000000 -0.0001486100
46.0020000000 -0.0001850820
46.2020000000 -0.0001971153
46.4020000000 -0.0002032792
46.6020000000 -0.0002262573
46.8020000000 -0.0002617078
47.0020000000 -0.0002844669
47.2020000000 -0.0002835239
47.4020000000 -0.0002774690
47.6020000000 -0.0002889957
47.8020000000 -0.0003137617
48.0020000000 -0.0003265938
48.2020000000 -0.0003164661
48.4020000000 -0.0003019495
48.6020000000 -0.0003057148
48.8020000000 -0.0003233924
49.0020000000 -0.0003297788
49.2020000000 -0.0003138169
49.4020000000 -0.0002940465
49.6020000000 -0.0002931067
49.8020000000 -0.0003065955
50.0020000000 -0.0003092758
50.2020000000 -0.0002900583
50.4020000000 -0.0002674525
50.6020000000 -0.0002640681
50.8020000000 -0.0002754736
51.0020000000 -0.0002764029
51.2020000000 -0.0002557396
51.4020000000 -0.0002319681
51.6020000000 -0.0002276746
51.8020000000 -0.0002384045
52.0020000000 -0.0002388691
52.2020000000 -0.0002179313
52.4020000000 -0.0001940571
52.6020000000 -0.0001898155
52.8020000000 -0.0002007348
53.0020000000 -0.0002015104
53.2020000000 -0.0001809904
53.4020000000 -0.0001576281
53.6020000000 -0.0001539808
53.8020000000 -0.0001655654
54.0020000000 -0.0001670662
54.2020000000 -0.0001473217
54.4020000000 -0.0001247771
54.6020000000 -0.0001219820
54.8020000000 -0.0001344462
55.0020000000 -0.0001368469
55.2020000000 -0.0001180167
55.4020000000 -0.0000963958
55.6020000000 -0.0000945296
55.8020000000 -0.0001079233
56.0020000000 -0.0001112502
56.2020000000 -0.0000933394
56.4020000000 -0.0000726285
56.6020000000 -0.0000716605
