t omega_stable omega_unstable Omega_stable_ref Omega_unstable_ref
0.0020000000 0.9488847242 1.1140089124 0.9488847242 1.1140089124
0.2020000000 0.9462185924 1.1167271129 0.9488847242 1.1140089124
0.4020000000 0.9421744749 1.1213895624 0.9488847242 1.1140089124
0.6020000000 0.9427235431 1.1220118939 0.9488847242 1.1140089124
0.8020000000 0.9474653280 1.1182272583 0.9488847242 1.1140089124
1.0020000000 0.9501789193 1.1157858055 0.9488847242 1.1140089124
1.2020000000 0.9474129719 1.1186411109 0.9488847242 1.1140089124
1.4020000000 0.9432762551 1.1234472155 0.9488847242 1.1140089124
1.6020000000 0.9437416165 1.1242308775 0.9488847242 1.1140089124
1.8020000000 0.9484073364 1.1206293127 0.9488847242 1.1140089124
2.0020000000 0.9510497792 1.1183835381 0.9488847242 1.1140089124
2.2020000000 0.9482166380 1.1214383684 0.9488847242 1.1140089124
2.4020000000 0.9440175932 1.1264532169 0.9488847242 1.1140089124
2.6020000000 0.9444265953 1.1274713978 0.9488847242 1.1140089124
2.8020000000 0.9490410931 1.1241361689 0.9488847242 1.1140089124
3.0020000000 0.9516356392 1.1221748065 0.9488847242 1.1140089124
3.2020000000 0.9487572819 1.1255188150 0.9488847242 1.1140089124
3.4020000000 0.9445162989 1.1308355154 0.9488847242 1.1140089124
3.6020000000 0.9448873712 1.1321930038 0.9488847242 1.1140089124
3.8020000000 0.9494673929 1.1292435613 0.9488847242 1.1140089124
4.0020000000 0.9520297076 1.1276935705 0.9488847242 1.1140089124
4.2020000000 0.9491209311 1.1314540301 0.9488847242 1.1140089124
4.4020000000 0.9448517356 1.1372039107 0.9488847242 1.1140089124
4.6020000000 0.9451972885 1.1390486936 0.9488847242 1.1140089124
4.8020000000 0.9497541127 1.1366542088 0.9488847242 1.1140089124
5.0020000000 0.9522947434 1.1356946080 0.9488847242 1.1140089124
5.2020000000 0.9493655056 1.1400487277 0.9488847242 1.1140089124
5.4020000000 0.9450773340 1.1464127116 0.9488847242 1.1140089124
5.6020000000 0.9454057205 1.1489490009 0.9488847242 1.1140089124
5.8020000000 0.9499469395 1.1473438741 0.9488847242 1.1140089124
6.0020000000 0.9524729843 1.1472208284 0.9488847242 1.1140089124
6.2020000000 0.9495299850 1.1524071368 0.9488847242 1.1140089124
6.4020000000 0.9452290509 1.1596242644 0.9488847242 1.1140089124
6.6020000000 0.9455458913 1.1631224586 0.9488847242 1.1140089124
6.8020000000 0.9500766141 1.1626189519 0.9488847242 1.1140089124
7.0020000000 0.9525928487 1.1636557961 0.9488847242 1.1140089124
7.2020000000 0.9496405945 1.1699755587 0.9488847242 1.1140089124
7.4020000000 0.9453310775 1.1783370304 0.9488847242 1.1140089124
7.6020000000 0.9456401529 1.1831275326 0.9488847242 1.1140089124
7.8020000000 0.9501638163 1.1841110022 0.9488847242 1.1140089124
8.0020000000 0.9526734534 1.1866952300 0.9488847242 1.1140089124
8.2020000000 0.9497149753 1.1944804176 0.9488847242 1.1140089124
8.4020000000 0.9453996865 1.2042804875 0.9488847242 1.1140089124
8.6020000000 0.9457035398 1.2106992223 0.9488847242 1.1140089124
8.8020000000 0.9502224557 1.2135699994 0.9488847242 1.1140089124
9.0020000000 0.9527276561 1.2180743831 0.9488847242 1.1140089124
9.2020000000 0.9497649927 1.2275700920 0.9488847242 1.1140089124
9.4020000000 0.9454458225 1.2389537650 0.9488847242 1.1140089124
9.6020000000 0.9457461641 1.2471737263 0.9488847242 1.1140089124
9.8020000000 0.9502618875 1.2521635002 0.9488847242 1.1140089124
