t omega_inst
0.00200000 1.1140089124
0.20200000 1.1167271129
0.40200000 1.1213895624
0.60200000 1.1220118939
0.80200000 1.1182272583
1.00200000 1.1157858055
1.20200000 1.1186411109
1.40200000 1.1234472155
1.60200000 1.1242308775
1.80200000 1.1206293127
2.00200000 1.1183835381
2.20200000 1.1214383684
2.40200000 1.1264532169
2.60200000 1.1274713978
2.80200000 1.1241361689
3.00200000 1.1221748065
3.20200000 1.1255188150
3.40200000 1.1308355154
3.60200000 1.1321930038
3.80200000 1.1292435613
4.00200000 1.1276935705
4.20200000 1.1314540301
4.40200000 1.1372039107
4.60200000 1.1390486936
4.80200000 1.1366542088
5.00200000 1.1356946080
5.20200000 1.1400487277
5.40200000 1.1464127116
5.60200000 1.1489490009
5.80200000 1.1473438741
6.00200000 1.1472208284
6.20200000 1.1524071368
6.40200000 1.1596242644
6.60200000 1.1631224586
6.80200000 1.1626189519
7.00200000 1.1636557961
7.20200000 1.1699755587
7.40200000 1.1783370304
7.60200000 1.1831275326
7.80200000 1.1841110022
8.00200000 1.1866952300
8.20200000 1.1944804176
8.40200000 1.2042804875
8.60200000 1.2106992223
8.80200000 1.2135699994
9.00200000 1.2180743831
9.20200000 1.2275700920
9.40200000 1.2389537650
9.60200000 1.2471737263
9.80200000 1.2521635002
10.00200000 1.2587203260
10.20200000 1.2697930899
10.40200000 1.2824099036
10.60200000 1.2920685301
10.80200000 1.2988411733
11.00200000 1.3068867075
11.20200000 1.3185012494
11.40200000 1.3309484995
11.60200000 1.3405944451
11.80200000 1.3476975850
12.00200000 1.3554301455
12.20200000 1.3651653028
12.40200000 1.3746326745
12.60200000 1.3815150824
12.80200000 1.3863098578
13.00200000 1.3908425754
13.20200000 1.3954091853
13.40200000 1.3985949253
13.60200000 1.3998566515
13.80200000 1.3999259857
14.00200000 1.3990359108
14.20200000 1.3964600718
14.40200000 1.3919955854
14.60200000 1.3870158420
14.80200000 1.3823176556
15.00200000 1.3764764168
15.20200000 1.3679145315
15.40200000 1.3576699708
15.60200000 1.3487033887
15.80200000 1.3416229346
16.00200000 1.3335034482
16.20200000 1.3221121054
16.40200000 1.3094683136
16.60200000 1.2996038464
16.80200000 1.2928190843
17.00200000 1.2850373537
17.20200000 1.2735766309
17.40200000 1.2611330543
17.60200000 1.2523997522
17.80200000 1.2474103627
18.00200000 1.2413216503
18.20200000 1.2311787346
18.40200000 1.2201204834
18.60200000 1.2132448033
18.80200000 1.2104093137
19.00200000 1.2063019339
19.20200000 1.1978132552
19.40200000 1.1883660742
19.60200000 1.1833095152
19.80200000 1.1823984732
20.00200000 1.1800430808
20.20200000 1.1755406851
20.40200000 1.1716202562
20.60200000 1.1681647759
20.80200000 1.1648046752
21.00200000 1.1614097543
21.20200000 1.1582547105
21.40200000 1.1556228005
21.60200000 1.1533949910
21.80200000 1.1511982432
22.00200000 1.1489051678
22.20200000 1.1467982223
22.40200000 1.1451663145
22.60200000 1.1438914255
22.80200000 1.1426010934
23.00200000 1.1411718203
23.20200000 1.1398918523
23.40200000 1.1390542063
23.60200000 1.1385430392
23.80200000 1.1379887529
24.00200000 1.1372721084
24.20200000 1.1366851425
24.40200000 1.1365231800
24.60200000 1.1366730807
24.80200000 1.1367699822
25.00200000 1.1366993037
25.20200000 1.1367549417
25.40200000 1.1372325306
25.60200000 1.1380220335
25.80200000 1.1387654942
26.00200000 1.1393537255
26.20200000 1.1400803466
26.40200000 1.1412387606
26.60200000 1.1427224304
26.80200000 1.1441832193
27.00200000 1.1455184799
27.20200000 1.1470185850
27.40200000 1.1489708354
27.60200000 1.1512723951
27.80200000 1.1535889026
28.00200000 1.1558256282
28.20200000 1.1582647012
28.40200000 1.1611806541
28.60200000 1.1644737446
28.80200000 1.1678284639
29.00200000 1.1711589689
29.20200000 1.1747300294
29.40200000 1.1787915688
29.60200000 1.1832444125
29.80200000 1.1877978507
30.00200000 1.1923742313
30.20200000 1.1972049354
30.40200000 1.2024957452
30.60200000 1.2081429064
30.80200000 1.2138873535
31.00200000 1.2196565051
31.20200000 1.2256248465
31.40200000 1.2319286295
31.60200000 1.2384554752
31.80200000 1.2449889213
32.00200000 1.2514600473
32.20200000 1.2579651163
32.40200000 1.2645546350
32.60200000 1.2711177864
32.80200000 1.2775037042
33.00200000 1.2836585598
33.20200000 1.2896027202
33.40200000 1.2953165263
33.60200000 1.3007233100
33.80200000 1.3057682914
34.00200000 1.3104349948
34.20200000 1.3146956849
34.40200000 1.3184969837
34.60200000 1.3218215123
34.80200000 1.3247148284
35.00200000 1.3272014996
35.20200000 1.3292239060
35.40200000 1.3307096309
35.60200000 1.3316876128
35.80200000 1.3322733606
36.00200000 1.3325141862
36.20200000 1.3323211780
36.40200000 1.3315966675
36.60200000 1.3303936087
36.80200000 1.3288738663
37.00200000 1.3270977916
37.20200000 1.3249457044
37.40200000 1.3222940071
37.60200000 1.3192158156
37.80200000 1.3159177056
38.00200000 1.3124752899
38.20200000 1.3087420863
38.40200000 1.3045724675
38.60200000 1.3000625502
38.80200000 1.2954640145
39.00200000 1.2908659638
39.20200000 1.2860939212
39.40200000 1.2809797068
39.60200000 1.2756387451
39.80200000 1.2703592916
40.00200000 1.2652351960
40.20200000 1.2601113603
40.40200000 1.2549687442
40.60200000 1.2498461306
40.80200000 1.2447644435
41.00200000 1.2397260520
41.20200000 1.2347381573
41.40200000 1.2298279773
41.60200000 1.2250278415
41.80200000 1.2203504306
42.00200000 1.2157887482
42.20200000 1.2113414881
42.40200000 1.2070289252
42.60200000 1.2028768054
42.80200000 1.1988904406
43.00200000 1.1950551992
43.20200000 1.1913632344
43.40200000 1.1878297416
43.60200000 1.1844759179
43.80200000 1.1813022804
44.00200000 1.1782895282
44.20200000 1.1754261058
44.40200000 1.1727245758
44.60200000 1.1702039275
44.80200000 1.1678624692
45.00200000 1.1656789671
45.20200000 1.1636406181
45.40200000 1.1617593412
45.60200000 1.1600537038
45.80200000 1.1585217397
46.00200000 1.1571423192
46.20200000 1.1559031513
46.40200000 1.1548167948
46.60200000 1.1539024581
46.80200000 1.1531591245
47.00200000 1.1525671454
47.20200000 1.1521158670
47.40200000 1.1518191034
47.60200000 1.1516970723
47.80200000 1.1517502912
48.00200000 1.1519614160
48.20200000 1.1523219816
48.40200000 1.1528469614
48.60200000 1.1535571421
48.80200000 1.1544544173
49.00200000 1.1555239175
49.20200000 1.1567591514
49.40200000 1.1581750892
49.60200000 1.1597913868
49.80200000 1.1616099631
50.00200000 1.1636174853
50.20200000 1.1658078899
50.40200000 1.1681932161
50.60200000 1.1707883053
50.80200000 1.1735919068
51.00200000 1.1765895761
51.20200000 1.1797722435
51.40200000 1.1831439610
51.60200000 1.1867090825
51.80200000 1.1904584736
52.00200000 1.1943728188
52.20200000 1.1984358756
52.40200000 1.2026386814
52.60200000 1.2069706094
52.80200000 1.2114120606
53.00200000 1.2159379163
53.20200000 1.2205246285
53.40200000 1.2251511915
53.60200000 1.2297950613
53.80200000 1.2344312637
54.00200000 1.2390351585
54.20200000 1.2435834160
54.40200000 1.2480524391
54.60200000 1.2524185609
54.80200000 1.2566616315
55.00200000 1.2607662574
55.20200000 1.2647177791
55.40200000 1.2684988346
55.60200000 1.2720923304
55.80200000 1.2754876055
56.00200000 1.2786804168
56.20200000 1.2816656774
56.40200000 1.2844328296
56.60200000 1.2869706366
56.80200000 1.2892752850
57.00200000 1.2913499235
57.20200000 1.2931953375
57.40200000 1.2948044268
57.60200000 1.2961684740
57.80200000 1.2972871490
58.00200000 1.2981679668
58.20200000 1.2988151373
58.40200000 1.2992230892
58.60200000 1.2993841348
58.80200000 1.2993004353
59.00200000 1.2989833709
59.20200000 1.2984404021
59.40200000 1.2976675158
59.60200000 1.2966583389
59.80200000 1.2954181407
60.00200000 1.2939630030
60.20200000 1.2923051704
60.40200000 1.2904505969
60.60200000 1.2884061538
60.80200000 1.2861800562
61.00200000 1.2837807764
61.20200000 1.2812166765
61.40200000 1.2784968803
61.60200000 1.2756321472
61.80200000 1.2726344291
62.00200000 1.2695155905
62.20200000 1.2662869612
62.40200000 1.2629602776
62.60200000 1.2595486100
62.80200000 1.2560658266
63.00200000 1.2525251638
63.20200000 1.2489387486
63.40200000 1.2453186492
63.60200000 1.2416778898
63.80200000 1.2380298747
64.00200000 1.2343868767
64.20200000 1.2307595868
64.40200000 1.2271583002
64.60200000 1.2235940367
64.80200000 1.2200779601
65.00200000 1.2166198345
65.20200000 1.2132276248
65.40200000 1.2099088059
65.60200000 1.2066715675
65.80200000 1.2035242370
66.00200000 1.2004737229
66.20200000 1.1975251625
66.40200000 1.1946833096
66.60200000 1.1919537820
66.80200000 1.1893424772
67.00200000 1.1868540172
67.20200000 1.1844914275
67.40200000 1.1822575515
67.60200000 1.1801562888
67.80200000 1.1781919980
68.00200000 1.1763679618
68.20200000 1.1746860894
68.40200000 1.1731482999
68.60200000 1.1717576995
68.80200000 1.1705179702
69.00200000 1.1694318906
69.20200000 1.1685010575
69.40200000 1.1677271766
69.60200000 1.1671131125
69.80200000 1.1666622711
70.00200000 1.1663772240
70.20200000 1.1662594517
70.40200000 1.1663104612
70.60200000 1.1665326307
70.80200000 1.1669285984
71.00200000 1.1675000637
71.20200000 1.1682475597
71.40200000 1.1691713105
71.60200000 1.1702718000
71.80200000 1.1715492157
72.00200000 1.1730025355
72.20200000 1.1746293708
72.40200000 1.1764265201
72.60200000 1.1783902686
72.80200000 1.1805160055
73.00200000 1.1827977474
73.20200000 1.1852281340
73.40200000 1.1877987373
73.60200000 1.1905002008
73.80200000 1.1933221658
74.00200000 1.1962533010
74.20200000 1.1992814821
74.40200000 1.2023939242
74.60200000 1.2055772333
74.80200000 1.2088175954
75.00200000 1.2121011461
75.20200000 1.2154142019
75.40200000 1.2187431841
75.60200000 1.2220745226
75.80200000 1.2253949055
76.00200000 1.2286917391
76.20200000 1.2319532960
76.40200000 1.2351684115
76.60200000 1.2383262110
76.80200000 1.2414163212
77.00200000 1.2444293356
77.20200000 1.2473568880
77.40200000 1.2501911931
77.60200000 1.2529246532
77.80200000 1.2555500597
78.00200000 1.2580611025
78.20200000 1.2604524306
78.40200000 1.2627191070
78.60200000 1.2648561475
78.80200000 1.2668587556
79.00200000 1.2687229143
79.20200000 1.2704454714
79.40200000 1.2720235340
79.60200000 1.2734539613
79.80200000 1.2747336497
80.00200000 1.2758602286
80.20200000 1.2768321897
80.40200000 1.2776484140
80.60200000 1.2783080006
80.80200000 1.2788103162
81.00200000 1.2791550088
81.20200000 1.2793419782
81.40200000 1.2793713675
81.60200000 1.2792436182
81.80200000 1.2789595401
82.00200000 1.2785203293
82.20200000 1.2779275345
82.40200000 1.2771830467
82.60200000 1.2762891549
82.80200000 1.2752486176
83.00200000 1.2740646718
83.20200000 1.2727409829
83.40200000 1.2712816174
83.60200000 1.2696910870
83.80200000 1.2679744076
84.00200000 1.2661370863
84.20200000 1.2641850433
84.40200000 1.2621245576
84.60200000 1.2599622921
84.80200000 1.2577053335
85.00200000 1.2553611548
85.20200000 1.2529375091
85.40200000 1.2504423521
85.60200000 1.2478838536
85.80200000 1.2452704262
86.00200000 1.2426106750
86.20200000 1.2399132766
