E,R_over_a,C_mm,C_ml,C_ll,lambda_min,lambda_max,sector_nm,sector_nl,sector_action,d_action_dlogE,d2_action_dlogE2,d_lambdamin_dlogE,d2_lambdamin_dlogE2
29.999999999999996,29.999999999999996,1.4462276828353315,-1.9438403293515316,23.009337169887107,1.2723984571130835,23.183166395609355,2,3,94.77143065405346,0.034294662475589384,-0.04981361746160836,6.292839912387192e-05,-9.181704546139427e-05
30.4666311406524,30.4666311406524,1.4462277067352476,-1.9438402427247055,23.00945467172696,1.2723994283903999,23.183282950071806,2,3,94.7719599798936,0.033525807119985984,-0.0736101916767824,6.15112358914871e-05,-0.00013566375488115678
30.940520435352372,30.940520435352372,1.4462277289116832,-1.9438401572413442,23.009566901632,1.2724003559209018,23.18339427462278,2,3,94.7724655717193,0.03202236855349838,-0.09523530527379032,5.8740556127645505e-05,-0.00017547900866303023
31.421780780123285,31.421780780123285,1.446227749489585,-1.9438400730524676,23.009674094849505,1.2724012416693171,23.183500602669774,2,3,94.77294848748713,0.030585961421820684,-0.09098827254627251,5.6094324513367155e-05,-0.00016759634671757143
31.91052682701526,31.91052682701526,1.446227768584832,-1.9438399902875534,23.00977647622414,1.2724020875125435,23.183602157296427,2,3,94.77340973845297,0.029213625715328817,-0.08692885049097887,5.3566976880858874e-05,-0.00016006618152785627
32.4068750114189,32.4068750114189,1.4462277863048902,-1.943839909056563,23.009874260651006,1.2724028952435467,23.183699151712354,2,3,94.77385029119993,0.02790253003649923,-0.08304888253079723,5.115319607540414e-05,-0.00015287286444856077
32.91094357980419,32.91094357980419,1.4462278027494244,-1.943839829451812,23.009967653509506,1.2724036665750875,23.183791789683845,2,3,94.77427106958076,0.026649966163404315,-0.07934055739230816,4.8847900991688675e-05,-0.00014600143575684444
33.422852617890555,33.422852617890555,1.4462278180108612,-1.9438397515496797,23.010056851078662,1.272404403143282,23.183880265946243,2,3,94.77467295657762,0.02545334382693909,-0.07579639486054335,4.6646236270930785e-05,-0.00013943759058603457
33.942724079255356,33.942724079255356,1.4462278321749151,-1.9438396754121774,23.01014204093483,1.2724051065110087,23.183964766598738,2,3,94.77505679608352,0.024310185714057297,-0.07240923219663753,4.454356238881019e-05,-0.0001331676536060406
34.47068181438711,34.47068181438711,1.4462278453210757,-1.9438396010883883,23.010223402332436,1.2724057781711655,23.184045469482346,2,3,94.7754233946078,0.023218122664275143,-0.06917221161615472,4.2535446134195354e-05,-0.000127178550711477
35.0068516001909,35.0068516001909,1.4462278575230576,-1.9438395286157808,23.01030110656837,1.272406419549781,23.184122544541648,2,3,94.7757735229091,0.02217488905944265,-0.0660787676790181,4.0617651571039914e-05,-0.00012145778163048836
35.551361169952465,35.551361169952465,1.446227868849221,-1.9438394580214156,23.010375317330862,1.2724070320089926,23.18419615417109,2,3,94.77610791755882,0.02117831840951112,-0.06312261557806942,3.878613136265585e-05,-0.00011599339828804425
36.10434024376848,36.10434024376848,1.44622787936296,-1.943839389323046,23.010446191033317,1.2724076168498906,23.184266453546385,2,3,94.77642728243758,0.02022633910382865,-0.06029773944233141,3.703701840152007e-05,-0.00011077397856562718
36.665920559450235,36.665920559450235,1.446227889123063,-1.9438393225301245,23.010513877133832,1.2724081753152372,23.18433359094166,2,3,94.77673229016763,0.01931697035797697,-0.05759838096438763,3.5366617943566325e-05,-0.00010578860535506241
37.2362359039078,37.2362359039078,1.4462278981840486,-1.9438392576447225,23.010578518440983,1.2724087085920688,23.18439770803296,2,3,94.7770235834842,0.018448318316131918,-0.05501902961874405,3.377139988458566e-05,-0.00010102684423126231
37.81542214502256,37.81542214502256,1.446227906596473,-1.943839194662367,23.0106402514064,1.272409217814176,23.184458940188698,2,3,94.77730177654755,0.01761857229985253,-0.052554411834250137,3.2247991583744806e-05,-9.647871629121655e-05
