normalizer,n_runs,n_valid,pass_count,pass_fraction,alpha_inv_blind_v13_mean,alpha_inv_blind_v13_std,alpha_inv_blind_v13_span,alpha_inv_blind_v13_cv_abs,abs_correction_ratio_mean,abs_correction_ratio_max,DeltaF_phys_cert_mean,DeltaF_phys_cert_std,stability_gate
raw,3,3,3,1.0,137.15470540393292,1.5026246246606483e-10,2.9888269637012854e-10,1.095569138685606e-12,1.0038627642751234e-12,1.72395179979308e-12,1.9211080710535655e-10,3.005325229654477e-10,PASS_CERTIFIED_STABLE_NORMALIZER
Mmax,3,3,3,1.0,137.1547054038373,9.839413549521941e-13,1.8758328224066645e-12,7.17395259648646e-15,6.484623500399228e-15,8.840778460477334e-15,9.023911854439465e-13,1.9641477251634778e-12,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM,3,3,3,1.0,137.1547054038436,1.192562532085223e-11,2.333422344236169e-11,8.695017269540961e-14,7.992354044798377e-14,1.234547525958875e-13,1.3381668586746284e-11,2.3857405572847422e-11,PASS_CERTIFIED_STABLE_NORMALIZER
Lcert,3,3,3,1.0,137.15470540384277,9.172905827153636e-12,1.8246737454319373e-11,6.687999365493611e-14,6.131718925084422e-14,1.0530112534214386e-13,1.1734367620376419e-11,1.8356901204531205e-11,PASS_CERTIFIED_STABLE_NORMALIZER
Lcert2,3,3,3,1.0,137.15470540383726,5.573119651423775e-13,1.1084466677857563e-12,4.063382029084838e-15,3.745330369274875e-15,6.431924024588614e-15,7.167498045782727e-13,1.1212624128259873e-12,PASS_CERTIFIED_STABLE_NORMALIZER
Lcert3,3,3,3,1.0,137.1547054038369,4.4938668397781776e-14,8.526512829121202e-14,3.276494835920125e-16,2.287694486064451e-16,3.9286993869877603e-16,4.377997170217448e-14,6.84881061573737e-14,PASS_CERTIFIED_STABLE_NORMALIZER
NsoftV,3,3,3,1.0,137.15470540384263,8.973296772069999e-12,1.7848833522293717e-11,6.542463669510092e-14,5.991364542010501e-14,1.0289079397096434e-13,1.1465769214571664e-11,1.7936713721186084e-11,PASS_CERTIFIED_STABLE_NORMALIZER
NsoftV_Lcert,3,3,3,1.0,137.15470540383726,5.444816241796393e-13,1.0800249583553523e-12,3.969835541379874e-15,3.659600162164908e-15,6.284697979253043e-15,7.003434790651457e-13,1.0955968374565162e-12,PASS_CERTIFIED_STABLE_NORMALIZER
leading_full_cert,3,3,3,1.0,137.15470540383726,5.444816241796393e-13,1.0800249583553523e-12,3.969835541379874e-15,3.659600162164908e-15,6.284697979253043e-15,7.003434790651457e-13,1.0955968374565162e-12,PASS_CERTIFIED_STABLE_NORMALIZER
leading_half_cert,3,3,3,1.0,137.1547054038376,1.0994830935194784e-12,2.1884716261411086e-12,8.016371660616135e-15,7.319200324329816e-15,1.2569395958506085e-14,1.4006869581302914e-12,2.1911936749130323e-12,PASS_CERTIFIED_STABLE_NORMALIZER
M_Lcert,3,3,3,1.0,137.1547054038369,6.029155041345696e-14,1.1368683772161603e-13,4.3958791086266515e-16,3.9608888838661807e-16,5.400057709853532e-16,5.5119178701796687e-14,1.1997259193833075e-13,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM_Lcert,3,3,3,1.0,137.1547054038373,7.296135693760241e-13,1.4210854715202004e-12,5.3196393607332335e-15,4.881829498661848e-15,7.540770211059988e-15,8.173690014472154e-13,1.4572400776322747e-12,PASS_CERTIFIED_STABLE_NORMALIZER
M_Lcert2,3,3,3,1.0,137.15470540383689,0.0,0.0,0.0,2.419360314344974e-17,3.2984225767121093e-17,3.3667481573037977e-15,7.328075496563401e-15,PASS_CERTIFIED_STABLE_NORMALIZER
