normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_normalized,correction_to_leading_ratio,gate
raw,no normalization,1.0,-78.45497344180247,-78.45497344180247,0.2859946701044663,FAIL_NOT_SUBLEADING
Mmax,divide by pair-fit M_max,639.0,-78.45497344180247,-0.12277773621565331,0.0004475659939037031,PASS_SUBLEADING_CORRECTION
sqrtM,divide by sqrt(M_max),25.278449319529077,-78.45497344180247,-3.1036307824939016,0.011313774294039416,PASS_SUBLEADING_CORRECTION
L,divide by restored longitudinal length,16.372460056045686,-78.45497344180247,-4.791886691018814,0.01746803285061978,PASS_SUBLEADING_CORRECTION
L2,divide by restored longitudinal length squared,268.0574482868115,-78.45497344180247,-0.2926796996062522,0.0010669155881781827,PASS_SUBLEADING_CORRECTION
L3,divide by restored longitudinal length cubed,4388.759864801354,-78.45497344180247,-0.017876342260378725,6.516525827676176e-05,PASS_SUBLEADING_CORRECTION
NsoftV,divide by N_soft V_soft,16.755160819145562,-78.45497344180247,-4.682436312527337,0.017069049541898144,PASS_SUBLEADING_CORRECTION
NsoftV_L,divide by N_soft V_soft L,274.32320124408244,-78.45497344180247,-0.2859946701044663,0.0010425464153504063,PASS_SUBLEADING_CORRECTION
leading_full,divide by full leading length term N_soft V_soft L,274.32320124408244,-78.45497344180247,-0.2859946701044663,0.0010425464153504063,PASS_SUBLEADING_CORRECTION
leading_half,divide by half leading length term,137.16160062204122,-78.45497344180247,-0.5719893402089326,0.0020850928307008126,PASS_SUBLEADING_CORRECTION
M_L,divide by M_max times length,10462.001975813193,-78.45497344180247,-0.007499040205037268,2.73365146332078e-05,PASS_SUBLEADING_CORRECTION
sqrtM_L,divide by sqrt(M_max) times length,413.8704017627651,-78.45497344180247,-0.18956410776814547,0.0006910246997281082,PASS_SUBLEADING_CORRECTION
M_L2,divide by M_max times length squared,171288.70945527253,-78.45497344180247,-0.0004580276989143227,1.6696644572428524e-06,PASS_SUBLEADING_CORRECTION
