normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_normalized,correction_to_leading_ratio,gate
raw,no normalization,1.0,-183.93247044920022,-183.93247044920022,0.6704960314392422,FAIL_NOT_SUBLEADING
Mmax,divide by pair-fit M_max,47.0,-183.93247044920022,-3.9134568180680898,0.01426587300934558,PASS_SUBLEADING_CORRECTION
sqrtM,divide by sqrt(M_max),6.855654600401044,-183.93247044920022,-26.829308238259333,0.09780189792525712,FAIL_NOT_SUBLEADING
L,divide by restored longitudinal length,16.372446942894506,-183.93247044920022,-11.234268835363382,0.04095270754444139,PASS_SUBLEADING_CORRECTION
L2,divide by restored longitudinal length squared,268.05701889789566,-183.93247044920022,-0.6861692008865512,0.0025013186903143085,PASS_SUBLEADING_CORRECTION
L3,divide by restored longitudinal length cubed,4388.749319576266,-183.93247044920022,-0.0419099969161508,0.00015277610604197796,PASS_SUBLEADING_CORRECTION
NsoftV,divide by N_soft V_soft,16.755160819145562,-183.93247044920022,-10.97766070016032,0.040017284147645354,PASS_SUBLEADING_CORRECTION
NsoftV_L,divide by N_soft V_soft L,274.32298153112555,-183.93247044920022,-0.6704960314392422,0.0024441846895104763,PASS_SUBLEADING_CORRECTION
leading_full,divide by full leading length term N_soft V_soft L,274.32298153112555,-183.93247044920022,-0.6704960314392422,0.0024441846895104763,PASS_SUBLEADING_CORRECTION
leading_half,divide by half leading length term,137.16149076556277,-183.93247044920022,-1.3409920628784844,0.004888369379020953,PASS_SUBLEADING_CORRECTION
M_L,divide by M_max times length,769.5050063160418,-183.93247044920022,-0.23902699649709325,0.0008713342030732212,PASS_SUBLEADING_CORRECTION
sqrtM_L,divide by sqrt(M_max) times length,112.24384120387673,-183.93247044920022,-1.6386865281553415,0.005973566337785706,PASS_SUBLEADING_CORRECTION
M_L2,divide by M_max times length squared,12598.679888201095,-183.93247044920022,-0.014599344699713857,5.32195466024321e-05,PASS_SUBLEADING_CORRECTION
