model,status,n_points,M_min,M_max,rms,S_inf,S_inf_se,alpha_inv_pred_blind,c_sqrt,c_sqrt_se,knot,reference,target_selected,fit_tail_frac,max_common_modes,c_inv,c_inv_se,c_threehalf,c_threehalf_se
sqrt,PASS_FIT,276,92,367,0.0036972619779474586,0.048933051856151225,0.0011395680384328037,0.024466525928075612,-0.12958047512263549,0.01605565750484405,3_1,0_1,True,0.75,367,,,,
sqrt+inv,PASS_FIT,276,92,367,0.0025769417471369236,-0.026085254611690457,0.004484226939342941,-0.013042627305845229,1.9600437526059293,0.12343542067276868,3_1,0_1,True,0.75,367,-13.97851365497495,0.8223067881098116,,
sqrt+inv+threehalf,PASS_FIT,276,92,367,0.0009552315070224122,-0.41453948691500286,0.009546978382244154,-0.20726974345750143,18.043754172644316,0.3919168495684809,3_1,0_1,True,0.75,367,-230.6448325488054,5.252224442064408,949.8674548156447,22.986855512666676
sqrt,PASS_FIT,276,92,367,0.007435018411268842,0.053116255660018305,0.002291617255465639,0.026558127830009153,-0.04600102582365788,0.03228716543906175,4_1,0_1,False,0.75,367,,,,
sqrt+inv,PASS_FIT,276,92,367,0.005023863656705465,-0.10196843873563359,0.0087422017878418,-0.050984219367816795,4.2738610187554755,0.24064289561727656,4_1,0_1,False,0.75,367,-28.897660056036294,1.6031240100933406,,
sqrt+inv+threehalf,PASS_FIT,276,92,367,0.002270563161965506,-0.8293371600867142,0.02269294643596384,-0.4146685800433571,34.39011902278655,0.9315772717313551,4_1,0_1,False,0.75,367,-434.59874458070374,12.484415818422615,1778.597885175801,54.63922300802007
