knot,id,conway,L_database,D_database,raw_spectrum_file,n_eigenvalues,min_eig,max_eig,S_all,boundary_nodes,selected_nodes,tube_radius,outer_radius,screening_mu,n_center,n_theta,n_sphere,boundary_subspace,operator_backend,scipy
0_1,0:1:1,0,6.283185,1.0,raw_spectrum_0_1.npy,255,0.8065615095421358,0.9999737325377945,2.374915573423239,256,256,0.01830117246003853,0.49533893510759686,2.0188196992485183,32,5,96,all,BEM_V5_SOFT_INDEX_HEAT_KERNEL,True
3_1,3:1:1,3,16.371637,1.0,raw_spectrum_3_1.npy,255,0.8066847831334683,1.0000504896752207,2.415779936204386,256,256,0.009270944715611466,0.301750381894053,3.3139974628138433,32,5,96,all,BEM_V5_SOFT_INDEX_HEAT_KERNEL,True
4_1,4:1:1,2 2,21.043322,1.0,raw_spectrum_4_1.npy,255,0.806766810783106,1.0001431670910286,2.4259342849902796,256,256,0.007255189250818558,0.2475545334898511,4.039513984667127,32,5,96,all,BEM_V5_SOFT_INDEX_HEAT_KERNEL,True
