ell,degeneracy,baseline_stiffness_k_ell,retained_in_pressure_manifold,classification,reason
0,1,,True,compression_retained,ell=0 is the scalar compression/volume pressure mode.
1,3,0.0,True,translation_retained,ell=1 is the three-dimensional translation/centre-displacement zero-mode sector.
2,5,4.0,False,positive_shape_integrated_out,ell>=2 has positive fixed-volume shape stiffness and is integrated out at zeroth order.
3,7,10.0,False,positive_shape_integrated_out,ell>=2 has positive fixed-volume shape stiffness and is integrated out at zeroth order.
4,9,18.0,False,positive_shape_integrated_out,ell>=2 has positive fixed-volume shape stiffness and is integrated out at zeroth order.
5,11,28.0,False,positive_shape_integrated_out,ell>=2 has positive fixed-volume shape stiffness and is integrated out at zeroth order.
6,13,40.0,False,positive_shape_integrated_out,ell>=2 has positive fixed-volume shape stiffness and is integrated out at zeroth order.
7,15,54.0,False,positive_shape_integrated_out,ell>=2 has positive fixed-volume shape stiffness and is integrated out at zeroth order.
8,17,70.0,False,positive_shape_integrated_out,ell>=2 has positive fixed-volume shape stiffness and is integrated out at zeroth order.
