zip_index,zip_name,restored_name,bytes,crc
0,SST_Coil_00_common.py,SST_Coil_00_common.py,3598,556689596
1,SST_Coil_00_common.py,SST_Coil_00_common__zipentry01.py,945,2968861840
2,SST_Coil_10_Geometry_FromUserScripts.py,SST_Coil_10_Geometry_FromUserScripts.py,5775,3845443630
3,SST_Coil_10_geometry_sawbowl.py,SST_Coil_10_geometry_sawbowl.py,5078,2013690010
4,SST_Coil_10_PWM_Spectrum.py,SST_Coil_10_PWM_Spectrum.py,1854,1656160976
5,SST_Coil_11_geometry_rodin_6lane_exact.py,SST_Coil_11_geometry_rodin_6lane_exact.py,3135,2628250197
6,SST_Coil_11_geometry_rodin_torus.py,SST_Coil_11_geometry_rodin_torus.py,5008,1433385098
7,SST_Coil_12_geometry_sawbowl_exact.py,SST_Coil_12_geometry_sawbowl_exact.py,2935,931649828
8,SST_Coil_20_Circuit_DistributedLite.py,SST_Coil_20_Circuit_DistributedLite.py,2294,2195653087
9,SST_Coil_20_Geometry_SawShape.py,SST_Coil_20_Geometry_SawShape.py,2461,3340073907
10,SST_Coil_20_Geometry_SawShape.py,SST_Coil_20_Geometry_SawShape__zipentry10.py,4665,350701954
11,SST_Coil_20_winding_factors.py,SST_Coil_20_winding_factors.py,1974,3742550818
12,SST_Coil_30_biot_savart.py,SST_Coil_30_biot_savart.py,1842,2974191895
13,SST_Coil_30_biot_savart.py,SST_Coil_30_biot_savart__zipentry13.py,1146,1624719051
14,SST_Coil_30_BiotSavart.py,SST_Coil_30_BiotSavart.py,4353,2107022176
15,SST_Coil_30_BiotSavart_Observables.py,SST_Coil_30_BiotSavart_Observables.py,2520,3251589241
16,SST_Coil_30_CircuitModel.py,SST_Coil_30_CircuitModel.py,4201,3340540612
17,SST_Coil_40_BiotSavartDigitalTwin.py,SST_Coil_40_BiotSavartDigitalTwin.py,4493,2737896432
18,SST_Coil_40_current_model.py,SST_Coil_40_current_model.py,1655,1596313911
19,SST_Coil_40_FieldAnalysis.py,SST_Coil_40_FieldAnalysis.py,2255,673551848
20,SST_Coil_50_MaxwellStress.py,SST_Coil_50_MaxwellStress.py,1975,3759123320
21,SST_Coil_50_observables.py,SST_Coil_50_observables.py,647,1356736817
22,SST_Coil_60_FRScaling.py,SST_Coil_60_FRScaling.py,1993,1470439686
23,SST_Coil_70_HarmonicScanner.py,SST_Coil_70_HarmonicScanner.py,2618,987819508
24,SST_Coil_75_RadiusScalingSweep.py,SST_Coil_75_RadiusScalingSweep.py,11247,2328167489
25,SST_Coil_80_compare_geometries.py,SST_Coil_80_compare_geometries.py,4134,847350697
26,SST_Coil_80_compare_geometries_v8.py,SST_Coil_80_compare_geometries_v8.py,4077,91171088
27,SST_Coil_80_ExtractEffectiveKernel.py,SST_Coil_80_ExtractEffectiveKernel.py,5018,3771316363
28,SST_Coil_80_ExtractEffectiveKernel_v5.py,SST_Coil_80_ExtractEffectiveKernel_v5.py,4447,1352174489
29,SST_Coil_80_ParamSweep.py,SST_Coil_80_ParamSweep.py,1479,3956825229
30,SST_Coil_90_RunAll.py,SST_Coil_90_RunAll.py,1810,3115437712
31,SST_Coil_90_RunAll.py,SST_Coil_90_RunAll__zipentry31.py,1737,2867025330
32,SST_Coil_90_RunAll.py,SST_Coil_90_RunAll__zipentry32.py,217,11487489
33,SST_Coil_90_RunAll.py,SST_Coil_90_RunAll__zipentry33.py,3394,2312422743
34,SST_Coil_90_RunAll.py,SST_Coil_90_RunAll__zipentry34.py,112,1163499353
35,README_SST_Coil.md,README_SST_Coil.md,2189,49971438
36,README_SST_Coil_DigitalTwin_v4.md,README_SST_Coil_DigitalTwin_v4.md,1413,803756980
37,README_SST_Coil_DigitalTwin_v5.md,README_SST_Coil_DigitalTwin_v5.md,1399,3902969377
38,README_SST_Coil_DigitalTwin_v7.md,README_SST_Coil_DigitalTwin_v7.md,1507,1929011785
39,README_SST_Coil_DigitalTwin_v8.md,README_SST_Coil_DigitalTwin_v8.md,469,4278273713
40,SST_Coil_00_common.py,SST_Coil_00_common__zipentry40.py,9562,2992121400
41,SST_Coil_00_common.py,SST_Coil_00_common__zipentry41.py,5135,3875285867
42,SST_Coil_00_common.py,SST_Coil_00_common__zipentry42.py,2798,1533375839
