q_m_inv,power
-2.2161851940869141e+02,1.4497270217519401e-07
-2.2140209507333137e+02,1.4345856026383677e-07
-2.2118567073797132e+02,1.4194766254253237e-07
-2.2096924640261125e+02,1.4196615211272361e-07
-2.2075282206725120e+02,1.4346283971368327e-07
-2.2053639773189116e+02,1.4505738248092679e-07
-2.2031997339653111e+02,1.4475660763446707e-07
-2.2010354906117107e+02,1.4312431823985153e-07
-2.1988712472581102e+02,1.4214966348634451e-07
-2.1967070039045095e+02,1.4221109406783696e-07
-2.1945427605509090e+02,1.4414288128808921e-07
-2.1923785171973086e+02,1.4425059065493996e-07
-2.1902142738437081e+02,1.4475357720833840e-07
-2.1880500304901076e+02,1.4265514784674422e-07
-2.1858857871365072e+02,1.4345642818537869e-07
-2.1837215437829065e+02,1.4216567007447709e-07
-2.1815573004293060e+02,1.4445388162688958e-07
-2.1793930570757055e+02,1.4295751570275673e-07
-2.1772288137221051e+02,1.4496076047886221e-07
-2.1750645703685046e+02,1.4264364207501111e-07
-2.1729003270149042e+02,1.4429125004668998e-07
-2.1707360836613034e+02,1.4221468128688195e-07
-2.1685718403077030e+02,1.4432152012181458e-07
-2.1664075969541025e+02,1.4302776591162289e-07
-2.1642433536005021e+02,1.4493723258800327e-07
-2.1620791102469016e+02,1.4297182727798229e-07
-2.1599148668933012e+02,1.4387574033117635e-07
-2.1577506235397004e+02,1.4261107062036873e-07
-2.1555863801861000e+02,1.4426005833641311e-07
-2.1534221368324995e+02,1.4409325703140242e-07
-2.1512578934788991e+02,1.4468280302805016e-07
-2.1490936501252986e+02,1.4338875416107051e-07
-2.1469294067716979e+02,1.4299467512661925e-07
-2.1447651634180974e+02,1.4293560863349140e-07
-2.1426009200644970e+02,1.4398355795216152e-07
-2.1404366767108965e+02,1.4473103408134832e-07
-2.1382724333572961e+02,1.4468713987151578e-07
-2.1361081900036956e+02,1.4383584550770550e-07
-2.1339439466500949e+02,1.4301607121210553e-07
-2.1317797032964944e+02,1.4312193769050667e-07
-2.1296154599428939e+02,1.4394082688016372e-07
-2.1274512165892935e+02,1.4462577934613560e-07
-2.1252869732356930e+02,1.4475842947216240e-07
-2.1231227298820926e+02,1.4389198738112614e-07
-2.1209584865284918e+02,1.4382038919104265e-07
