quantity,value,unit
curve,"torus_knot_T(2,3)",
n_points,2048,
length_m,29.031787468478,m
ds_m,0.014175677474842774,m
constants_source,fallback canonical constants,
v_swirl_m_s,1093845.63,m s^-1
r_c_m,1.40897017e-15,m
rho_f_kg_m3,7e-07,kg m^-3
gamma0_m2_s,9.68361918e-09,m^2 s^-1
natural_unit_m,8.852820648924658e-15,m
q0_m_inv,0.2164243353600502,m^-1
q_min_m_inv,0.2164243353600502,m^-1
phase_source,integrated_torsion,
total_torsion_rad,-17.07414324054122,rad
mean_tau_m_inv,-0.5881189113512195,m^-1
rms_tau_m_inv,1.2482864274963723,m^-1
mean_kappa_m_inv,0.5280910174914488,m^-1
rms_kappa_m_inv,0.5394178416767897,m^-1
q_peak_abs_m_inv,0.6492730060801507,m^-1
q50_abs_m_inv,0.6931549566956168,m^-1
q90_abs_m_inv,2.597092024320603,m^-1
q95_abs_m_inv,3.4875378676321254,m^-1
ell_eff_95,16.11435175175726,
spectral_m2_power_m_inv2,16.34908619920062,m^-2
edge_fraction_ell_1,0.14531372425005035,1
q_edge_ell_1,0.2164243353600502,m^-1
f_edge_ell_1,37677.515763976655,Hz
x1_ell_1,14.515893734239,m
edge_fraction_ell_2,0.16958477475779396,1
q_edge_ell_2,0.4328486707201004,m^-1
f_edge_ell_2,75355.03152795331,Hz
x1_ell_2,7.2579468671195,m
edge_fraction_ell_4,0.5446732882664066,1
q_edge_ell_4,0.8656973414402008,m^-1
f_edge_ell_4,150710.06305590662,Hz
x1_ell_4,3.62897343355975,m
