counterterm_model,status,n_points,M_min,M_max,rms,S_ren,S_ren_se,alpha_inv_half_RT_only,a_M,a_M_se,a_sqrtM,a_sqrtM_se,a_logM,a_logM_se,soft_action,S_total_soft_plus_RT,alpha_inv_pred_blind_with_soft,knot,reference,target_selected,counterterm_tail_frac,max_common_modes,soft_index_count,soft_volume_mode,soft_volume_value,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se
hk,PASS_FIT,31,11,41,0.0017731481285777062,-0.05151030891330724,0.013037399031907437,-0.02575515445665362,0.03298485782539985,0.003992731565066692,-0.6957553055212147,0.07674088478044798,0.8312944354919886,0.09043307202456116,16.755160819145562,16.703650510232254,8.351825255116127,3_1,0_1,True,0.75,41,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,31,11,41,0.0017633133683204545,-2.4288499194768636,4.408284493795398,-1.2144249597384318,0.05005005809406497,0.031901383777775,-1.1840457631775876,0.9087632940482047,1.976875040426091,2.12620866550774,16.755160819145562,14.326310899668698,7.163155449834349,3_1,0_1,True,0.75,41,4,unit_ball,4.1887902047863905,3.5241960004281876,6.534863061860355,,
hk+inv_sqrt+inv,PASS_FIT,31,11,41,0.0017129803926320953,114.61019390264124,95.95697692719584,57.30509695132062,-0.23667420929433636,0.23695059150387826,9.678677837859684,8.942244841585541,-36.1200892445612,31.27326777934217,16.755160819145562,131.36535472178682,65.68267736089341,3_1,0_1,True,0.75,41,4,unit_ball,4.1887902047863905,-230.96698553454092,192.16250962585903,133.56723200582886,109.39449918481938
hk,PASS_FIT,31,11,41,0.0020805857834507017,-0.10365330595102322,0.015297891158545593,-0.05182665297551161,0.00887604192040519,0.004685012152975675,-0.27453438075933423,0.0900466189543347,0.38549311918743795,0.10611282891463723,16.755160819145562,16.651507513194538,8.325753756597269,4_1,0_1,False,0.75,41,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,31,11,41,0.0019691067770733293,-8.668753395832363,4.922768140904984,-4.3343766979161815,0.07035869576822679,0.035624541912630626,-2.033751542740462,1.0148235663693996,4.512801013561684,2.3743549887058175,16.755160819145562,8.086407423313199,4.0432037116565995,4_1,0_1,False,0.75,41,4,unit_ball,4.1887902047863905,12.697004393441045,7.297536202888279,,
hk+inv_sqrt+inv,PASS_FIT,31,11,41,0.0019302459125312922,-117.58651698543545,108.12766059042683,-58.793258492717726,0.3371873108265939,0.2670041716119427,-12.142716230756603,10.076432648363472,39.96623615765176,35.239806341167316,16.755160819145562,-100.8313561662899,-50.41567808314495,4_1,0_1,False,0.75,41,4,unit_ball,4.1887902047863905,230.91696108660992,216.53540247307075,-124.2990691297781,123.26952825212918
