selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate,grid_label
M_Lcert2,g001_nc12_nt4_ns24_tf0p36_of2p2,12,4,24,0.36,2.2,16.371637,137.15470540383689,561.8934826044082,19030.1653622436,0.029526463480933338,0.014763231740466669,137.16946863557735,0.00010763926543386145,PASS_SUBLEADING_CORRECTION,B1_paired_coarse
M_Lcert2,g002_nc16_nt4_ns36_tf0p32_of2p6,16,4,36,0.32,2.6,16.371637,137.15470540383689,404.39545622765297,26535.01930791713,0.015240066401873519,0.007620033200936759,137.16232543703782,5.555794224121158e-05,PASS_SUBLEADING_CORRECTION,B1_paired_coarse
M_Lcert2,g003_nc20_nt5_ns48_tf0p28_of3p0,20,5,48,0.28,3.0,16.371637,137.15470540383689,-38.1303390093567,39400.48321478604,-0.0009677632327881531,-0.00048388161639407654,137.1542215222205,3.527998656475843e-06,PASS_SUBLEADING_CORRECTION,B1_paired_coarse
M_Lcert2,g004_nc24_nt6_ns72_tf0p24_of3p4,24,6,72,0.24,3.4,16.371637,137.15470540383689,242.73955394416598,57626.55708285033,0.004212286248424952,0.002106143124212476,137.1568115469611,1.5355966957248533e-05,PASS_SUBLEADING_CORRECTION,B1_paired_coarse
M_Lcert2,g001_nc16_nt4_ns36_tf0p34_of2p4,16,4,36,0.34,2.4,16.371637,137.15470540383689,343.50198764447794,26535.01930791713,0.01294523224793693,0.006472616123968465,137.16117801996086,4.7192082144834634e-05,PASS_SUBLEADING_CORRECTION,B2_paired_medium
M_Lcert2,g002_nc20_nt5_ns48_tf0p3_of2p8,20,5,48,0.3,2.8,16.371637,137.15470540383689,-32.46965905980426,39400.48321478604,-0.000824092914871135,-0.0004120464574355675,137.15429335737946,3.0042458712761052e-06,PASS_SUBLEADING_CORRECTION,B2_paired_medium
M_Lcert2,g003_nc24_nt6_ns72_tf0p26_of3p2,24,6,72,0.26,3.2,16.371637,137.15470540383689,198.43355855467283,57626.55708285033,0.0034434394244546437,0.0017217197122273219,137.15642712354912,1.2553121725994805e-05,PASS_SUBLEADING_CORRECTION,B2_paired_medium
M_Lcert2,g004_nc32_nt7_ns96_tf0p22_of3p6,32,7,96,0.22,3.6,16.371637,137.15470540383689,189.96554155144545,85501.72888106632,0.002221774273309599,0.0011108871366547995,137.15581629097355,8.099518958419364e-06,PASS_SUBLEADING_CORRECTION,B2_paired_medium
M_Lcert2,g001_nc12_nt4_ns24_tf0p32_of2p6,12,4,24,0.32,2.6,16.371637,137.15470540383689,417.9921983978666,19030.1653622436,0.021964717092116042,0.010982358546058021,137.16568776238293,8.007277995838115e-05,PASS_SUBLEADING_CORRECTION,B3_cartesian_mesh_cross
M_Lcert2,g002_nc12_nt4_ns24_tf0p32_of3p2,12,4,24,0.32,3.2,16.371637,137.15470540383689,150.64678635785256,19030.1653622436,0.007916210053368226,0.003958105026684113,137.15866350886358,2.8858689281056088e-05,PASS_SUBLEADING_CORRECTION,B3_cartesian_mesh_cross
M_Lcert2,g003_nc12_nt4_ns24_tf0p28_of2p6,12,4,24,0.28,2.6,16.371637,137.15470540383689,1426.2969343694922,19030.1653622436,0.0749492664524769,0.03747463322623845,137.1921800370631,0.00027322892871884004,PASS_SUBLEADING_CORRECTION,B3_cartesian_mesh_cross
M_Lcert2,g004_nc12_nt4_ns24_tf0p28_of3p2,12,4,24,0.28,3.2,16.371637,137.15470540383689,845.5523069350704,19030.1653622436,0.044432210169474975,0.022216105084737488,137.17692150892162,0.0001619784390139924,PASS_SUBLEADING_CORRECTION,B3_cartesian_mesh_cross
