name,symbolic,latex
A_general,a*chi_R + 4*b/chi_R,a \chi_{R} + \frac{4 b}{\chi_{R}}
A_dual,4*a/chi_R + b*chi_R,\frac{4 a}{\chi_{R}} + b \chi_{R}
A_dual_minus_A,(4*a - 4*b + chi_R**2*(-a + b))/chi_R,\frac{4 a - 4 b + \chi_{R}^{2} \left(- a + b\right)}{\chi_{R}}
A_min_selected,chi_R + 21/(5*chi_R),\chi_{R} + \frac{21}{5 \chi_{R}}
dA_min,1 - 21/(5*chi_R**2),1 - \frac{21}{5 \chi_{R}^{2}}
chi_star,sqrt(105)/5,\frac{\sqrt{105}}{5}
lambda_chi,21/5,\frac{21}{5}
self_dual_exact_for_minimal_class,False,False
matches_lambda_4,False,False
matches_chi_2,False,False
