channel,point,epsilon,energy_initial,energy_final,relative_relax_step_norm,iterations,success,message
scalar,minus,-0.0152703116982,14.730222918606827,14.730222918606827,0.0,0,False,frozen
scalar,zero,0.0,14.698360361844074,14.698360361844074,0.0,0,False,frozen
scalar,plus,0.0152703116982,14.666816072976403,14.666816072976403,0.0,0,False,frozen
perp,minus,-0.0152703116982,14.699420569248531,14.699420569248531,0.0,0,False,frozen
perp,zero,0.0,14.698360361844074,14.698360361844074,0.0,0,False,frozen
perp,plus,0.0152703116982,14.699420569248531,14.699420569248531,0.0,0,False,frozen
