counterterm_model,status,n_points,M_min,M_max,rms,S_ren,S_ren_se,alpha_inv_half_RT_only,a_M,a_M_se,a_sqrtM,a_sqrtM_se,a_logM,a_logM_se,soft_action,S_total_soft_plus_RT,alpha_inv_pred_blind_with_soft,knot,reference,target_selected,counterterm_tail_frac,max_common_modes,soft_index_count,soft_volume_mode,soft_volume_value,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se
hk,PASS_FIT,480,160,639,0.0008521057280244177,0.698847040617919,0.02790056427243443,0.3494235203089595,-0.0010122894726727132,2.8624569371781367e-05,0.06869854533700039,0.002153062441566667,-0.26912228808539285,0.009924988979634106,16.755160819145562,17.454007859763482,8.727003929881741,3_1,0_1,True,0.75,639,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,480,160,639,0.0006356382845324993,-14.897737523384443,0.8018236980792333,-7.448868761692221,0.0021538099505785044,0.00016411287426468656,-0.2855609382699568,0.018277258801463546,2.979431261973764,0.16711685869763782,16.755160819145562,1.8574232957611194,0.9287116478805597,3_1,0_1,True,0.75,639,4,unit_ball,4.1887902047863905,39.04155350763043,2.006456796537506,,
hk+inv_sqrt+inv,PASS_FIT,480,160,639,0.0006284382215227712,-59.95259248120439,13.65438863701521,-29.976296240602196,0.005990545613922094,0.0011721089827390514,-0.8533162340994371,0.17272367587467405,10.753250876974004,2.357770838306279,16.755160819145562,-43.19743166205883,-21.598715831029416,3_1,0_1,True,0.75,639,4,unit_ball,4.1887902047863905,225.75884034210776,56.5260598690694,-414.8253036963351,125.50510036176703
hk,PASS_FIT,480,160,639,0.0013835254334544024,1.6932257007129419,0.045300881110302914,0.8466128503564709,-0.0023358092232756795,4.647641536145685e-05,0.15943966748388613,0.003495829859786551,-0.6474696503606456,0.016114754576189116,16.755160819145562,18.448386519858502,9.224193259929251,4_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,480,160,639,0.0013632523895047923,8.178679229680043,1.7196699742087287,4.089339614840021,-0.0036523532777332744,0.00035197261309453823,0.3067497024919019,0.03919920706635587,-1.998300211937327,0.35841525359607435,16.755160819145562,24.933840048825605,12.466920024412802,4_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,-16.23446338096494,4.3032446107767965,,
hk+inv_sqrt+inv,PASS_FIT,480,160,639,0.001234538019773933,281.2665047550412,26.823419282675903,140.6332523775206,-0.026907689476214247,0.0023025542574473664,3.7480449705316476,0.3393077274416994,-49.1172066355454,4.631732511033927,16.755160819145562,298.0216655741867,149.01083278709336,4_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,-1147.9708300247419,111.04284816937276,2514.351455917507,246.54900476407514
