r_m,avg_vtheta_mps,far_vtheta_mps,rel_deviation,hexapole_over_mean
6e-13,28.33230486343777,7705.979316274286,-0.9963233349454231,250.14618945193004
6.554185041430453e-13,50.96165556479484,7054.405026006822,-0.9927759101757102,194.3019624869475
7.159556926218446e-13,159.53212109086388,6457.92419476811,-0.9752966872512828,93.37931671508396
7.820843484848451e-13,-17873.10914481192,5911.878429381668,-4.0232538368826525,0.7320008474121781
8.543209229960417e-13,-16255.666512858063,5412.003224209918,-4.003632082135572,0.2955083239602121
9.332295690136186e-13,-14865.6689717941,4954.394656238222,-4.000501575520696,0.05082456293475026
1.0194265469082738e-12,-13607.377593852301,4535.478896235369,-4.0002074544205195,0.018366572304876316
1.1135850374305508e-12,-12466.655110575655,4151.984297878933,-4.002577614983834,0.2474422289707301
1.2164403991146803e-12,-11498.347865975476,3800.9158468673,-4.025151918438913,0.8226857643288602
1.3287959112781872e-12,33.82523861306536,3479.531770471116,-0.9902787958712946,155.7522383443319
1.4515290474689061e-12,8.868156144083148,3185.3221248495993,-0.9972159311377333,257.6973845684627
1.5855983283537487e-12,3.6555737625927387,2915.989192902986,-0.998746369235013,304.3155868597682
1.7320508075688776e-12,1.7693760973128156,2669.4295395723875,-0.9993371707059193,328.5364941677971
1.8920302489942446e-12,0.9311314884603449,2443.717584442613,-0.9996189692727228,342.273705273193
2.066786059315334e-12,0.5157909119747364,2237.0905633533403,-0.9997694367316083,350.59838108804286
2.2576830456335913e-12,0.29572619204160216,2047.9347615719091,-0.9998555978454047,355.93020703158356
2.4662120743304702e-12,0.1737546572257588,1874.772911011632,-0.9999073196245768,359.52407468479066
2.6940017144286546e-12,0.10395318115037068,1716.252653070469,-0.9999394301410317,362.07340079778066
2.942830956382712e-12,0.06305254194709395,1571.1359769872145,-0.9999598681827221,363.9811319500413
3.214643105630339e-12,0.038653136896479916,1438.2895512309015,-0.9999731256221228,365.4914511867253
3.5115609594099814e-12,0.023894249816263747,1316.6758724135702,-0.9999818525953753,366.75791299902136
3.835903385372676e-12,0.014868937647623849,1205.3451626012127,-0.9999876641661584,367.8805196248467
4.1902034314636685e-12,0.009301795498546357,1103.4279517425525,-0.9999915700925613,368.92675785132354
4.577228108508286e-12,0.0058438717446087805,1010.1282872859473,-0.9999942147232009,369.943965798165
5e-12,0.0036840101206011234,924.7175179529142,-0.9999960160697196,370.9668324136021
