normalizer,n_runs,n_valid,pass_count,pass_fraction,alpha_inv_blind_v13_mean,alpha_inv_blind_v13_std,alpha_inv_blind_v13_span,alpha_inv_blind_v13_cv_abs,abs_correction_ratio_mean,abs_correction_ratio_max,DeltaF_phys_cert_mean,DeltaF_phys_cert_std,stability_gate
raw,3,3,0,0.0,119.69975861327178,213.04641739157626,384.3427181753672,1.7798399918239651,1.2346116344902607,1.6610204634858343,-34.90989358113021,426.0928347831525,FAIL_CERTIFIED_STABILITY_GATE
Mmax,3,3,3,1.0,135.93713351389604,3.9157876505436766,7.439117902900705,0.028805871871230748,0.024473797694072503,0.03084422773604836,-2.4351437798817086,7.831575301087355,FAIL_CERTIFIED_STABILITY_GATE
sqrtM,3,3,0,0.0,131.57708437193068,28.505875644183458,52.76958366659038,0.21664772236178698,0.17208454801809517,0.19712686199496413,-11.155242063812388,57.01175128836693,FAIL_CERTIFIED_STABILITY_GATE
Lcert,3,3,0,0.0,136.08853549116625,13.013140799028001,23.476132421905476,0.09562260885578203,0.07541161793962697,0.10145720085815697,-2.132339825341244,26.026281598055984,FAIL_CERTIFIED_STABILITY_GATE
Lcert2,3,3,3,1.0,137.08958241627795,0.7948588646955739,1.4339514382041045,0.005798098226617639,0.00460623564641868,0.006197132324529122,-0.13024597511789704,1.5897177293911406,PASS_CERTIFIED_STABLE_NORMALIZER
Lcert3,3,3,3,1.0,137.15072761056192,0.048550970479955914,0.08758754168590599,0.00035399717760022315,0.00028135461630493514,0.0003785285689225287,-0.007955586549952024,0.09710194095991381,PASS_CERTIFIED_STABLE_NORMALIZER
NsoftV,3,3,0,0.0,136.11294000516523,12.715271413458195,22.938766289619366,0.09341706536480422,0.0736854541604585,0.0991348565027106,-2.083530797343341,25.430542826916376,FAIL_CERTIFIED_STABILITY_GATE
NsoftV_Lcert,3,3,3,1.0,137.09107307442036,0.776664631243542,1.4011284448598076,0.005665318782805988,0.004500799410618407,0.006055280635816114,-0.12726465883303786,1.5533292624870916,PASS_CERTIFIED_STABLE_NORMALIZER
leading_full_cert,3,3,3,1.0,137.09107307442036,0.776664631243542,1.4011284448598076,0.005665318782805988,0.004500799410618407,0.006055280635816114,-0.12726465883303786,1.5533292624870916,PASS_CERTIFIED_STABLE_NORMALIZER
leading_half_cert,3,3,3,1.0,137.02744074500384,1.5533292624871005,2.8022568897196436,0.011335899247930282,0.009001598821236814,0.012110561271632228,-0.2545293176660757,3.106658524974183,FAIL_CERTIFIED_STABILITY_GATE
M_Lcert,3,3,3,1.0,137.08033459473936,0.2391811918712576,0.454390596548194,0.0017448249785672503,0.0014948900769099942,0.0018840038864805248,-0.14874161819503504,0.4783623837425271,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM_Lcert,3,3,3,1.0,136.81401735707001,1.7411744252687391,3.2232319630950883,0.012726579183216727,0.0105111387467298,0.012040754507015037,-0.6813760935337371,3.4823488505374827,FAIL_CERTIFIED_STABILITY_GATE
M_Lcert2,3,3,3,1.0,137.1501627420922,0.014609485408893393,0.027754744168106527,0.00010652182335624496,9.130974971592602e-05,0.00011507730634881074,-0.009085323489339218,0.029218970817794645,PASS_CERTIFIED_STABLE_NORMALIZER
