Monopole batch summary
======================
Generated (UTC): 2026-04-07T17:59:22Z
Root: C:\workspace\projects\SSTcore\sstcore\resources\knotplot
Command: test_monopole_from_fseries.py --batch . --n-curve 4000 --grid 96 --tube-radius 0.06 --padding 0.6 --alpha 1.0 --beta 1.0

Run parameters
--------------
n_curve=4000 grid_n=96 tube_radius=0.06 padding=0.6 alpha=1.0 beta=1.0

Aggregate
---------
Total .fseries files: 45
Succeeded: 45
Failed: 0
Mixed 'plausible monopole candidate' (heuristic): 45 / 45
Pure tensor monopole suppressed (heuristic): 45 / 45

Per-knot (tab-separated)
------------------------
ok	relpath	stem	error	header_L	n_harmonics	curve_length	bbox_diag	Q_tensor	Q_mix	tensor_norm_dipole	tensor_norm_quad	mix_norm_dipole	mix_norm_quad	mix_plausible	tensor_monopole_suppressed	scalar_mass
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1			100	1.09585701829226025e+02	2.57265867701912860e+01	-2.15013015730068817e-09	8.87138112006274909e+07	9.50187902895970327e-01	5.84170382023094727e+12	1.05614394106600257e-01	5.19852710911388946e-02	1	1	8.87138112006274909e+07
1	knot_0.3.1\knot_0.3.1.fseries	knot_0.3.1			100	1.32664976906161542e+02	4.38545688777935894e+01	4.83323182798948122e-09	1.28160144633895114e+08	4.41474418398437762e-01	1.15698227234201719e+13	2.26485637986193686e-02	4.18514990237325926e-02	1	1	1.28160144633895114e+08
1	knot_10.1\knot_10.1.fseries	knot_10.1			100	1.52338291015471555e+02	2.72076777996067634e+01	-1.08609930765635313e-08	1.40572802373057812e+08	3.09757719254613734e-02	1.84681104633636792e+12	1.06837477523241669e-02	2.31829703053813910e-02	1	1	1.40572802373057812e+08
1	knot_10.123\knot_10.123.fseries	knot_10.123			100	1.57691452166844556e+02	2.27267243361492532e+01	-7.09706915589758510e-10	1.29667651746368498e+08	3.06312569329252460e+00	1.95773181125184414e+13	3.15770546151656738e-03	1.65741370855128599e-02	1	1	1.29667651746368498e+08
1	knot_2.2.1\knot_2.2.1.fseries	knot_2.2.1			100	9.90761278638866116e+01	2.44074172558551403e+01	-2.24502378662650341e-09	7.96748395753383040e+07	9.30886050434204027e-01	3.11382444094857266e+13	2.30888174391257871e-03	3.52933573353397326e-02	1	1	7.96748395753383189e+07
1	knot_3.1\knot_3.1.fseries	knot_3.1			100	5.70069081485537055e+01	1.47598597958369329e+01	0.00000000000000000e+00	4.84129775871611685e+07	1.65191994125511096e+22	1.11322987976781718e+37	1.48930002175257222e-03	2.40440108108037932e-02	1	1	4.84129775871611685e+07
1	knot_4.1\knot_4.1.fseries	knot_4.1			100	8.21887081459763209e+01	1.92619765136667169e+01	-3.26403333201322164e-09	6.94509301807112843e+07	3.20264044730661890e-01	3.99169009825376514e+12	1.70468869541992216e-03	1.27086475456366366e-02	1	1	6.94509301807112843e+07
1	knot_4.2.1\knot_4.2.1.fseries	knot_4.2.1			100	1.14901398804202373e+02	2.53199192244801488e+01	1.63477911575223671e-09	1.14104424070147187e+08	1.25547827122845335e+00	3.89306161143413672e+13	4.60712736800313136e-03	2.11990150527228347e-02	1	1	1.14104424070147201e+08
1	knot_5.1\knot_5.1.fseries	knot_5.1			100	8.41848583087311084e+01	1.99256014103842425e+01	-2.69518583758408063e-09	6.86613265546277314e+07	2.62961411264548361e-01	1.13736012231754492e+13	4.62744840414336129e-03	2.51054122619737904e-02	1	1	6.86613265546277016e+07
1	knot_5.2\knot_5.2.fseries	knot_5.2			100	9.67827915530942846e+01	2.28216413121666122e+01	-6.40843421424744227e-10	8.25916164053614289e+07	3.58800067285621882e+00	5.38850916601857188e+13	6.06962639069901812e-03	2.40528768989285227e-02	1	1	8.25916164053614289e+07
1	knot_5.2.1\knot_5.2.1.fseries	knot_5.2.1			100	1.04305049461756070e+02	2.24948307901658069e+01	-2.21736424115291788e-09	8.87410995593888164e+07	4.16489397942350126e-01	2.46012580526376797e+13	7.92296433123258412e-03	2.42905772959433816e-02	1	1	8.87410995593888164e+07
1	knot_6.1\knot_6.1.fseries	knot_6.1			100	1.14396784947466273e+02	2.38212342224108973e+01	2.61532634349267970e-09	9.14545498531901687e+07	4.20972543506222541e-01	1.08364890790822383e+13	6.73281291608990740e-03	2.73388228204588385e-02	1	1	9.14545498531901538e+07
1	knot_6.2\knot_6.2.fseries	knot_6.2			100	1.00436322250641240e+02	2.03167416749145957e+01	6.23349602647831817e-09	8.54325055548011065e+07	1.44145723533384396e-01	4.99461514944139551e+12	5.91832872729378470e-03	2.33681514432666666e-02	1	1	8.54325055548011065e+07
1	knot_6.2.1\knot_6.2.1.fseries	knot_6.2.1			100	1.36246345285339714e+02	2.40778609203769172e+01	7.92666603795276854e-09	1.16580396523417756e+08	5.36064312025137935e-01	8.31697612749982715e+12	7.95132823397585314e-03	2.90837297557838166e-02	1	1	1.16580396523417756e+08
1	knot_6.3\knot_6.3.fseries	knot_6.3			100	1.03707773492495861e+02	2.10965494716664814e+01	7.02793581390962385e-09	8.74075382989857644e+07	3.40484743885341112e-01	3.73567961027932422e+12	1.18116265247849538e-02	1.70496033425096769e-02	1	1	8.74075382989857644e+07
1	knot_6.3.1\knot_6.3.1.fseries	knot_6.3.1			100	1.34992877917815321e+02	2.24311537813414397e+01	-9.75473443067994863e-09	1.13432401289157450e+08	1.33904891972023987e-01	3.96861441387517627e+12	3.90883476899896685e-03	7.35524941222210141e-03	1	1	1.13432401289157450e+08
1	knot_6.3.2\knot_6.3.2.fseries	knot_6.3.2			100	1.50734729433112477e+02	2.19231656366722376e+01	-3.98707985554954584e-09	1.28253363370480686e+08	5.67357724283740761e-01	1.52787543731528555e+13	1.40175701215464448e-03	9.75007185838474948e-03	1	1	1.28253363370480642e+08
1	knot_6.3.3\knot_6.3.3.fseries	knot_6.3.3			100	1.40713355212372335e+02	2.40224847138933164e+01	-5.12362535652225190e-10	1.21939113692298651e+08	6.38194362489189349e+00	3.36408037937523711e+13	5.41747719682173032e-03	1.09859919375638257e-02	1	1	1.21939113692298666e+08
1	knot_7.1\knot_7.1.fseries	knot_7.1			100	1.14279877132167599e+02	2.43450025971472606e+01	3.72868842854139863e-09	9.42316702916091830e+07	3.93846612606368218e-01	1.22761450002133184e+13	2.12177032543700702e-03	3.09571727629857629e-02	1	1	9.42316702916091830e+07
1	knot_7.2\knot_7.2.fseries	knot_7.2			100	1.06774026591035593e+02	2.27302376812400269e+01	3.22602755390398222e-09	9.71471187755389959e+07	6.37723326293992643e-01	1.31338982375274922e+13	3.09507839015576124e-03	2.61027573596909618e-02	1	1	9.71471187755389959e+07
1	knot_7.2.5\knot_7.2.5.fseries	knot_7.2.5			100	1.53970771061274007e+02	2.51919540220259606e+01	4.86521963025879926e-09	1.31341525150318116e+08	5.25832994086949501e-01	1.27198504106976562e+13	1.30853546377970743e-02	2.03092847780912168e-02	1	1	1.31341525150318116e+08
1	knot_7.2.6\knot_7.2.6.fseries	knot_7.2.6			100	1.39436818539813601e+02	2.28811218806577692e+01	1.80018906576665171e-09	1.20240779900664419e+08	9.16811107655143065e-01	2.93519243474496172e+13	6.93174347494158495e-03	1.51214231085456865e-02	1	1	1.20240779900664389e+08
1	knot_7.2.8\knot_7.2.8.fseries	knot_7.2.8			100	1.64866021279180131e+02	2.95060427748311831e+01	9.88360020951051337e-09	1.35434090818027645e+08	8.06645058322861264e-02	7.32069728086157422e+12	1.03375460947965746e-02	1.44183052926752861e-02	1	1	1.35434090818027645e+08
1	knot_7.3\knot_7.3.fseries	knot_7.3			100	1.43577806595847562e+02	3.06678513854520283e+01	3.83033617641201328e-09	1.09791652994845182e+08	5.22736964529773362e-01	3.36546031810103711e+12	2.20305921561164721e-02	3.85785983626198287e-02	1	1	1.09791652994845182e+08
1	knot_7.4\knot_7.4.fseries	knot_7.4			100	1.23115737521088903e+02	2.62838288987927804e+01	2.44196300537060603e-09	1.10157861231010199e+08	3.48450088788430035e-01	9.98899586762892969e+12	1.13182718175199731e-02	2.17799959003477615e-02	1	1	1.10157861231010199e+08
