target,target_id,L_cert,mode,command_hint,returncode
3_1,3:1:1,16.371637,dry_run_plan,run BEMv13 for 3_1 then rerun BEMv18 with --from-bemv13-outdirs,
4_1,4:1:1,21.043322,dry_run_plan,run BEMv13 for 4_1 then rerun BEMv18 with --from-bemv13-outdirs,
5_1,5:1:1,23.598564,dry_run_plan,run BEMv13 for 5_1 then rerun BEMv18 with --from-bemv13-outdirs,
