tau,D,pass_Np4_cutoff_gate,N_p_from_retained_constraints,status
0.2,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
0.2,0.14375,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.2,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.2,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.2,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.2,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.2,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.2,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.2,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.55,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
0.55,0.14375,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.55,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.55,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.55,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.55,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.55,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.55,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.55,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.8999999999999999,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
0.8999999999999999,0.14375,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.8999999999999999,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.8999999999999999,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.8999999999999999,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.8999999999999999,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.8999999999999999,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
0.8999999999999999,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
