object_id,source_path,member,component,points,closure_gap,closed_polygon_length,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
ideal:0:1:2,ideal.txt,0:1:2,1,512,0.0122717692983,6.28314588073,-2.5,-0.5,-1,1,0,0
ideal:0:1:2,ideal.txt,0:1:2,2,512,0.0122717692983,6.28314588073,0.5,2.5,-1,1,0,0
knot_0.2.1,knotplot\knot_0.2.1\knot_0.2.1.txt,knot_0.2.1.txt,1,32,1.12565147,36.02084704,-5.74211506134,5.7421158213,7.85675693099,7.85675693099,-5.74211506134,5.7421158213
knot_0.2.1,knotplot\knot_0.2.1\knot_0.2.1.txt,knot_0.2.1.txt,2,32,1.12565147,36.02084704,-5.74211506134,5.7421158213,-7.85675693099,-7.85675693099,-5.74211506134,5.7421158213
knot_0.3.1,knotplot\knot_0.3.1\knot_0.3.1.txt,knot_0.3.1.txt,1,8,1.18076528175,9.44611932471,-1.75605250202,1.1846492982,-7.49346739405,-6.01045029004,10.4317030444,12.971491192
knot_0.3.1,knotplot\knot_0.3.1\knot_0.3.1.txt,knot_0.3.1.txt,2,8,1.18076520072,9.44611929484,-14.6832952365,-11.6741847205,4.22427550057,5.73796509956,-9.52834231127,-6.92725510903
knot_0.3.1,knotplot\knot_0.3.1\knot_0.3.1.txt,knot_0.3.1.txt,3,8,1.18076516347,9.44611933154,11.7874111359,14.8291916708,3.71228317777,5.24029776747,-9.46959479959,-6.83904431893
knot_2.2.1,knotplot\knot_2.2.1\knot_2.2.1.txt,knot_2.2.1.txt,1,36,1.13117386903,40.8368640763,-7.1369038858,3.4354687663,-3.0455578682,8.67083031593,-4.91059862762,4.55047729639
knot_2.2.1,knotplot\knot_2.2.1\knot_2.2.1.txt,knot_2.2.1.txt,2,36,1.1373734883,40.8368640763,-3.43547371631,7.13690123693,-8.67082329168,3.04555246684,-4.91059758261,4.55049191172
knot_4.2.1,knotplot\knot_4.2.1\knot_4.2.1.txt,knot_4.2.1.txt,1,39,1.15438849089,45.3219935498,-4.08360080168,4.15246099658,-7.78806060702,8.45481744117,-2.49666939412,2.07917866503
