object_id,source_path,member,component,points,closure_gap,closed_polygon_length,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
knot_4.2.1,knotplot\knot_4.2.1\knot_4.2.1.txt,knot_4.2.1.txt,2,42,1.15837512144,48.8613733211,-8.64434103687,8.67539690586,-3.20016005928,3.89667017599,-3.19153127271,2.71194394068
knot_5.2.1,knotplot\knot_5.2.1\knot_5.2.1.txt,knot_5.2.1.txt,1,38,1.16589508202,45.252653181,-5.12690797527,4.71640047719,-6.55015477516,7.20399980341,-3.00667360218,2.57063619142
knot_5.2.1,knotplot\knot_5.2.1\knot_5.2.1.txt,knot_5.2.1.txt,2,39,1.22385245709,47.8620766317,-8.37387362355,8.02764019996,-2.67801664018,3.30606714919,-1.8387271667,1.29051754962
knot_6.2.1,knotplot\knot_6.2.1\knot_6.2.1.txt,knot_6.2.1.txt,1,49,1.18016019873,57.7539705714,-9.09756744087,8.45602953632,-6.34253470613,4.80478758628,-4.11918016079,4.50082295146
knot_6.2.1,knotplot\knot_6.2.1\knot_6.2.1.txt,knot_6.2.1.txt,2,51,1.16712928462,60.0469080595,-8.00895699126,9.07268327972,-5.72429740228,6.34935528814,-4.1242338058,4.49501552938
knot_6.3.1,knotplot\knot_6.3.1\knot_6.3.1.txt,knot_6.3.1.txt,1,37,1.21388601377,43.7412493214,-4.79242038629,7.15341614417,-6.83845297202,4.95346992281,-6.35193975897,3.80129944834
knot_6.3.1,knotplot\knot_6.3.1\knot_6.3.1.txt,knot_6.3.1.txt,2,31,1.18140625034,36.8564168337,-6.78633733265,-0.330087070361,-6.79394311225,5.33802730975,-4.28518245398,5.20819245683
knot_6.3.1,knotplot\knot_6.3.1\knot_6.3.1.txt,knot_6.3.1.txt,3,33,1.2034930017,39.0909454493,-6.22759220956,5.66926216892,0.958703348208,4.17356275522,-6.11777215297,6.28209101565
knot_6.3.2,knotplot\knot_6.3.2\knot_6.3.2.txt,knot_6.3.2.txt,1,38,1.16017155809,44.4629745694,-5.78945756273,6.03496195614,-5.9025054795,6.96854747025,-5.62864268886,5.25542229823
knot_6.3.2,knotplot\knot_6.3.2\knot_6.3.2.txt,knot_6.3.2.txt,2,34,1.18030714217,40.3590642938,-6.68737288167,6.93287777913,-2.55334741264,3.61938934755,-5.66987040733,5.296649464
knot_6.3.2,knotplot\knot_6.3.2\knot_6.3.2.txt,knot_6.3.2.txt,3,33,1.1848104359,39.1715207968,-3.28025646451,3.51917589561,-5.76031085317,6.80167926141,-5.8262186255,5.47709909581
knot_6.3.3,knotplot\knot_6.3.3\knot_6.3.3.txt,knot_6.3.3.txt,1,35,1.15048184332,40.4519479391,-7.79888659498,5.51573051242,-6.87014771931,2.18512221118,-6.54522301624,1.98754801905
knot_6.3.3,knotplot\knot_6.3.3\knot_6.3.3.txt,knot_6.3.3.txt,2,30,1.16874698211,35.219129514,-4.22122152934,1.40626625706,-5.98541998023,5.86763961908,-2.06093706133,6.82252891187
knot_6.3.3,knotplot\knot_6.3.3\knot_6.3.3.txt,knot_6.3.3.txt,3,32,1.16049461365,37.2934710492,-2.65366976594,7.47870434242,-2.03615103707,4.10498992293,-6.22552481618,5.67355642309
knot_7.2.5,knotplot\knot_7.2.5\knot_7.2.5.txt,knot_7.2.5.txt,1,45,1.15949066028,52.8846675848,-8.21406773328,5.79658161826,-6.78635841725,8.77335259461,-1.00061452536,5.44098138509
knot_7.2.5,knotplot\knot_7.2.5\knot_7.2.5.txt,knot_7.2.5.txt,2,68,1.19558722333,81.6719914813,-6.57320603648,6.3787301467,-5.55446331108,6.93517664649,-6.63243267259,3.18243756402
knot_7.2.6,knotplot\knot_7.2.6\knot_7.2.6.txt,knot_7.2.6.txt,1,27,1.24302305194,33.1768492596,-4.29597906448,6.02609332507,-4.78760720084,1.9292993433,-4.46591713295,4.77739300292
knot_7.2.6,knotplot\knot_7.2.6\knot_7.2.6.txt,knot_7.2.6.txt,2,78,1.21011187253,93.3959521986,-7.67892230023,5.83507208201,-7.98011454675,6.63217433552,-5.75784827853,5.12119895301
knot_7.2.8,knotplot\knot_7.2.8\knot_7.2.8.txt,knot_7.2.8.txt,1,43,1.13444135772,49.2330410687,-5.68481277354,5.48164691965,-6.64206874259,8.99800648898,-6.31166026729,3.44441104796
knot_7.2.8,knotplot\knot_7.2.8\knot_7.2.8.txt,knot_7.2.8.txt,2,67,1.18021799313,79.9925922581,-9.60447297755,9.24724633637,-4.80962584557,5.25331407143,-5.31406279447,6.8847138193
knot_8.2.1,knotplot\knot_8.2.1\knot_8.2.1.txt,knot_8.2.1.txt,1,58,1.19009105125,69.499523191,-8.77818503223,9.38119268147,-6.38176193796,9.29667577764,-4.29527341242,3.93655721358
knot_8.2.1,knotplot\knot_8.2.1\knot_8.2.1.txt,knot_8.2.1.txt,2,54,1.18361858924,64.8484731456,-6.41081554142,6.99932074298,-8.44931954388,7.15560075123,-4.52077071627,3.3749405118
knot_9.2.20,knotplot\knot_9.2.20\knot_9.2.20.txt,knot_9.2.20.txt,1,41,1.18321070398,50.3736447337,-8.71239534396,7.46461434197,-5.01282848167,7.80337473254,-2.20568672816,2.17731706989
knot_9.2.20,knotplot\knot_9.2.20\knot_9.2.20.txt,knot_9.2.20.txt,2,60,1.28015735111,77.9815211878,-7.75066156042,7.84535107125,-6.96902040238,6.06732906213,-4.19431672729,3.78988744712
knot_9.2.40,knotplot\knot_9.2.40\knot_9.2.40.txt,knot_9.2.40.txt,1,69,1.2435458197,86.1397840843,-7.4468939801,6.56495687903,-6.77936730079,5.85079209699,-4.24329070671,5.38600231196
knot_9.2.40,knotplot\knot_9.2.40\knot_9.2.40.txt,knot_9.2.40.txt,2,45,1.19106492639,54.840802119,-6.82732477586,7.28225283877,-6.89424314625,9.1929052281,-4.87187634565,1.05767388822
knot_TL2.4,knotplot\knot_TL2.4\knot_TL2.4.txt,knot_TL2.4.txt,1,28,1.20042087551,34.1690637893,-6.0924889618,6.0924889618,-2.75766542902,2.75766542902,-1.87481559688,1.87481559688
knot_TL2.4,knotplot\knot_TL2.4\knot_TL2.4.txt,knot_TL2.4.txt,2,28,1.20042087551,34.1690637893,-2.75766542902,2.75766542902,-6.0924889618,6.0924889618,-1.87481559688,1.87481559688
knot_TL2.6,knotplot\knot_TL2.6\knot_TL2.6.txt,knot_TL2.6.txt,1,36,1.22421521409,44.8203768589,-4.47479834757,6.98706783083,-6.28088234432,6.28088234432,-1.67798667199,1.67798667199
knot_TL2.6,knotplot\knot_TL2.6\knot_TL2.6.txt,knot_TL2.6.txt,2,36,1.22421521409,44.8203768589,-6.98706783083,4.47479834757,-6.28088234432,6.28088234432,-1.67798667199,1.67798667199
knot_TL2.8,knotplot\knot_TL2.8\knot_TL2.8.txt,knot_TL2.8.txt,1,44,1.24213528592,55.5452668269,-8.00750565614,8.00750565614,-8.00750565614,8.00750565614,-1.57587077038,1.57587077038
knot_TL2.8,knotplot\knot_TL2.8\knot_TL2.8.txt,knot_TL2.8.txt,2,44,1.24213528592,55.5452668269,-6.12951409616,6.12951409616,-6.12951409616,6.12951409616,-1.57587077038,1.57587077038
knot_TL3.3_Gear,knotplot\knot_TL3.3_Gear\knot_TL3.3_Gear.txt,knot_TL3.3_Gear.txt,1,25,1.17358704365,30.0212280545,-2.03176137893,6.81383901503,-3.69987611812,3.69987611812,-3.54425621989,3.54425621989
knot_TL3.3_Gear,knotplot\knot_TL3.3_Gear\knot_TL3.3_Gear.txt,knot_TL3.3_Gear.txt,2,25,1.17358704365,30.0212280545,-5.15062161619,2.61814045663,-2.15110322458,6.35639518355,-3.54425621989,3.54425621989
knot_TL3.3_Gear,knotplot\knot_TL3.3_Gear\knot_TL3.3_Gear.txt,knot_TL3.3_Gear.txt,3,25,1.17358704365,30.0212280545,-5.15062161619,2.61814045663,-6.35639518355,2.15110322458,-3.54425621989,3.54425621989
knot_TL3.6,knotplot\knot_TL3.6\knot_TL3.6.txt,knot_TL3.6.txt,1,37,1.20735169239,45.6426495285,-8.11227577435,8.08314855435,-4.45379909016,2.42327045452,-3.61276356925,3.60110569852
knot_TL3.6,knotplot\knot_TL3.6\knot_TL3.6.txt,knot_TL3.6.txt,2,37,1.20696221141,45.6426409611,-5.22823652091,4.90544597453,-7.22370357515,7.23720148726,-3.61647252504,3.61957865665
knot_TL3.6,knotplot\knot_TL3.6\knot_TL3.6.txt,knot_TL3.6.txt,3,37,1.2073736614,45.6426476872,-4.90481864748,5.22700263893,-7.2292877302,7.23351146306,-3.6032872937,3.60552845193
knot_TL3.9,knotplot\knot_TL3.9\knot_TL3.9.txt,knot_TL3.9.txt,1,49,1.22074597162,61.356432951,-5.30927683156,9.53565619038,-8.56172138762,5.99248238756,-5.18479046772,5.04568202177
knot_TL3.9,knotplot\knot_TL3.9\knot_TL3.9.txt,knot_TL3.9.txt,2,49,1.20532414554,60.982319848,-8.25564759068,9.18041490984,-6.021069398,6.91812904959,-3.68964779294,4.88009301879
knot_TL3.9,knotplot\knot_TL3.9\knot_TL3.9.txt,knot_TL3.9.txt,3,49,1.2199394018,60.9823180982,-11.0043513031,7.11180559442,-4.71751263129,7.1091492635,-4.85452225167,3.82751469934
knot_TL6.15,knotplot\knot_TL6.15\knot_TL6.15.txt,knot_TL6.15.txt,1,76,1.35237052186,110.486341356,-9.25237683522,9.37544811067,-8.78186315776,6.75344574956,-5.62396111742,4.27306043542
knot_TL6.15,knotplot\knot_TL6.15\knot_TL6.15.txt,knot_TL6.15.txt,2,76,1.31798941523,109.232448771,-6.76090246112,6.00726568361,-7.14561433201,8.47706641709,-5.36891678707,5.72075981398
knot_TL6.15,knotplot\knot_TL6.15\knot_TL6.15.txt,knot_TL6.15.txt,3,76,1.44882189519,109.768838241,-9.72343025686,8.29100391129,-5.91335404122,5.51676616488,-4.68166236507,5.22727366445
knot_TL6.9,knotplot\knot_TL6.9\knot_TL6.9.txt,knot_TL6.9.txt,1,52,1.37708003455,75.1520902751,-7.07193579183,7.36986780735,-6.07511688768,5.01935050622,-4.71481389678,4.50593961353
knot_TL6.9,knotplot\knot_TL6.9\knot_TL6.9.txt,knot_TL6.9.txt,2,52,1.34962555828,72.3953863884,-5.39623457614,5.03538209827,-7.84820579434,6.97341567514,-2.89133343471,2.76700561448
knot_TL6.9,knotplot\knot_TL6.9\knot_TL6.9.txt,knot_TL6.9.txt,3,52,1.35784470341,75.7649854274,-7.5961960162,6.72854444236,-4.65617196679,5.83882906778,-4.47598391136,4.38102417911
