object_id,i,j,lk_estimate,lk_integer,abs_error_to_integer
ideal:0:1:2,1,2,0,0,0
knot_0.2.1,1,2,-4.57273757914e-19,0,4.57273757914e-19
knot_0.3.1,1,2,8.60596603746e-20,0,8.60596603746e-20
knot_0.3.1,1,3,2.51721488522e-20,0,2.51721488522e-20
knot_0.3.1,2,3,8.335701992e-20,0,8.335701992e-20
knot_2.2.1,1,2,1.00000486972,1,4.86972031233e-06
knot_4.2.1,1,2,-2.0000178406,-2,1.78405974243e-05
knot_5.2.1,1,2,3.27880164285e-10,0,3.27880164285e-10
knot_6.2.1,1,2,3.00003143332,3,3.14333214995e-05
knot_6.3.1,1,2,-1.00001112613,-1,1.11261300095e-05
knot_6.3.1,1,3,-1.00001099273,-1,1.09927312504e-05
knot_6.3.1,2,3,1.00001039446,1,1.03944572218e-05
knot_6.3.2,1,2,-1.39839491854e-16,0,1.39839491854e-16
knot_6.3.2,1,3,-2.14975375068e-12,0,2.14975375068e-12
knot_6.3.2,2,3,-2.62938415754e-13,0,2.62938415754e-13
knot_6.3.3,1,2,1.00000622337,1,6.22336838108e-06
knot_6.3.3,1,3,-1.00000552549,-1,5.52548888977e-06
knot_6.3.3,2,3,1.00000691822,1,6.91821661736e-06
knot_7.2.5,1,2,2.00002249363,2,2.24936330326e-05
knot_7.2.6,1,2,-1.98846525892e-06,0,1.98846525892e-06
knot_7.2.8,1,2,1.96207764415e-10,0,1.96207764415e-10
knot_8.2.1,1,2,-4.00005212838,-4,5.21283805268e-05
knot_9.2.20,1,2,3.00007243467,3,7.24346668566e-05
knot_9.2.40,1,2,-3.00005816708,-3,5.81670830928e-05
knot_TL2.4,1,2,-2.00003765996,-2,3.76599592888e-05
knot_TL2.6,1,2,-3.00007675856,-3,7.6758556641e-05
knot_TL2.8,1,2,-4.00012249796,-4,0.000122497964483
knot_TL3.3_Gear,1,2,-1.00001038798,-1,1.03879786411e-05
knot_TL3.3_Gear,1,3,-1.00001038798,-1,1.03879786413e-05
knot_TL3.3_Gear,2,3,-1.00001038798,-1,1.03879786413e-05
knot_TL3.6,1,2,-2.00002022896,-2,2.02289639759e-05
knot_TL3.6,1,3,-2.00002022893,-2,2.02289264188e-05
knot_TL3.6,2,3,-2.00002022893,-2,2.02289274327e-05
knot_TL3.9,1,2,-3.00002927469,-3,2.92746850055e-05
knot_TL3.9,1,3,-3.00002927535,-3,2.9275354084e-05
knot_TL3.9,2,3,-3.0000315937,-3,3.15937000406e-05
knot_TL6.15,1,2,-10.0001195791,-10,0.000119579084537
knot_TL6.15,1,3,-10.0001287255,-10,0.000128725502256
knot_TL6.15,2,3,-10.00012432,-10,0.000124320009609
knot_TL6.9,1,2,-6.00008517155,-6,8.51715514329e-05
knot_TL6.9,1,3,-6.00009164217,-6,9.16421729205e-05
knot_TL6.9,2,3,-6.00008500723,-6,8.50072329532e-05
