ell,degeneracy,exterior_decay,capacity_eigenvalue_R_lplus1,lambda_l_for_Kcell,contributes_to_1_over_r,status
0,1,r^-1,1.0,1.0,True,leading_H0_Coulombic
1,3,r^-2,2.0,2.0,False,subleading_multipole
2,5,r^-3,3.0,3.0,False,subleading_multipole
3,7,r^-4,4.0,4.0,False,subleading_multipole
4,9,r^-5,5.0,5.0,False,subleading_multipole
5,11,r^-6,6.0,6.0,False,subleading_multipole
6,13,r^-7,7.0,7.0,False,subleading_multipole
7,15,r^-8,8.0,8.0,False,subleading_multipole
8,17,r^-9,9.0,9.0,False,subleading_multipole
