R,I_green_average,R_times_I,A_pair_pp_minus_self,A_pair_pm_minus_self,A_pp_minus_A_pm,C_far_R,alpha_cell,relative_error_C_far,abs_error_C_far
200.00000000000003,0.005000066678091452,1.0000133356182905,3.6487261666465925e-05,-3.6487261666465925e-05,7.297452333293185e-05,0.007297452333293186,0.007297355018552128,1.3335618290542647e-05,9.731474105798693e-08
206.73713091737596,0.004837120821728187,1.0000124805847854,3.529818790378118e-05,-3.529818790378118e-05,7.059637580756236e-05,0.007297446093810146,0.007297355018552128,1.2480584785423227e-05,9.107525801837352e-08
213.7012064997412,0.004679485421512636,1.0000116803752004,3.4147866424916754e-05,-3.4147866424916754e-05,6.829573284983351e-05,0.007297440254396714,0.007297355018552128,1.1680375200290364e-05,8.52358445864107e-08
220.89987152669116,0.004526987383753106,1.0000109314740129,3.30350341037529e-05,-3.30350341037529e-05,6.60700682075058e-05,0.007297434789398876,0.007297355018552128,1.0931474012934926e-05,7.977084674846285e-08
228.34102829722536,0.0043794592590232,1.0000102305911622,3.195846900237753e-05,-3.195846900237753e-05,6.391693800475506e-05,0.007297429674807888,0.007297355018552128,1.0230591162151985e-05,7.465625575988483e-08
236.03284530445862,0.004236739057895413,1.0000095746475859,3.091698902642891e-05,-3.091698902642891e-05,6.183397805285782e-05,0.00729742488815474,0.007297355018552128,9.574647585957084e-06,6.986960261225195e-08
243.98376620254302,0.004098670072711017,1.0000089607616849,2.990945062448716e-05,-2.990945062448716e-05,5.981890124897432e-05,0.007297420408411379,0.007297355018552128,8.960761684887908e-06,6.538985925126639e-08
252.20251907564787,0.003965100705186468,1.0000083862366551,2.8934747530057055e-05,-2.8934747530057055e-05,5.786949506011411e-05,0.00729741621589827,0.007297355018552128,8.386236655121512e-06,6.119734614201677e-08
260.69812601917135,0.0038358842996635036,1.000007848548637,2.7991809544734783e-05,-2.7991809544734783e-05,5.5983619089469565e-05,0.007297412292197912,0.007297355018552128,7.848548636969417e-06,5.7273645784339244e-08
269.4799130437,0.003710878981816555,1.000007345335619,2.707960136119865e-05,-2.707960136119865e-05,5.41592027223973e-05,0.007297408620073872,0.007297355018552128,7.3453356192017916e-06,5.3601521743731895e-08
278.55752031259243,0.0035899475026374044,1.0000068743870592,2.619712142470974e-05,-2.619712142470974e-05,5.239424284941948e-05,0.007297405183395034,0.007297355018552128,6.8743870592638545e-06,5.0164842906388896e-08
287.9409127244201,0.0034729570875231793,1.000006433634168,2.5343400831853455e-05,-2.5343400831853455e-05,5.068680166370691e-05,0.0072974019670647115,0.007297355018552128,6.43363416803712e-06,4.694851258365412e-08
297.6403908518858,0.0033597792902995134,1.0000060211408186,2.4517502265294662e-05,-2.4517502265294662e-05,4.9035004530589324e-05,0.007297398956954299,0.007297355018552128,6.0211408187331285e-06,4.3938402170991264e-08
