figure_id,source_file,channel,channel_type,chirality_class,n_points,field_min_mT,field_max_mT,raw_rms,bc_rms,bc_abs_area,bc_peak_to_peak
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,(en 1)-1,enantiomer_1,1,201,341.2216793,351.2901857,0.2702124373479988,0.2702173113231373,1.0583434657768875,2.1009979690994176
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,(en 2)-1,enantiomer_2,-1,201,340.7675788,350.8405194,0.2765138176216832,0.276517900378283,1.0612269833803105,2.065935904417144
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,2,control,0,201,340.7877066,350.9151273,0.29255935945296097,0.2925634415073523,1.1511211190162587,2.1965594308551397
Fig2b,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2b.txt,(en 1)-1,enantiomer_1,1,201,341.1871165,351.2427344,0.2283481637335152,0.22839369070778856,0.8868888560071242,1.83328436031606
Fig2b,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2b.txt,(en 2)-1,enantiomer_2,-1,201,340.8618758,350.9049481,0.23529587826065995,0.2352711148021377,0.8963596956707461,1.9047173261459986
Fig2b,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2b.txt,2,control,0,201,340.8257782,350.8618729,0.2374072388346807,0.2374027845920176,0.9603428918106376,1.8291330181978989
Fig2c,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2c.txt,(R)-1,enantiomer_R,1,201,340.84,350.84,0.20903510930956212,0.2090328078230679,0.7042911336790961,1.9056441373745003
Fig2c,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2c.txt,(S)-1,enantiomer_S,-1,201,340.84,350.84,0.20117604596140712,0.20117604596075617,0.6781481172158013,1.8252089250000703
Fig2c,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2c.txt,2,control,0,201,340.84,350.84,0.20218399378209082,0.2021824409260681,0.6856932246482403,1.7829034421236578
Fig2d,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2d.txt,(R)-1,enantiomer_R,1,201,340.8,350.8,0.2219942524963708,0.22199322295642535,0.7195803762430587,1.9844798007526478
Fig2d,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2d.txt,(S)-1,enantiomer_S,-1,201,340.8,350.8,0.21377327650098052,0.21377294309665446,0.7002627531479912,1.9300335403469449
Fig2d,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2d.txt,2,control,0,201,340.8,350.8,0.23980857374808678,0.23983374878682076,0.7902921496552984,2.0559837418189213
Fig4a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig4a.txt,achiral,achiral_control,0,1024,342.0,348.0,0.32251255647869037,0.32251255647869,0.8799652470181328,1.9359852699999984
Fig4a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig4a.txt,chiral,chiral_aggregate,1,1024,342.0,348.0,0.34237142409968885,0.34237142409958987,0.9560913755178395,2.0145756999996385
Fig4b,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig4b.txt,achiral,achiral_control,0,1024,342.0,348.0,0.32541027039893916,0.32541027039893916,0.8624486024106448,2.0017564
Fig4b,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig4b.txt,chiral,chiral_aggregate,1,1024,342.0,348.0,0.29781617888513323,0.29781617888513323,0.73654989581427,2.0296260999999998
Fig4c,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig4c.txt,achiral,achiral_control,0,1024,342.0,348.0,0.307536881645479,0.307536881645479,0.7879248949723855,1.97431248
Fig4c,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig4c.txt,chiral,chiral_aggregate,1,1024,342.0,348.0,0.3193031498489617,0.3193031498489617,0.8507099752227976,1.9821786399999999
Fig4d,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig4d.txt,achiral,achiral_control,0,1024,342.0,348.0,0.30804022396533626,0.30804022396533626,0.7797237223513247,2.0019058999999997
Fig4d,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig4d.txt,chiral,chiral_aggregate,1,1024,342.0,348.0,0.31105425033808554,0.31105425033808554,0.7557004428550168,2.1045628
