source_type,family,canonical_label,label,path,p,q,control_for_q,expected_pq,expected_pq_plus_1,samples,Wr,PT_Lk0,PT_Lk0_round,PT_Tw0_est,torus_normal_kind,torus_SL,torus_SL_round,torus_SL_abs,torus_SL_abs_err_vs_pq,torus_status,core_required_abs_to_pq_plus_1,SL_null_n0_signed,SL_null_n0_abs,SL_core_plus1_signed,SL_core_plus1_abs,SL_core_minus1_signed,SL_core_minus1_abs,n_selected_null,n_selected_model,core_n0_model_input,energy_status,trap_target,trap_Lk,trap_error,trap_status,ribbon_eps,seg_min,seg_mean,seg_max,bbox_diag,fit_R_major,fit_minor_mean,fit_minor_cv,notes
analytic,torus,"T(2,3)","analytic:T(2,3)",analytic,2,3,,6,7,2048,-3.220128194798065,-3.0000291936837025,-3,0.22009900111436265,analytic_surface_normal,-6.000073293861248,-6,6.000073293861248,7.32938612477696e-05,PASS_DERIVED_PQ,1,-6,6,-7,7,-5,5,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.01793240372703,0.017932403727030533,PASS_ANY_TARGET,0.027046889269951715,0.004858826121012653,0.0065198893088705264,0.00823869434095915,3.380861158743964,,,,
analytic,torus,"T(2,5)","analytic:T(2,5)",analytic,2,5,,10,11,2048,-6.071397241128204,-6.00002892448526,-6,0.07136831664294352,analytic_surface_normal,-10.000167503794446,-10,10.000167503794446,0.00016750379444552266,PASS_DERIVED_PQ,1,-10,10,-11,11,-9,9,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.024436448997044,0.02443644899704367,PASS_ANY_TARGET,0.027729237567496703,0.00616403833025515,0.007567485879668318,0.00906986374594008,3.466154695937088,,,,
analytic,torus,"T(2,7)","analytic:T(2,7)",analytic,2,7,,14,15,2048,-9.36312144493291,-8.999997928353064,-9,0.36312351657984543,analytic_surface_normal,-14.000337442362715,-14,14.000337442362715,0.00033744236271537886,PASS_DERIVED_PQ,1,-14,14,-15,15,-13,13,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.034128943793863,0.03412894379386344,PASS_ANY_TARGET,0.02815883138788265,0.007718513934468051,0.008896040993187975,0.010190253539277256,3.5198539234853308,,,,
analytic,torus,"T(2,9)","analytic:T(2,9)",analytic,2,9,,18,19,2048,-12.9222744616723,-13.000084467410582,-13,-0.07781000573828223,analytic_surface_normal,-18.00066261805814,-18,18.00066261805814,0.000662618058139941,PASS_DERIVED_PQ,1,-18,18,-19,19,-17,17,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.047421780417775,0.047421780417774784,PASS_ANY_TARGET,0.028410748396735956,0.009399342810691708,0.01039790563226776,0.011515719190285852,3.5513435495919943,,,,
analytic,torus,"T(2,11)","analytic:T(2,11)",analytic,2,11,,22,23,2048,-16.638709571327087,-17.000348886171675,-17,-0.361639314844588,analytic_surface_normal,-22.001245726975487,-22,22.001245726975487,0.0012457269754868605,PASS_DERIVED_PQ,1,-22,22,-23,23,-21,21,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.064776729759288,0.06477672975928783,PASS_ANY_TARGET,0.028562611431647098,0.011149477523757416,0.012009135614953,0.012983563030883528,3.5703264289558874,,,,
analytic,torus,"T(3,2)","analytic:T(3,2)",analytic,3,2,,6,7,2048,-3.9472227716114063,-4.000072553920954,-4,-0.05284978230954751,analytic_surface_normal,-6.0001155031307505,-6,6.0001155031307505,0.0001155031307504828,PASS_DERIVED_PQ,1,-6,6,-7,7,-5,5,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.01950413040616,0.019504130406158282,PASS_ANY_TARGET,0.02741188613087708,0.006205340496235453,0.00896718750118031,0.011751972347552982,3.426485766359635,,,,
analytic,torus,"T(3,4)","analytic:T(3,4)",analytic,3,4,,12,13,2048,-8.202122923077178,-8.000198634977526,-8,0.20192428809965257,analytic_surface_normal,-12.000317040607035,-12,12.000317040607035,0.0003170406070349685,PASS_DERIVED_PQ,1,-12,12,-13,13,-11,11,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.029319606488404,0.029319606488403593,PASS_ANY_TARGET,0.028938952528232895,0.007021217158147864,0.009575065691515863,0.012202347367939998,3.617369066029112,,,,
ideal,torus,"T(2,3)",ideal:3:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,3,,6,7,2048,-3.4182527197809804,-2.9999702118734226,-3,0.41828250790755783,pca_fit_surface_normal,-6.0000413205153285,-6,6.0000413205153285,4.132051532845793e-05,PASS_DERIVED_PQ,1,-6,6,-7,7,-5,5,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.018474593759024,0.018474593759023605,PASS_ANY_TARGET,0.027444715718295314,0.0064473448410577545,0.006455106619655787,0.006460595998503094,3.430589464786914,0.9123395079799095,0.4087809967857944,0.056568159276733365,
ideal,torus,"T(2,5)",ideal:5:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,5,,10,11,2048,-6.294355310779037,-5.999940452767867,-6,0.2944148580111694,pca_fit_surface_normal,-9.000037419553086,-9,9.000037419553086,0.9999625804469137,SOURCE_FIT_NOT_CANONICAL,2,-9,9,-10,10,-8,8,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.0251144845834,0.025114484583401264,PASS_ANY_TARGET,0.027549329301847163,0.007777753206554664,0.007792862382828466,0.0078070103648701945,3.4436661627308953,0.9030243870926633,0.39010452479157154,0.46116847254634985,
ideal,control_twist,5_2_twist_control,ideal:5:1:2 (5_2_twist_control),C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,,5,,,2048,4.545935605548764,5.000181309525624,5,0.45424570397686015,not_available,,,,,NO_TORUS_TARGET,,,,,,,,0,1,1.0,NO_TORUS_FRAMING,25,,,SKIPPED,0.02812743110224615,0.00829052633831623,0.008306569304448006,0.008323776974466119,3.5159288877807686,,,,Brian Gilbert ideal id 5:1:2 / user-labelled 5_2 twist control; torus pq rule not applied
