field_mT,signal_raw,source_file,figure_id,channel_raw,channel,chirality_class,channel_group,baseline,signal_bc,kappa_sst_m2_s,h_unit_sst_m4_s2
340.7877066,0.001141043,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0020019045000000003,9.683619203488876e-09,1.8754496175635708e-16
340.8383437,0.004663587,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0055244485,9.683619203488876e-09,1.8754496175635708e-16
340.8889808,0.001218254,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0020791155,9.683619203488876e-09,1.8754496175635708e-16
340.9396179,-0.002591289,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0017304275,9.683619203488876e-09,1.8754496175635708e-16
340.990255,0.001077691,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0019385525,9.683619203488876e-09,1.8754496175635708e-16
341.0408921,-0.001736043,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0008751815,9.683619203488876e-09,1.8754496175635708e-16
341.0915292,0.001395724,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0022565855,9.683619203488876e-09,1.8754496175635708e-16
341.1421663,0.003972933,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0048337944999999995,9.683619203488876e-09,1.8754496175635708e-16
341.1928034,0.001257465,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0021183265,9.683619203488876e-09,1.8754496175635708e-16
341.2434405,0.002282838,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0031436995000000004,9.683619203488876e-09,1.8754496175635708e-16
341.2940776,0.002512867,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0033737285,9.683619203488876e-09,1.8754496175635708e-16
341.3447147,-0.002145987,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0012851254999999998,9.683619203488876e-09,1.8754496175635708e-16
341.3953518,-0.004353099,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0034922375,9.683619203488876e-09,1.8754496175635708e-16
341.445989,-0.004147815,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0032869535,9.683619203488876e-09,1.8754496175635708e-16
341.4966261,-0.003783351,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0029224895,9.683619203488876e-09,1.8754496175635708e-16
341.5472632,0.000807956,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0016688175000000001,9.683619203488876e-09,1.8754496175635708e-16
341.5979003,-0.001082094,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.00022123249999999998,9.683619203488876e-09,1.8754496175635708e-16
341.6485374,-0.00184297,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0009821085,9.683619203488876e-09,1.8754496175635708e-16
341.6991745,-0.002639514,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0017786524999999999,9.683619203488876e-09,1.8754496175635708e-16
341.7498116,-0.002509635,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0016487735,9.683619203488876e-09,1.8754496175635708e-16
341.8004487,-0.000827536,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,3.332550000000002e-05,9.683619203488876e-09,1.8754496175635708e-16
341.8510858,0.000800453,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0016613145,9.683619203488876e-09,1.8754496175635708e-16
341.9017229,0.000902338,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0017631995000000002,9.683619203488876e-09,1.8754496175635708e-16
341.95236,2.91577e-05,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0008900192,9.683619203488876e-09,1.8754496175635708e-16
342.0029971,0.0008092,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0016700615000000002,9.683619203488876e-09,1.8754496175635708e-16
342.0536342,-0.006083319,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0052224575,9.683619203488876e-09,1.8754496175635708e-16
342.1042713,0.001125387,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0019862485,9.683619203488876e-09,1.8754496175635708e-16
342.1549084,-0.000816288,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,4.457350000000007e-05,9.683619203488876e-09,1.8754496175635708e-16
342.2055455,0.002149589,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0030104505,9.683619203488876e-09,1.8754496175635708e-16
342.2561826,0.001894288,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0027551495,9.683619203488876e-09,1.8754496175635708e-16
342.3068197,-0.004725205,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0038643435,9.683619203488876e-09,1.8754496175635708e-16
342.3574568,0.002323497,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0031843584999999997,9.683619203488876e-09,1.8754496175635708e-16
342.4080939,-0.00147437,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0006135085,9.683619203488876e-09,1.8754496175635708e-16
342.458731,0.00302775,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0038886115,9.683619203488876e-09,1.8754496175635708e-16
342.5093681,0.004436439,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0052973005,9.683619203488876e-09,1.8754496175635708e-16
342.5600052,0.000430125,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0012909865,9.683619203488876e-09,1.8754496175635708e-16
342.6106423,0.000399094,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0012599555,9.683619203488876e-09,1.8754496175635708e-16
342.6612794,-0.000487497,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.00037336450000000006,9.683619203488876e-09,1.8754496175635708e-16
342.7119165,0.001447509,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,0.0023083705000000003,9.683619203488876e-09,1.8754496175635708e-16
342.7625536,-0.0026676,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,Fig2a,2,control_2,0,control,-0.0008608615,-0.0018067385,9.683619203488876e-09,1.8754496175635708e-16
