source_type,family,label,p,q,expected_pq,expected_pq_plus_1,torus_status,torus_SL,torus_SL_round,torus_SL_abs_err_vs_pq,core_required_abs_to_pq_plus_1,curve_length_dimless,model,phi_turns,phi_rad,holonomy_status,assumption,n_selected,selected_matches_required,epistemic_status,SL_phys_selected_signed,SL_phys_selected_abs,SL_phys_required_abs,spin_half_compatible,twoomega_integral_turns,core_n_formula
analytic,torus,"analytic:T(2,3)",2,3,6,7,PASS_DERIVED_PQ,-6.000483427987097,-6,0.00048342798709732904,1,13.352632865315542,zero,0.0,0.0,NULL_BACKGROUND,Φ_bg=0; selects n=0 unless other terms intervene,0,False,DOES_NOT_SELECT_REQUIRED_CORE_TWIST,-6,6,7,False,,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,3)",2,3,6,7,PASS_DERIVED_PQ,-6.000483427987097,-6,0.00048342798709732904,1,13.352632865315542,unit,1.0,6.283185307179586,INPUT_UNIT_HOLONOMY,assumes one unsigned 2π core holonomy; tests consequences only,1,True,SELECTS_REQUIRED_BY_INPUT_ASSUMPTION,-7,7,7,True,,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,3)",2,3,6,7,PASS_DERIVED_PQ,-6.000483427987097,-6,0.00048342798709732904,1,13.352632865315542,canon_core_cycle,1.0000000000000002,6.283185307179587,CANON_CORE_CYCLE_CLOSURE,"computed from canonical core cycle: Ω_core=v_swirl/r_c=7.76344e+20 s^-1, T_core=2π r_c/v_swirl=8.0933e-21 s, ΩT/(2π)=1; does not use pq+1 or curve length",1,True,SELECTS_REQUIRED_BY_CANON_CORE_CYCLE,-7,7,7,True,,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,3)",2,3,6,7,PASS_DERIVED_PQ,-6.000483427987097,-6,0.00048342798709732904,1,13.352632865315542,twoomega_cycle,1.0,6.283185307179586,CLOSURE_ASSUMPTION_SELECTS_PLUS_ONE,"uses Ω_core T_cycle=2π (equivalently (1/4π)∫ω_core dt=1); closure assumption, not derived from curve length",1,True,SELECTS_REQUIRED_BY_CLOSURE_ASSUMPTION,-7,7,7,True,1.0,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,3)",2,3,6,7,PASS_DERIVED_PQ,-6.000483427987097,-6,0.00048342798709732904,1,13.352632865315542,twoomega_transit,2.125137523806267,13.352632865315543,DIAGNOSTIC_TRANSIT_MODEL,"Φ=Ω_core L/v with L_dimless=13.3526, length_unit=1.40897e-15 m, Ω=7.76344e+20 s^-1, v=1.09385e+06 m/s",2,False,DOES_NOT_SELECT_REQUIRED_CORE_TWIST,-8,8,7,False,2.125137523806267,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,3)",2,3,6,7,PASS_DERIVED_PQ,-6.000483427987097,-6,0.00048342798709732904,1,13.352632865315542,background,1.0,6.283185307179586,EXTERNAL_BACKGROUND_INPUT,uses user-specified Φ_bg/(2π)=1 with sign_mode=unsigned,1,True,SELECTS_REQUIRED_BY_INPUT_ASSUMPTION,-7,7,7,True,,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,5)",2,5,10,11,PASS_DERIVED_PQ,-10.001377611570001,-10,0.0013776115700014913,1,15.497923484453226,zero,0.0,0.0,NULL_BACKGROUND,Φ_bg=0; selects n=0 unless other terms intervene,0,False,DOES_NOT_SELECT_REQUIRED_CORE_TWIST,-10,10,11,False,,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,5)",2,5,10,11,PASS_DERIVED_PQ,-10.001377611570001,-10,0.0013776115700014913,1,15.497923484453226,unit,1.0,6.283185307179586,INPUT_UNIT_HOLONOMY,assumes one unsigned 2π core holonomy; tests consequences only,1,True,SELECTS_REQUIRED_BY_INPUT_ASSUMPTION,-11,11,11,True,,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,5)",2,5,10,11,PASS_DERIVED_PQ,-10.001377611570001,-10,0.0013776115700014913,1,15.497923484453226,canon_core_cycle,1.0000000000000002,6.283185307179587,CANON_CORE_CYCLE_CLOSURE,"computed from canonical core cycle: Ω_core=v_swirl/r_c=7.76344e+20 s^-1, T_core=2π r_c/v_swirl=8.0933e-21 s, ΩT/(2π)=1; does not use pq+1 or curve length",1,True,SELECTS_REQUIRED_BY_CANON_CORE_CYCLE,-11,11,11,True,,n_core=(1/2π)∮dθ_core
analytic,torus,"analytic:T(2,5)",2,5,10,11,PASS_DERIVED_PQ,-10.001377611570001,-10,0.0013776115700014913,1,15.497923484453226,twoomega_cycle,1.0,6.283185307179586,CLOSURE_ASSUMPTION_SELECTS_PLUS_ONE,"uses Ω_core T_cycle=2π (equivalently (1/4π)∫ω_core dt=1); closure assumption, not derived from curve length",1,True,SELECTS_REQUIRED_BY_CLOSURE_ASSUMPTION,-11,11,11,True,1.0,n_core=(1/2π)∮dθ_core
