source_type,family,canonical_label,label,path,q,control_for_q,target_SL,samples,Wr,Lk0,Lk0_round,Tw0_est_Lk0_minus_Wr,Tw0_round_est,extra_integer_twists_to_target,Tw_target_targetSL_minus_Wr,Lk_target,Lk_target_round,Lk_target_error,ribbon_eps,seg_min,seg_mean,seg_max,bbox_diag,status,notes
ideal,torus,"T(2,3)",ideal:3:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,3,,7,1024,-3.418004792559773,-2.999926598300469,-3,0.41807819425930415,0.4180047925597732,10,10.418004792559774,7.004229096144549,7,0.004229096144548805,0.041166703129856146,0.01289507234875349,0.01291009157474762,0.012920484687169283,3.430558594154679,PASS,
ideal,torus,"T(2,5)",ideal:5:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,5,,11,1024,-6.2937953574851315,-5.999879659598145,-6,0.29391569788698657,0.2937953574851315,17,17.29379535748513,11.018586614738648,11,0.01858661473864842,0.041323589349524736,0.015555827734838655,0.015585413594994803,0.015613287516846779,3.4436324457937277,PASS,
ideal,control_twist,5_2_twist_control,ideal:5:1:2 (5_2_twist_control),C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,,5,,1024,4.546686183921101,5.000660024331895,5,0.4539738404107938,0.4533138160788992,,,,,,0.042190707153072514,0.01658445534290049,0.016612799796259473,0.016643428245087064,3.5158922627560427,NO_TARGET,Brian Gilbert ideal id 5:1:2 / user-labelled 5_2 twist control; pq+1 torus target not applied
ideal,torus,"T(2,7)",ideal:7:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,7,,15,1024,9.181676977848094,8.99998804573078,9,-0.1816889321173143,-0.18167697784809356,6,5.818323022151906,15.001913133588532,15,0.0019131335885322898,0.04586104950037706,0.018121334879238178,0.01816495998912627,0.01820777481886037,3.8217541250314215,PASS,
ideal,torus,"T(2,9)",ideal:9:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,9,,19,1024,12.071996104438577,12.00012246677557,12,-0.07187363766300692,-0.07199610443857729,7,6.928003895561423,19.003623186680898,19,0.003623186680897561,0.045014033380150295,0.02048398199580568,0.02052425154004331,0.020563793912992234,3.7511694483458577,PASS,
ideal,torus,"T(2,11)",ideal:K11a367,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,11,,23,1024,-14.948856434260456,-15.000260230510037,-15,-0.05140379624958058,-0.05114356573954382,38,37.948856434260456,23.19153184005516,23,0.1915318400551591,0.0446360161256787,0.02298813630378078,0.023043858477109085,0.023088202608632327,3.7196680104732245,PASS,
ideal,control_twist,11_2_twist_control,ideal:K11a247 (11_2_twist_control),C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,,11,,1024,7.9394318941175595,8.005117074721136,8,0.06568518060357675,0.06056810588244055,,,,,,0.04690143598384029,0.023608442314622616,0.023668114636869013,0.023725970448260303,3.9084529986533574,NO_TARGET,Knot Atlas K11a247 / user-labelled 11_2 twist control; pq+1 torus target not applied
fseries,torus,"T(2,3)",Knots_FourierSeries/3_1/knot.3_1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\3_1\knot.3_1.fseries,3,,7,1024,3.4183593746069185,3.0000368523757164,3,-0.41832252223120214,-0.4183593746069185,4,3.5816406253930815,7.000422354269533,7,0.0004223542695331872,0.04248961411583395,0.009773618597079614,0.013631652918959219,0.017823981728386135,3.5408011763194955,PASS,
fseries,torus,"T(2,3)",Knots_FourierSeries/3_1/knot.3_1p.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\3_1\knot.3_1p.fseries,3,,7,1024,3.5954201336552707,4.000165828387151,4,0.40474569473188016,0.4045798663447293,3,3.4045798663447293,7.000477455212119,7,0.000477455212118727,0.0402083650396547,0.011440332575414177,0.014170492395413143,0.016312869684258116,3.350697086637892,PASS,
fseries,torus,"T(2,3)",Knots_FourierSeries/3_1/knot.3_1u.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\3_1\knot.3_1u.fseries,3,,7,1024,3.892708659782694,4.0002408960532385,4,0.10753223627054442,0.10729134021730591,3,3.107291340217306,7.000622816213231,7,0.0006228162132311255,0.04548242140172057,0.009559771113749707,0.017325269275922945,0.025556295028708143,3.790201783476714,PASS,
