curve,q,pq,holonomy_turns_r,selected_n_odd_FR,selected_n_no_parity,odd_selects_plus_one,sl_abs_if_odd
"analytic:T(2,3)",3,6,-0.5,-1,"-1,0",NO,7
"analytic:T(2,3)",3,6,-0.25,-1,0,NO,7
"analytic:T(2,3)",3,6,0,"-1,1",0,NO,"7,7"
"analytic:T(2,3)",3,6,0.25,1,0,YES,7
"analytic:T(2,3)",3,6,0.5,1,"0,1",YES,7
"analytic:T(2,3)",3,6,0.75,1,1,YES,7
"analytic:T(2,3)",3,6,1,1,1,YES,7
"analytic:T(2,3)",3,6,1.25,1,1,YES,7
"analytic:T(2,3)",3,6,1.5,1,"1,2",YES,7
"analytic:T(2,3)",3,6,1.75,1,2,YES,7
"analytic:T(2,3)",3,6,2,"1,3",2,NO,"7,9"
"analytic:T(2,3)",3,6,2.25,3,2,NO,9
"analytic:T(2,3)",3,6,2.5,3,"2,3",NO,9
"analytic:T(2,3)",3,6,2.75,3,3,NO,9
"analytic:T(2,3)",3,6,3,3,3,NO,9
"analytic:T(2,3)",3,6,3.25,3,3,NO,9
"analytic:T(2,3)",3,6,3.5,3,"3,4",NO,9
"analytic:T(2,5)",5,10,-0.5,-1,"-1,0",NO,11
"analytic:T(2,5)",5,10,-0.25,-1,0,NO,11
"analytic:T(2,5)",5,10,0,"-1,1",0,NO,"11,11"
"analytic:T(2,5)",5,10,0.25,1,0,YES,11
"analytic:T(2,5)",5,10,0.5,1,"0,1",YES,11
"analytic:T(2,5)",5,10,0.75,1,1,YES,11
"analytic:T(2,5)",5,10,1,1,1,YES,11
"analytic:T(2,5)",5,10,1.25,1,1,YES,11
"analytic:T(2,5)",5,10,1.5,1,"1,2",YES,11
"analytic:T(2,5)",5,10,1.75,1,2,YES,11
"analytic:T(2,5)",5,10,2,"1,3",2,NO,"11,13"
"analytic:T(2,5)",5,10,2.25,3,2,NO,13
"analytic:T(2,5)",5,10,2.5,3,"2,3",NO,13
"analytic:T(2,5)",5,10,2.75,3,3,NO,13
"analytic:T(2,5)",5,10,3,3,3,NO,13
"analytic:T(2,5)",5,10,3.25,3,3,NO,13
"analytic:T(2,5)",5,10,3.5,3,"3,4",NO,13
