scenario_id,s12,s13,s23,cycle_product,ring_constraint_rank,ring_nullity,full_constraint_rank,full_nullity,status,collective_vector_theta1,collective_vector_theta2,collective_vector_theta3,collective_vector_psi,helix_ratio_m,helix_turns_per_theta1_turn,chi_target,allowed_sector,selected_n_core,exact_holonomy_chi,integer_selection_chi,twist_energy_min,interpretation
S01_s12+1_s13+1_s23+1,1,1,1,1,2,1,3,1,FULLY_LOCKED_ATTACHMENT_ANALOG,1,1,1,1,1,1,1,odd_FR_sector,1,YES,YES,4.93038065763e-32,Unfrustrated ring gear graph plus helix lock leaves one collective mode and matches chi.
S02_s12+1_s13+1_s23-1,1,1,-1,-1,3,0,4,0,FRUSTRATED_OR_OVERCONSTRAINED_NO_COLLECTIVE_ROTATION,,,,,1,,1,odd_FR_sector,-1,NO,NO,1,No nonzero collective phase remains; all external-gear triangle signs can overconstrain rotation.
S03_s12+1_s13-1_s23+1,1,-1,1,-1,3,0,4,0,FRUSTRATED_OR_OVERCONSTRAINED_NO_COLLECTIVE_ROTATION,,,,,1,,1,odd_FR_sector,-1,NO,NO,1,No nonzero collective phase remains; all external-gear triangle signs can overconstrain rotation.
S04_s12+1_s13-1_s23-1,1,-1,-1,1,2,1,3,1,FULLY_LOCKED_ATTACHMENT_ANALOG,1,1,-1,1,1,1,1,odd_FR_sector,1,YES,YES,4.93038065763e-32,Unfrustrated ring gear graph plus helix lock leaves one collective mode and matches chi.
S05_s12-1_s13+1_s23+1,-1,1,1,-1,3,0,4,0,FRUSTRATED_OR_OVERCONSTRAINED_NO_COLLECTIVE_ROTATION,,,,,1,,1,odd_FR_sector,-1,NO,NO,1,No nonzero collective phase remains; all external-gear triangle signs can overconstrain rotation.
S06_s12-1_s13+1_s23-1,-1,1,-1,1,2,1,3,1,FULLY_LOCKED_ATTACHMENT_ANALOG,1,-1,1,1,1,1,1,odd_FR_sector,1,YES,YES,4.93038065763e-32,Unfrustrated ring gear graph plus helix lock leaves one collective mode and matches chi.
S07_s12-1_s13-1_s23+1,-1,-1,1,1,2,1,3,1,FULLY_LOCKED_ATTACHMENT_ANALOG,1,-1,-1,1,1,1,1,odd_FR_sector,1,YES,YES,4.93038065763e-32,Unfrustrated ring gear graph plus helix lock leaves one collective mode and matches chi.
S08_s12-1_s13-1_s23-1,-1,-1,-1,-1,3,0,4,0,FRUSTRATED_OR_OVERCONSTRAINED_NO_COLLECTIVE_ROTATION,,,,,1,,1,odd_FR_sector,-1,NO,NO,1,No nonzero collective phase remains; all external-gear triangle signs can overconstrain rotation.
