figure_id,source_file,field_mT,channel,channel_type,chirality_class,signal_raw,signal_bc
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.2216793,(en 1)-1,enantiomer_1,1,-0.001230801,-0.0014029965187430987
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.2720219,(en 1)-1,enantiomer_1,1,0.004481802,0.004310517990899643
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.3223644,(en 1)-1,enantiomer_1,1,-0.003565058,-0.0037354305012682267
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.3727069,(en 1)-1,enantiomer_1,1,0.001536165,0.001366704006563903
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.4230495,(en 1)-1,enantiomer_1,1,-0.000866897,-0.0010354464837933558
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.473392,(en 1)-1,enantiomer_1,1,-0.001812649,-0.001980286975961226
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.5237345,(en 1)-1,enantiomer_1,1,0.001139769,0.0009730425318709038
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.5740771,(en 1)-1,enantiomer_1,1,-0.000734803,-0.000900617958486353
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.6244196,(en 1)-1,enantiomer_1,1,0.000827911,0.0006630075493457767
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.6747621,(en 1)-1,enantiomer_1,1,0.001314549,0.0011505570571779056
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.7251047,(en 1)-1,enantiomer_1,1,0.004503046,0.004339965566820648
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.7754472,(en 1)-1,enantiomer_1,1,0.001190254,0.0010280850746527776
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.8257897,(en 1)-1,enantiomer_1,1,-0.003014768,-0.0031760254175150935
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.8761323,(en 1)-1,enantiomer_1,1,-0.00364683,-0.0038071759078723505
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.9264748,(en 1)-1,enantiomer_1,1,0.002744581,0.0025851465999597793
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,341.9768173,(en 1)-1,enantiomer_1,1,0.006033156,0.005874633107791909
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.0271598,(en 1)-1,enantiomer_1,1,-0.00064804,-0.0008056513843759618
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.0775024,(en 1)-1,enantiomer_1,1,-0.002573375,-0.002730074874733219
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.1278449,(en 1)-1,enantiomer_1,1,-0.002308924,-0.002464712366901089
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.1781874,(en 1)-1,enantiomer_1,1,-0.001236336,-0.0013912128590689592
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.22853,(en 1)-1,enantiomer_1,1,-0.004620272,-0.004774237349426218
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.2788725,(en 1)-1,enantiomer_1,1,0.001355773,0.001202719158405912
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.329215,(en 1)-1,enantiomer_1,1,-0.001740004,-0.0018921463337619583
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.3795576,(en 1)-1,enantiomer_1,1,-0.003834139,-0.003985369824119215
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.4299001,(en 1)-1,enantiomer_1,1,-0.000654736,-0.0008050553162870862
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.4802426,(en 1)-1,enantiomer_1,1,0.001981918,0.0018325101915450436
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.5305852,(en 1)-1,enantiomer_1,1,-0.000873193,-0.0010216892988122134
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.5809277,(en 1)-1,enantiomer_1,1,0.001206983,0.0010593982090199164
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.6312702,(en 1)-1,enantiomer_1,1,0.000623406,0.0004767327168520453
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.6816128,(en 1)-1,enantiomer_1,1,0.002459331,0.0023135692264947875
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.7319553,(en 1)-1,enantiomer_1,1,-0.001188215,-0.0013330652656730827
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.7822978,(en 1)-1,enantiomer_1,1,-0.004189852,-0.004333790757840954
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.8326404,(en 1)-1,enantiomer_1,1,-0.001585133,-0.0017281602481982108
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.8829829,(en 1)-1,enantiomer_1,1,-0.004877698,-0.005019813740366081
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.9333254,(en 1)-1,enantiomer_1,1,-0.001255231,-0.0013964352325339512
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,342.9836679,(en 1)-1,enantiomer_1,1,0.000396608,0.0002563152752981778
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,343.0340105,(en 1)-1,enantiomer_1,1,0.000414556,0.0002751747849409209
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,343.084353,(en 1)-1,enantiomer_1,1,-0.001139066,-0.0012775357072269493
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,343.1346955,(en 1)-1,enantiomer_1,1,0.002181987,0.0020444288006051803
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,343.1850381,(en 1)-1,enantiomer_1,1,-0.002382557,-0.002519203689752078
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,343.2353806,(en 1)-1,enantiomer_1,1,0.000272734,0.0001369988180800516
