source_family,folder,folder_name,ideal_id_inferred,fseries_count,txt_count,coordinate_txt,component_count_in_coordinate_txt,is_link_candidate,file_examples
knotplot,knotplot/knot_6.3.1,knot_6.3.1,6:1:3,1,31,knotplot/knot_6.3.1/knot_6.3.1.txt,3,YES,knot_6.3.1.fseries;knot_6.3.1.txt;knot_6.3.1_ideal.txt;knot_6.3.1_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_6.3.2,knot_6.3.2,6:1:3,1,31,knotplot/knot_6.3.2/knot_6.3.2.txt,3,YES,knot_6.3.2.fseries;knot_6.3.2.txt;knot_6.3.2_ideal.txt;knot_6.3.2_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_6.3.3,knot_6.3.3,6:1:3,1,31,knotplot/knot_6.3.3/knot_6.3.3.txt,3,YES,knot_6.3.3.fseries;knot_6.3.3.txt;knot_6.3.3_ideal.txt;knot_6.3.3_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_7.1,knot_7.1,,1,31,knotplot/knot_7.1/knot_7.1.txt,1,NO,knot_7.1.fseries;knot_7.1.txt;knot_7.1_ideal.txt;knot_7.1_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_7.2,knot_7.2,,1,31,knotplot/knot_7.2/knot_7.2.txt,1,NO,knot_7.2.fseries;knot_7.2.txt;knot_7.2_ideal.txt;knot_7.2_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_7.2.5,knot_7.2.5,7:1:2,1,31,knotplot/knot_7.2.5/knot_7.2.5.txt,2,YES,knot_7.2.5.fseries;knot_7.2.5.txt;knot_7.2.5_ideal.txt;knot_7.2.5_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_7.2.6,knot_7.2.6,7:1:2,1,31,knotplot/knot_7.2.6/knot_7.2.6.txt,2,YES,knot_7.2.6.fseries;knot_7.2.6.txt;knot_7.2.6_ideal.txt;knot_7.2.6_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_7.2.8,knot_7.2.8,7:1:2,1,31,knotplot/knot_7.2.8/knot_7.2.8.txt,2,YES,knot_7.2.8.fseries;knot_7.2.8.txt;knot_7.2.8_ideal.txt;knot_7.2.8_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_7.3,knot_7.3,,1,31,knotplot/knot_7.3/knot_7.3.txt,1,NO,knot_7.3.fseries;knot_7.3.txt;knot_7.3_ideal.txt;knot_7.3_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_7.4,knot_7.4,,1,31,knotplot/knot_7.4/knot_7.4.txt,1,NO,knot_7.4.fseries;knot_7.4.txt;knot_7.4_ideal.txt;knot_7.4_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_8.1,knot_8.1,,1,31,knotplot/knot_8.1/knot_8.1.txt,1,NO,knot_8.1.fseries;knot_8.1.txt;knot_8.1_ideal.txt;knot_8.1_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_8.17,knot_8.17,,1,31,knotplot/knot_8.17/knot_8.17.txt,1,NO,knot_8.17.fseries;knot_8.17.txt;knot_8.17_ideal.txt;knot_8.17_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_8.18,knot_8.18,,1,31,knotplot/knot_8.18/knot_8.18.txt,1,NO,knot_8.18.fseries;knot_8.18.txt;knot_8.18_ideal.txt;knot_8.18_monopole_g128_s0p04_a1_b0p1_report.txt
