curve,q,pq,holonomy_turns,selected_odd_FR,selected_no_parity,odd_selects_plus_one
"analytic:T(2,3)",3,6,-0.5,-1,"-1,0",NO
"analytic:T(2,3)",3,6,-0.25,-1,0,NO
"analytic:T(2,3)",3,6,0,"-1,1",0,NO
"analytic:T(2,3)",3,6,0.25,1,0,YES
"analytic:T(2,3)",3,6,0.5,1,"0,1",YES
"analytic:T(2,3)",3,6,0.75,1,1,YES
"analytic:T(2,3)",3,6,1,1,1,YES
"analytic:T(2,3)",3,6,1.25,1,1,YES
"analytic:T(2,3)",3,6,1.5,1,"1,2",YES
"analytic:T(2,3)",3,6,1.75,1,2,YES
"analytic:T(2,3)",3,6,2,"1,3",2,NO
"analytic:T(2,3)",3,6,2.25,3,2,NO
"analytic:T(2,3)",3,6,2.5,3,"2,3",NO
"analytic:T(2,3)",3,6,2.75,3,3,NO
"analytic:T(2,3)",3,6,3,3,3,NO
"analytic:T(2,3)",3,6,3.25,3,3,NO
"analytic:T(2,3)",3,6,3.5,3,"3,4",NO
"analytic:T(2,5)",5,10,-0.5,-1,"-1,0",NO
"analytic:T(2,5)",5,10,-0.25,-1,0,NO
"analytic:T(2,5)",5,10,0,"-1,1",0,NO
"analytic:T(2,5)",5,10,0.25,1,0,YES
"analytic:T(2,5)",5,10,0.5,1,"0,1",YES
"analytic:T(2,5)",5,10,0.75,1,1,YES
"analytic:T(2,5)",5,10,1,1,1,YES
"analytic:T(2,5)",5,10,1.25,1,1,YES
"analytic:T(2,5)",5,10,1.5,1,"1,2",YES
"analytic:T(2,5)",5,10,1.75,1,2,YES
"analytic:T(2,5)",5,10,2,"1,3",2,NO
"analytic:T(2,5)",5,10,2.25,3,2,NO
"analytic:T(2,5)",5,10,2.5,3,"2,3",NO
"analytic:T(2,5)",5,10,2.75,3,3,NO
"analytic:T(2,5)",5,10,3,3,3,NO
"analytic:T(2,5)",5,10,3.25,3,3,NO
"analytic:T(2,5)",5,10,3.5,3,"3,4",NO
"analytic:T(2,7)",7,14,-0.5,-1,"-1,0",NO
"analytic:T(2,7)",7,14,-0.25,-1,0,NO
"analytic:T(2,7)",7,14,0,"-1,1",0,NO
"analytic:T(2,7)",7,14,0.25,1,0,YES
"analytic:T(2,7)",7,14,0.5,1,"0,1",YES
"analytic:T(2,7)",7,14,0.75,1,1,YES
"analytic:T(2,7)",7,14,1,1,1,YES
"analytic:T(2,7)",7,14,1.25,1,1,YES
"analytic:T(2,7)",7,14,1.5,1,"1,2",YES
"analytic:T(2,7)",7,14,1.75,1,2,YES
"analytic:T(2,7)",7,14,2,"1,3",2,NO
"analytic:T(2,7)",7,14,2.25,3,2,NO
"analytic:T(2,7)",7,14,2.5,3,"2,3",NO
"analytic:T(2,7)",7,14,2.75,3,3,NO
"analytic:T(2,7)",7,14,3,3,3,NO
"analytic:T(2,7)",7,14,3.25,3,3,NO
"analytic:T(2,7)",7,14,3.5,3,"3,4",NO
"analytic:T(2,9)",9,18,-0.5,-1,"-1,0",NO
"analytic:T(2,9)",9,18,-0.25,-1,0,NO
"analytic:T(2,9)",9,18,0,"-1,1",0,NO
"analytic:T(2,9)",9,18,0.25,1,0,YES
"analytic:T(2,9)",9,18,0.5,1,"0,1",YES
"analytic:T(2,9)",9,18,0.75,1,1,YES
"analytic:T(2,9)",9,18,1,1,1,YES
"analytic:T(2,9)",9,18,1.25,1,1,YES
"analytic:T(2,9)",9,18,1.5,1,"1,2",YES
"analytic:T(2,9)",9,18,1.75,1,2,YES
"analytic:T(2,9)",9,18,2,"1,3",2,NO
"analytic:T(2,9)",9,18,2.25,3,2,NO
"analytic:T(2,9)",9,18,2.5,3,"2,3",NO
"analytic:T(2,9)",9,18,2.75,3,3,NO
"analytic:T(2,9)",9,18,3,3,3,NO
"analytic:T(2,9)",9,18,3.25,3,3,NO
"analytic:T(2,9)",9,18,3.5,3,"3,4",NO
"analytic:T(2,11)",11,22,-0.5,-1,"-1,0",NO
"analytic:T(2,11)",11,22,-0.25,-1,0,NO
"analytic:T(2,11)",11,22,0,"-1,1",0,NO
"analytic:T(2,11)",11,22,0.25,1,0,YES
"analytic:T(2,11)",11,22,0.5,1,"0,1",YES
"analytic:T(2,11)",11,22,0.75,1,1,YES
"analytic:T(2,11)",11,22,1,1,1,YES
"analytic:T(2,11)",11,22,1.25,1,1,YES
"analytic:T(2,11)",11,22,1.5,1,"1,2",YES
"analytic:T(2,11)",11,22,1.75,1,2,YES
"analytic:T(2,11)",11,22,2,"1,3",2,NO
"analytic:T(2,11)",11,22,2.25,3,2,NO
"analytic:T(2,11)",11,22,2.5,3,"2,3",NO
"analytic:T(2,11)",11,22,2.75,3,3,NO
"analytic:T(2,11)",11,22,3,3,3,NO
"analytic:T(2,11)",11,22,3.25,3,3,NO
"analytic:T(2,11)",11,22,3.5,3,"3,4",NO
"analytic:T(3,2)",2,6,-0.5,-1,"-1,0",NO
"analytic:T(3,2)",2,6,-0.25,-1,0,NO
"analytic:T(3,2)",2,6,0,"-1,1",0,NO
"analytic:T(3,2)",2,6,0.25,1,0,YES
"analytic:T(3,2)",2,6,0.5,1,"0,1",YES
"analytic:T(3,2)",2,6,0.75,1,1,YES
"analytic:T(3,2)",2,6,1,1,1,YES
"analytic:T(3,2)",2,6,1.25,1,1,YES
"analytic:T(3,2)",2,6,1.5,1,"1,2",YES
"analytic:T(3,2)",2,6,1.75,1,2,YES
"analytic:T(3,2)",2,6,2,"1,3",2,NO
"analytic:T(3,2)",2,6,2.25,3,2,NO
"analytic:T(3,2)",2,6,2.5,3,"2,3",NO
"analytic:T(3,2)",2,6,2.75,3,3,NO
"analytic:T(3,2)",2,6,3,3,3,NO
"analytic:T(3,2)",2,6,3.25,3,3,NO
"analytic:T(3,2)",2,6,3.5,3,"3,4",NO
"analytic:T(3,4)",4,12,-0.5,-1,"-1,0",NO
"analytic:T(3,4)",4,12,-0.25,-1,0,NO
"analytic:T(3,4)",4,12,0,"-1,1",0,NO
"analytic:T(3,4)",4,12,0.25,1,0,YES
"analytic:T(3,4)",4,12,0.5,1,"0,1",YES
"analytic:T(3,4)",4,12,0.75,1,1,YES
"analytic:T(3,4)",4,12,1,1,1,YES
"analytic:T(3,4)",4,12,1.25,1,1,YES
"analytic:T(3,4)",4,12,1.5,1,"1,2",YES
"analytic:T(3,4)",4,12,1.75,1,2,YES
"analytic:T(3,4)",4,12,2,"1,3",2,NO
"analytic:T(3,4)",4,12,2.25,3,2,NO
"analytic:T(3,4)",4,12,2.5,3,"2,3",NO
"analytic:T(3,4)",4,12,2.75,3,3,NO
"analytic:T(3,4)",4,12,3,3,3,NO
"analytic:T(3,4)",4,12,3.25,3,3,NO
"analytic:T(3,4)",4,12,3.5,3,"3,4",NO
ideal:3:1:1,3,6,-0.5,-1,"-1,0",NO
ideal:3:1:1,3,6,-0.25,-1,0,NO
ideal:3:1:1,3,6,0,"-1,1",0,NO
ideal:3:1:1,3,6,0.25,1,0,YES
ideal:3:1:1,3,6,0.5,1,"0,1",YES
ideal:3:1:1,3,6,0.75,1,1,YES
ideal:3:1:1,3,6,1,1,1,YES
ideal:3:1:1,3,6,1.25,1,1,YES
ideal:3:1:1,3,6,1.5,1,"1,2",YES
ideal:3:1:1,3,6,1.75,1,2,YES
ideal:3:1:1,3,6,2,"1,3",2,NO
ideal:3:1:1,3,6,2.25,3,2,NO
ideal:3:1:1,3,6,2.5,3,"2,3",NO
ideal:3:1:1,3,6,2.75,3,3,NO
ideal:3:1:1,3,6,3,3,3,NO
ideal:3:1:1,3,6,3.25,3,3,NO
ideal:3:1:1,3,6,3.5,3,"3,4",NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,-0.5,-1,"-1,0",NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,-0.25,-1,0,NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,0,"-1,1",0,NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,0.25,1,0,YES
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,0.5,1,"0,1",YES
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,0.75,1,1,YES
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,1,1,1,YES
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,1.25,1,1,YES
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,1.5,1,"1,2",YES
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,1.75,1,2,YES
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,2,"1,3",2,NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,2.25,3,2,NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,2.5,3,"2,3",NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,2.75,3,3,NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,3,3,3,NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,3.25,3,3,NO
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,3.5,3,"3,4",NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,-0.5,-1,"-1,0",NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,-0.25,-1,0,NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,0,"-1,1",0,NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,0.25,1,0,YES
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,0.5,1,"0,1",YES
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,0.75,1,1,YES
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,1,1,1,YES
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,1.25,1,1,YES
