figure_id,source_file,pair_type,channel_a,channel_b,chirality_pair,expected_test,field_overlap_min_mT,field_overlap_max_mT,n_grid,rms_a,rms_b,rms_diff_b_minus_a,corr_a_b,corr_a_minus_b,linear_slope_b_on_a,linear_intercept_b_on_a,linear_fit_residual_rms,linear_fit_residual_fraction,amplitude_asymmetry_slope_minus_1,abs_area_a_mT,abs_area_b_mT,abs_area_diff_mT,signed_area_diff_mT,spectral_contrast_index,spectral_odd_fraction_power,sst_helicity_proxy_dimensionless,sst_helicity_proxy_m4_s2_scaled,same_phase_corr,opposite_phase_corr,antisymmetry_error_ratio,enantiomer_difference_abs_area_mT,enantiomer_sum_abs_area_mT,odd_fraction_power,channel_over_control_rms,channel_over_control_abs_area,channel_control_delta_abs_area_mT,chiral_over_achiral_rms,chiral_over_achiral_abs_area,delta_abs_area_mT,delta_signed_area_mT
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,enantiomer_pair,en1,en2,plus_vs_minus,R/S or en1/en2 spectral asymmetry; direct sign-flip is optional,341.2216793,350.8405194,1200,0.2759264702426727,0.28260772322206823,0.02966450409314285,0.9947757194172857,-0.9947757194172857,1.0190900383345813,0.004582303763865181,0.028849466963942586,0.10208308051536574,0.01909003833458134,1.0528806561986483,1.0578962002691341,0.13595029581078852,0.042992019215939176,0.06440770628795435,0.0028203988489994645,0.06440770628795435,1.2079340812589078e-17,0.9947757194172857,-0.9947757194172857,18.803142318226058,0.13595029581078852,2.1063531406255303,0.0028203988489994645,,,,,,,
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,channel_vs_control_2,en1,control_2,chiral_channel_vs_control,Fig2 channel-control spectral separation,341.2216793,350.9151273,1200,0.2748454315773211,0.29862936209408897,0.05115162978954549,0.9875334199638806,-0.9875334199638806,1.0731411508754132,0.0022649731469978843,0.04700250537632808,0.15739411907365972,0.07314115087541317,1.0530662197584066,1.1453359524101385,0.24387320469784873,0.0176990289685253,0.11093202498853413,0.007942238153810711,0.11093202498853413,2.0804742384029882e-17,,,,,,,0.9203563562873155,0.9194387179957392,0.24387320469784873,,,,
Fig2a,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2a.txt,channel_vs_control_2,en2,control_2,chiral_channel_vs_control,Fig2 channel-control spectral separation,340.7877066,350.8405194,1200,0.27642917336090556,0.2932340507616724,0.03149401448869706,0.9956556065517905,-0.9956556065517905,1.056104813238721,-0.00236499605623069,0.02730127736487959,0.09310404877593446,0.05610481323872096,1.058149135412505,1.1461417194572658,0.14791481353189306,-0.024618106950795342,0.06710312897461612,0.0030538018213699548,0.06710312897461612,1.2584853757276276e-17,,,,,,,0.942691248314729,0.9232271345236188,0.14791481353189306,,,,
Fig2b,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2b.txt,enantiomer_pair,en1,en2,plus_vs_minus,R/S or en1/en2 spectral asymmetry; direct sign-flip is optional,341.1871165,350.9049481,1200,0.23157498457032474,0.2385702792197885,0.01615608269706945,0.9981319564412766,-0.9981319564412766,1.0283745948016236,-0.0024170315541255675,0.014575348973359884,0.06109457146559317,0.02837459480162363,0.8715688065752669,0.8869923871072809,0.0927883194641127,-0.023103958107365707,0.05276377063103934,0.0011579870281307524,0.05276377063103934,9.89557934511947e-18,0.9981319564412766,-0.9981319564412766,29.086237424645876,0.0927883194641127,1.7473419887108634,0.0011579870281307524,,,,,,,
Fig2b,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2b.txt,channel_vs_control_2,en1,control_2,chiral_channel_vs_control,Fig2 channel-control spectral separation,341.1871165,350.8618729,1200,0.23209152064217625,0.24139107572409965,0.06191062687539348,0.9667005116345682,-0.9667005116345682,1.0055281740322657,-0.003919509980876084,0.06177424146197735,0.2559093838770694,0.005528174032265687,0.8715315893478275,0.941879586375173,0.3304175857215119,-0.038218131503625435,0.182207758585019,0.017073180416662306,0.182207758585019,3.417214711553893e-17,,,,,,,0.9614751495927197,0.9253110503242988,0.3304175857215119,,,,
Fig2b,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2b.txt,channel_vs_control_2,en2,control_2,chiral_channel_vs_control,Fig2 channel-control spectral separation,340.8618758,350.8618729,1200,0.23519652927370055,0.23742536033809045,0.06362668357012713,0.9638153486640111,-0.9638153486640111,0.972952480957751,-0.0014613907340160178,0.06329045274507779,0.2665698923440742,-0.027047519042249002,0.8882665378372467,0.943457710328591,0.3404440948566435,-0.01491658280877653,0.18585990505805702,0.01812328881465198,0.18585990505805702,3.485708878615346e-17,,,,,,,0.9906124979184361,0.9415011697004181,0.3404440948566435,,,,
Fig2c,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2c.txt,enantiomer_pair,R,S,plus_vs_minus,R/S or en1/en2 spectral asymmetry; direct sign-flip is optional,340.84,350.84,1200,0.20778472561420072,0.19998174708548871,0.009068099972113114,0.999758339368531,-0.999758339368531,0.9622801218634535,0.0011022196515935979,0.004396041740766742,0.02198221490128052,-0.037719878136546536,0.6987817470437744,0.6725577648466085,0.03948300924604698,0.012228480313843264,0.028791563944380122,0.0004943648040272303,0.028791563944380122,5.399712758854479e-18,0.999758339368531,-0.999758339368531,44.96424844411181,0.03948300924604698,1.3698080246047657,0.0004943648040272303,,,,,,,
Fig2c,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2c.txt,channel_vs_control_2,R,control_2,chiral_channel_vs_control,Fig2 channel-control spectral separation,340.84,350.84,1200,0.20778472561420072,0.20121058240775222,0.02442650068817148,0.9934352563971036,-0.9934352563971036,0.9621038595949316,0.0020861065750212683,0.02301738367668883,0.11439449854602686,-0.03789614040506839,0.6987817470437744,0.6822232478311614,0.0797869258698555,0.022077219420043877,0.057774538228285724,0.0035659347686443064,0.057774538228285724,1.0835323562515036e-17,,,,,,,1.0326729495426141,1.0242713792959324,0.0797869258698555,,,,
Fig2c,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2c.txt,channel_vs_control_2,S,control_2,chiral_channel_vs_control,Fig2 channel-control spectral separation,340.84,350.84,1200,0.19998174708548871,0.20121058240775222,0.023038689043737674,0.9934351955264707,-0.9934351955264707,0.9995751509128116,0.0009836219652169674,0.023017490037693652,0.11439502715144885,-0.00042484908718842807,0.6725577648466085,0.6822232478311614,0.08421696828636945,0.009848739106200616,0.06216279051616747,0.003297658955330284,0.06216279051616747,1.1658318170023066e-17,,,,,,,0.9938927897948564,0.9858323752301315,0.08421696828636945,,,,
Fig2d,CASTLE-NWU-UNIPR-Eckvahl-Science2023-Fig2d.txt,enantiomer_pair,R,S,plus_vs_minus,R/S or en1/en2 spectral asymmetry; direct sign-flip is optional,340.8,350.8,1200,0.22080143573948727,0.21259015547401794,0.011370875463899555,0.9993409857736808,-0.9993409857736808,0.9621768049074542,5.538317791968292e-05,0.007716739665362114,0.036298668901934304,-0.037823195092545836,0.7153480330958342,0.6953487539718465,0.05892303309743677,0.0004994351137273083,0.04176874409696223,0.0006881089416827999,0.04176874409696223,7.833517514275847e-18,0.9993409857736808,-0.9993409857736808,38.10790170910282,0.05892303309743677,1.4048482429858213,0.0006881089416827999,,,,,,,
