label,source_type,p,q,expected_pq,torus_SL_round,model,phi_turns,n_core,E_spring,E_abs,E_odd_bonus,E_total,selected,matches_required
"analytic:T(2,3)",analytic,2,3,6,-6,zero,0.0,-3,355.3057584392169,0.0,-0.0,355.3057584392169,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,zero,0.0,-2,157.91367041742973,0.0,0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,zero,0.0,-1,39.47841760435743,0.0,-0.0,39.47841760435743,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,zero,0.0,0,0.0,0.0,0.0,0.0,True,False
"analytic:T(2,3)",analytic,2,3,6,-6,zero,0.0,1,39.47841760435743,0.0,-0.0,39.47841760435743,False,True
"analytic:T(2,3)",analytic,2,3,6,-6,zero,0.0,2,157.91367041742973,0.0,0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,zero,0.0,3,355.3057584392169,0.0,-0.0,355.3057584392169,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,unit,1.0,-3,631.6546816697189,0.0,-0.0,631.6546816697189,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,unit,1.0,-2,355.3057584392169,0.0,0.0,355.3057584392169,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,unit,1.0,-1,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,unit,1.0,0,39.47841760435743,0.0,0.0,39.47841760435743,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,unit,1.0,1,0.0,0.0,-0.0,0.0,True,True
"analytic:T(2,3)",analytic,2,3,6,-6,unit,1.0,2,39.47841760435743,0.0,0.0,39.47841760435743,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,unit,1.0,3,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,canon_core_cycle,1.0000000000000002,-3,631.6546816697189,0.0,-0.0,631.6546816697189,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,canon_core_cycle,1.0000000000000002,-2,355.3057584392169,0.0,0.0,355.3057584392169,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,canon_core_cycle,1.0000000000000002,-1,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,canon_core_cycle,1.0000000000000002,0,39.47841760435744,0.0,0.0,39.47841760435744,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,canon_core_cycle,1.0000000000000002,1,7.888609052210118e-31,0.0,-0.0,7.888609052210118e-31,True,True
"analytic:T(2,3)",analytic,2,3,6,-6,canon_core_cycle,1.0000000000000002,2,39.47841760435742,0.0,0.0,39.47841760435742,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,canon_core_cycle,1.0000000000000002,3,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_cycle,1.0,-3,631.6546816697189,0.0,-0.0,631.6546816697189,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_cycle,1.0,-2,355.3057584392169,0.0,0.0,355.3057584392169,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_cycle,1.0,-1,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_cycle,1.0,0,39.47841760435743,0.0,0.0,39.47841760435743,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_cycle,1.0,1,0.0,0.0,-0.0,0.0,True,True
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_cycle,1.0,2,39.47841760435743,0.0,0.0,39.47841760435743,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_cycle,1.0,3,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_transit,2.125137523806267,-3,1036.9809626642048,0.0,-0.0,1036.9809626642048,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_transit,2.125137523806267,-2,671.79474137939,0.0,0.0,671.79474137939,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_transit,2.125137523806267,-1,385.5653553032899,0.0,-0.0,385.5653553032899,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_transit,2.125137523806267,0,178.29280443590477,0.0,0.0,178.29280443590477,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_transit,2.125137523806267,1,49.97708877723445,0.0,-0.0,49.97708877723445,False,True
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_transit,2.125137523806267,2,0.6182083272789793,0.0,0.0,0.6182083272789793,True,False
"analytic:T(2,3)",analytic,2,3,6,-6,twoomega_transit,2.125137523806267,3,30.21616308603837,0.0,-0.0,30.21616308603837,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,background,1.0,-3,631.6546816697189,0.0,-0.0,631.6546816697189,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,background,1.0,-2,355.3057584392169,0.0,0.0,355.3057584392169,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,background,1.0,-1,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,background,1.0,0,39.47841760435743,0.0,0.0,39.47841760435743,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,background,1.0,1,0.0,0.0,-0.0,0.0,True,True
"analytic:T(2,3)",analytic,2,3,6,-6,background,1.0,2,39.47841760435743,0.0,0.0,39.47841760435743,False,False
"analytic:T(2,3)",analytic,2,3,6,-6,background,1.0,3,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,zero,0.0,-3,355.3057584392169,0.0,-0.0,355.3057584392169,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,zero,0.0,-2,157.91367041742973,0.0,0.0,157.91367041742973,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,zero,0.0,-1,39.47841760435743,0.0,-0.0,39.47841760435743,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,zero,0.0,0,0.0,0.0,0.0,0.0,True,False
"analytic:T(2,5)",analytic,2,5,10,-10,zero,0.0,1,39.47841760435743,0.0,-0.0,39.47841760435743,False,True
"analytic:T(2,5)",analytic,2,5,10,-10,zero,0.0,2,157.91367041742973,0.0,0.0,157.91367041742973,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,zero,0.0,3,355.3057584392169,0.0,-0.0,355.3057584392169,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,unit,1.0,-3,631.6546816697189,0.0,-0.0,631.6546816697189,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,unit,1.0,-2,355.3057584392169,0.0,0.0,355.3057584392169,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,unit,1.0,-1,157.91367041742973,0.0,-0.0,157.91367041742973,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,unit,1.0,0,39.47841760435743,0.0,0.0,39.47841760435743,False,False
"analytic:T(2,5)",analytic,2,5,10,-10,unit,1.0,1,0.0,0.0,-0.0,0.0,True,True
