source_type,family,canonical_label,label,path,p,q,control_for_q,expected_pq,expected_pq_plus_1,samples,Wr,PT_Lk0,PT_Lk0_round,PT_Tw0_est,torus_normal_kind,torus_SL,torus_SL_round,torus_SL_abs,torus_SL_abs_err_vs_pq,torus_status,core_required_abs_to_pq_plus_1,SL_null_n0_signed,SL_null_n0_abs,SL_core_plus1_signed,SL_core_plus1_abs,SL_core_minus1_signed,SL_core_minus1_abs,n_selected_null,n_selected_model,core_n0_model_input,energy_status,trap_target,trap_Lk,trap_error,trap_status,ribbon_eps,seg_min,seg_mean,seg_max,bbox_diag,fit_R_major,fit_minor_mean,fit_minor_cv,notes
analytic,torus,"T(2,3)","analytic:T(2,3)",analytic,2,3,,6,7,1024,-3.2201939883178086,-3.00009770959669,-3,0.22009627872111848,analytic_surface_normal,-6.000483427987097,-6,6.000483427987097,0.00048342798709732904,PASS_DERIVED_PQ,1,-6,6,-7,7,-5,5,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.074116746869176,0.07411674686917635,PASS_ANY_TARGET,0.027046786486454238,0.009717695445632219,0.013039680532534709,0.016477173934284255,3.3808483108067797,,,,
analytic,torus,"T(2,5)","analytic:T(2,5)",analytic,2,5,,10,11,1024,-6.071283891556663,-6.000103109894716,-6,0.07118078166194763,analytic_surface_normal,-10.001377611570001,-10,10.001377611570001,0.0013776115700014913,PASS_DERIVED_PQ,1,-10,10,-11,11,-9,9,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.10376956873893,0.10376956873892951,PASS_ANY_TARGET,0.027728858638713626,0.012328060869624262,0.015134690902786354,0.018139222914655497,3.466107329839203,,,,
analytic,torus,"T(2,7)","analytic:T(2,7)",analytic,2,7,,14,15,1024,-9.36258613727508,-8.999796916473848,-9,0.36278922080123266,analytic_surface_normal,-14.004129620095686,-14,14.004129620095686,0.004129620095685738,PASS_DERIVED_PQ,1,-14,14,-15,15,-13,13,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.156400164582934,0.1564001645829336,PASS_ANY_TARGET,0.028158542021327948,0.015436692410662705,0.01779135772732233,0.020379445452098778,3.5198177526659933,,,,
analytic,torus,"T(2,9)","analytic:T(2,9)",analytic,2,9,,18,19,1024,-12.921342244440538,-13.000466927815753,-13,-0.07912468337521439,analytic_surface_normal,-18.01235092518204,-18,18.01235092518204,0.01235092518204084,PASS_DERIVED_PQ,1,-18,18,-19,19,-17,17,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.255905626043916,0.25590562604391565,CHECK_TRAP,0.02841015018560539,0.018797653343042977,0.02079427003756986,0.02302944705542172,3.5512687732006736,,,,
analytic,torus,"T(2,11)","analytic:T(2,11)",analytic,2,11,,22,23,1024,-16.63772953426153,-17.002972420885097,-17,-0.36524288662356597,analytic_surface_normal,-22.032441026673148,-22,22.032441026673148,0.03244102667314763,PASS_DERIVED_PQ,1,-22,22,-23,23,-21,21,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.45114424864468,0.45114424864468106,CHECK_TRAP,0.0285617441651937,0.02229674089468406,0.02401543049426206,0.02596372444449803,3.5702180206492122,,,,
analytic,torus,"T(3,2)","analytic:T(3,2)",analytic,3,2,,6,7,1024,-3.9474381309508626,-4.000371639587702,-4,-0.052933508636839655,analytic_surface_normal,-6.0028676587188805,-6,6.0028676587188805,0.002867658718880506,PASS_DERIVED_PQ,1,-6,6,-7,7,-5,5,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.12082482560595,0.12082482560595054,PASS_ANY_TARGET,0.027411674848291556,0.012410709360593379,0.01793417632456394,0.02350354086663218,3.4264593560364442,,,,
analytic,torus,"T(3,4)","analytic:T(3,4)",analytic,3,4,,12,13,1024,-8.202681497948468,-8.000498673824596,-8,0.2021828241238719,analytic_surface_normal,-12.00569459867108,-12,12.00569459867108,0.005694598671080797,PASS_DERIVED_PQ,1,-12,12,-13,13,-11,11,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.16369464208821,0.16369464208820972,PASS_ANY_TARGET,0.028938952528232895,0.014042792597439716,0.01914984572090915,0.024403806133517118,3.617369066029112,,,,
ideal,torus,"T(2,3)",ideal:3:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,3,,6,7,1024,-3.418004792559773,-2.9998750378828434,-3,0.4181297546769298,pca_fit_surface_normal,-6.000214432083619,-6,6.000214432083619,0.0002144320836192648,PASS_DERIVED_PQ,1,-6,6,-7,7,-5,5,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.074513265941647,0.07451326594164698,PASS_ANY_TARGET,0.02744446875323743,0.01289507234875349,0.01291009157474762,0.012920484687169283,3.430558594154679,0.9123395079799095,0.4087809967857944,0.05656815927673334,
ideal,torus,"T(2,5)",ideal:5:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,5,,10,11,1024,-6.2937953574851315,-5.999722798744691,-6,0.29407255874044047,pca_fit_surface_normal,-9.000494032339319,-9,9.000494032339319,0.9995059676606814,SOURCE_FIT_NOT_CANONICAL,2,-9,9,-10,10,-8,8,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.10504781914785,0.105047819147849,PASS_ANY_TARGET,0.027549059566349822,0.015555827734838655,0.015585413594994803,0.015613287516846779,3.4436324457937277,0.9030243870926632,0.39010452479157154,0.46116847254634996,
ideal,control_twist,5_2_twist_control,ideal:5:1:2 (5_2_twist_control),C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,,5,,,1024,4.546686183921101,5.000818871068343,5,0.45413268714724264,not_available,,,,,NO_TORUS_TARGET,,,,,,,,0,1,1.0,NO_TORUS_FRAMING,25,,,SKIPPED,0.02812713810204834,0.01658445534290049,0.016612799796259473,0.016643428245087064,3.5158922627560427,,,,Brian Gilbert ideal id 5:1:2 / user-labelled 5_2 twist control; torus pq rule not applied
ideal,torus,"T(2,7)",ideal:7:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,7,,14,15,1024,9.181676977848094,8.999720771269768,9,-0.18195620657832556,pca_fit_surface_normal,13.00483576711963,13,13.00483576711963,0.99516423288037,SOURCE_FIT_NOT_CANONICAL,2,13,13,14,14,12,12,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.019225404859704,0.019225404859703588,PASS_ANY_TARGET,0.030574033000251372,0.018121334879238178,0.01816495998912627,0.01820777481886037,3.8217541250314215,0.90221782237422,0.390780487932748,0.46692548787089994,
ideal,torus,"T(2,9)",ideal:9:1:1,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,9,,18,19,1024,12.071996104438577,11.999647976521006,12,-0.0723481279175715,pca_fit_surface_normal,15.001376494334748,15,15.001376494334748,2.998623505665252,SOURCE_FIT_NOT_CANONICAL,4,15,15,16,16,14,14,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.021536313201878,0.021536313201877988,PASS_ANY_TARGET,0.030009355586766862,0.02048398199580568,0.02052425154004331,0.020563793912992234,3.7511694483458577,0.9018754572018661,0.39345162163755587,0.4533511618541148,
ideal,torus,"T(2,11)",ideal:K11a367,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,11,,22,23,1024,-14.948856434260456,-14.999665757036846,-15,-0.05080932277638972,pca_fit_surface_normal,-19.008358943776162,-19,19.008358943776162,2.9916410562238376,SOURCE_FIT_NOT_CANONICAL,4,-19,19,-20,20,-18,18,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.315824774136903,0.31582477413690313,CHECK_TRAP,0.029757344083785796,0.02298813630378078,0.023043858477109085,0.023088202608632327,3.7196680104732245,0.9106864573825039,0.3790401890060045,0.4333365702963912,
ideal,control_twist,11_2_twist_control,ideal:K11a247 (11_2_twist_control),C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\ideal.txt,2,,11,,,1024,7.9394318941175595,8.00574978856602,8,0.06631789444845992,not_available,,,,,NO_TORUS_TARGET,,,,,,,,0,1,1.0,NO_TORUS_FRAMING,25,,,SKIPPED,0.03126762398922686,0.023608442314622616,0.023668114636869013,0.023725970448260303,3.9084529986533574,,,,Knot Atlas K11a247 / user-labelled 11_2 twist control; torus pq rule not applied
fseries,torus,"T(2,3)",Knots_FourierSeries/3_1/knot.3_1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\3_1\knot.3_1.fseries,2,3,,6,7,1024,3.4183593746069185,2.999982441012694,3,-0.41837693359422445,pca_fit_surface_normal,6.000447048914278,6,6.000447048914278,0.00044704891427826965,PASS_DERIVED_PQ,1,6,6,7,7,5,5,0,1,1.0,MODEL_INPUT_SELECTS_PLUS_ONE,25,25.035030573630824,0.035030573630823625,PASS_ANY_TARGET,0.028326409410555965,0.009773618597079614,0.013631652918959219,0.017823981728386135,3.5408011763194955,0.912727933340677,0.4085678887213701,5.697400647919268e-06,
