source_type,label,p,q,expected_pq,torus_SL_round,n_core,SL_phys_signed,SL_phys_abs,matches_pq,matches_pq_plus_1,E_null,E_model,selected_by_null,selected_by_model,core_n0_model_input,status
analytic,"analytic:T(2,3)",2,3,6,-6,-3,-3,3,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,3)",2,3,6,-6,-2,-4,4,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,3)",2,3,6,-6,-1,-5,5,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,3)",2,3,6,-6,0,-6,6,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,3)",2,3,6,-6,1,-7,7,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,3)",2,3,6,-6,2,-8,8,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,3)",2,3,6,-6,3,-9,9,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,5)",2,5,10,-10,-3,-7,7,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,5)",2,5,10,-10,-2,-8,8,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,5)",2,5,10,-10,-1,-9,9,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,5)",2,5,10,-10,0,-10,10,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,5)",2,5,10,-10,1,-11,11,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,5)",2,5,10,-10,2,-12,12,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,5)",2,5,10,-10,3,-13,13,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,7)",2,7,14,-14,-3,-11,11,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,7)",2,7,14,-14,-2,-12,12,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,7)",2,7,14,-14,-1,-13,13,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,7)",2,7,14,-14,0,-14,14,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,7)",2,7,14,-14,1,-15,15,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,7)",2,7,14,-14,2,-16,16,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,7)",2,7,14,-14,3,-17,17,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,9)",2,9,18,-18,-3,-15,15,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,9)",2,9,18,-18,-2,-16,16,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,9)",2,9,18,-18,-1,-17,17,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,9)",2,9,18,-18,0,-18,18,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,9)",2,9,18,-18,1,-19,19,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,9)",2,9,18,-18,2,-20,20,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,9)",2,9,18,-18,3,-21,21,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,11)",2,11,22,-22,-3,-19,19,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,11)",2,11,22,-22,-2,-20,20,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,11)",2,11,22,-22,-1,-21,21,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,11)",2,11,22,-22,0,-22,22,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,11)",2,11,22,-22,1,-23,23,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,11)",2,11,22,-22,2,-24,24,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(2,11)",2,11,22,-22,3,-25,25,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,2)",3,2,6,-6,-3,-3,3,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,2)",3,2,6,-6,-2,-4,4,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,2)",3,2,6,-6,-1,-5,5,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,2)",3,2,6,-6,0,-6,6,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,2)",3,2,6,-6,1,-7,7,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,2)",3,2,6,-6,2,-8,8,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,2)",3,2,6,-6,3,-9,9,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,4)",3,4,12,-12,-3,-9,9,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,4)",3,4,12,-12,-2,-10,10,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,4)",3,4,12,-12,-1,-11,11,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,4)",3,4,12,-12,0,-12,12,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,4)",3,4,12,-12,1,-13,13,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,4)",3,4,12,-12,2,-14,14,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
analytic,"analytic:T(3,4)",3,4,12,-12,3,-15,15,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
ideal,ideal:3:1:1,2,3,6,-6,-3,-3,3,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
ideal,ideal:3:1:1,2,3,6,-6,-2,-4,4,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
ideal,ideal:3:1:1,2,3,6,-6,-1,-5,5,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
ideal,ideal:3:1:1,2,3,6,-6,0,-6,6,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
ideal,ideal:3:1:1,2,3,6,-6,1,-7,7,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
ideal,ideal:3:1:1,2,3,6,-6,2,-8,8,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
ideal,ideal:3:1:1,2,3,6,-6,3,-9,9,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
ideal,ideal:5:1:1,2,5,10,-9,-3,-6,6,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:5:1:1,2,5,10,-9,-2,-7,7,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:5:1:1,2,5,10,-9,-1,-8,8,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:5:1:1,2,5,10,-9,0,-9,9,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:5:1:1,2,5,10,-9,1,-10,10,True,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:5:1:1,2,5,10,-9,2,-11,11,False,True,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:5:1:1,2,5,10,-9,3,-12,12,False,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:7:1:1,2,7,14,13,-3,10,10,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:7:1:1,2,7,14,13,-2,11,11,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:7:1:1,2,7,14,13,-1,12,12,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:7:1:1,2,7,14,13,0,13,13,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:7:1:1,2,7,14,13,1,14,14,True,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:7:1:1,2,7,14,13,2,15,15,False,True,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:7:1:1,2,7,14,13,3,16,16,False,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:9:1:1,2,9,18,15,-3,12,12,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:9:1:1,2,9,18,15,-2,13,13,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:9:1:1,2,9,18,15,-1,14,14,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:9:1:1,2,9,18,15,0,15,15,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:9:1:1,2,9,18,15,1,16,16,False,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:9:1:1,2,9,18,15,2,17,17,False,False,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:9:1:1,2,9,18,15,3,18,18,True,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:K11a367,2,11,22,-19,-3,-16,16,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:K11a367,2,11,22,-19,-2,-17,17,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:K11a367,2,11,22,-19,-1,-18,18,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
