figure_id,channel_a,channel_b,channel_type_a,channel_type_b,pair_type,spectral_contrast_index,odd_fraction_power,same_phase_corr,signflip_corr,rms_ratio_b_over_a,field_min_mT,field_max_mT
Fig2a,(en 1)-1,(en 2)-1,enantiomer_1,enantiomer_2,enantiomer_pair,0.06464996774374697,0.002824239037777871,0.9947824463274346,-0.9947824463274346,1.0243625036332447,341.2216793,350.8405194
Fig2a,(en 1)-1,2,enantiomer_1,control,generic,0.11100784700507199,0.007940355088922976,0.9875383257398619,-0.9875383257398619,1.0865283781443718,341.2216793,350.9151273
Fig2a,(en 2)-1,2,enantiomer_2,control,generic,0.06686124255331405,0.0030486056530889902,0.9956558372023224,-0.9956558372023224,1.0605487874028499,340.7877066,350.8405194
Fig2b,(en 1)-1,(en 2)-1,enantiomer_1,enantiomer_2,enantiomer_pair,0.05649438321685271,0.0012347087826790394,0.9980287409729407,-0.9980287409729407,1.0299607609582948,341.1871165,350.9049481
Fig2b,(en 1)-1,2,enantiomer_1,control,generic,0.1841397087284324,0.017084816483414308,0.9667527943029806,-0.9667527943029806,1.0397623882537683,341.1871165,350.8618729
Fig2b,(en 2)-1,2,enantiomer_2,control,generic,0.18593675330358866,0.01814575130241426,0.9637626028182391,-0.9637626028182391,1.0094015053064698,340.8618758,350.8618729
Fig2c,(R)-1,(S)-1,enantiomer_R,enantiomer_S,enantiomer_pair,0.028861260452028654,0.0004921114370305044,0.9997632963747006,-0.9997632963747006,0.9624509581411033,340.84,350.84
Fig2c,(R)-1,2,enantiomer_R,control,generic,0.057958025993331996,0.003555306111344219,0.9934529391546534,-0.9934529391546534,0.9683989579785648,340.84,350.84
Fig2c,(S)-1,2,enantiomer_S,control,generic,0.06236930301390598,0.0032896447363423955,0.9934498285471548,-0.9934498285471548,1.006180054980619,340.84,350.84
Fig2d,(R)-1,(S)-1,enantiomer_R,enantiomer_S,enantiomer_pair,0.041508684639495044,0.0006858134173707741,0.9993469303170873,-0.9993469303170873,0.9628099875538163,340.8,350.8
Fig2d,(R)-1,2,enantiomer_R,control,generic,0.11525870388577121,0.006899462053337505,0.9892418255430306,-0.9892418255430306,1.0814265027411178,340.8,350.8
Fig2d,(S)-1,2,enantiomer_S,control,generic,0.13812095553536693,0.010436788306921393,0.9857706453212989,-0.9857706453212989,1.123198260010438,340.8,350.8
Fig4a,achiral,chiral,achiral_control,chiral_aggregate,chiral_vs_achiral,0.06226197391614277,0.004054066211677302,0.9936633775015463,-0.9936633775015463,1.0615787295119847,342.0,348.0
Fig4b,achiral,chiral,achiral_control,chiral_aggregate,chiral_vs_achiral,0.16776162688990778,0.026490472132644455,0.9507771308053936,-0.9507771308053936,0.9151725916398646,342.0,348.0
Fig4c,achiral,chiral,achiral_control,chiral_aggregate,chiral_vs_achiral,0.06255162299330658,0.0034170660106540842,0.993866325296008,-0.993866325296008,1.0382692418270258,342.0,348.0
Fig4d,achiral,chiral,achiral_control,chiral_aggregate,chiral_vs_achiral,0.092188746986443,0.00578674011873093,0.9887717598604708,-0.9887717598604708,1.0097655267994172,342.0,348.0
