gamma_phi_s_inv,t_probe_s,eta_ent,H_eff_m4_s2,H_eff_over_H0,chiral_response_proxy,near_field_proxy_dimless
1000000.0,1e-15,0.9048374171311222,-1.6969769879157723e-16,0.9048374171311222,-0.9048374171311222,1.8208867533858215e-06
1299942.224413245,1e-15,0.9048374168597232,-1.696976987406777e-16,0.9048374168597232,-0.9048374168597232,1.8208867528396606e-06
1689849.7868124587,1e-15,0.9048374165069203,-1.696976986745113e-16,0.9048374165069203,-0.9048374165069203,1.820886752129683e-06
2196707.090793235,1e-15,0.9048374160482968,-1.6969769858849877e-16,0.9048374160482967,-0.9048374160482967,1.8208867512067535e-06
2855592.3019901062,1e-15,0.9048374154521128,-1.6969769847668748e-16,0.9048374154521128,-0.9048374154521128,1.820886750006998e-06
3712105.0090663573,1e-15,0.9048374146771081,-1.6969769833133924e-16,0.9048374146771081,-0.9048374146771081,1.8208867484473854e-06
4825522.042741279,1e-15,0.9048374136696467,-1.6969769814239492e-16,0.9048374136696467,-0.9048374136696467,1.820886746419979e-06
6272899.858196244,1e-15,0.904837412360005,-1.6969769789677825e-16,0.904837412360005,-0.904837412360005,1.8208867437844678e-06
8154407.395185153,1e-15,0.9048374106575466,-1.6969769757749074e-16,0.9048374106575466,-0.9048374106575466,1.8208867403584558e-06
10600258.488068825,1e-15,0.904837408444449,-1.6969769716243545e-16,0.904837408444449,-0.904837408444449,1.820886735904838e-06
13779723.598335568,1e-15,0.9048374055675501,-1.6969769662288755e-16,0.9048374055675501,-0.9048374055675501,1.820886730115392e-06
17912844.546220023,1e-15,0.9048374018277477,-1.6969769592150646e-16,0.9048374018277477,-0.9048374018277477,1.8208867225894472e-06
23285662.984981965,1e-15,0.9048373969662207,-1.6969769500975155e-16,0.9048373969662207,-0.9048373969662207,1.8208867128061535e-06
30270016.537634615,1e-15,0.9048373906465164,-1.6969769382452285e-16,0.9048373906465165,-0.9048373906465165,1.8208867000884368e-06
39349272.63095845,1e-15,0.904837382431266,-1.6969769228379403e-16,0.904837382431266,-0.904837382431266,1.8208866835561401e-06
51151780.992931455,1e-15,0.9048373717519154,-1.6969769028093563e-16,0.9048373717519154,-0.9048373717519154,1.8208866620651103e-06
66494359.966650456,1e-15,0.9048373578693766,-1.6969768767733541e-16,0.9048373578693766,-0.9048373578693766,1.820886634128013e-06
86438826.20598261,1e-15,0.9048373398228786,-1.6969768429280565e-16,0.9048373398228786,-0.9048373398228786,1.8208865978114012e-06
112365480.01387516,1e-15,0.9048373163634744,-1.6969767989311258e-16,0.9048373163634744,-0.9048373163634744,1.8208865506019053e-06
146068632.03649858,1e-15,0.9048372858676054,-1.6969767417376597e-16,0.9048372858676053,-0.9048372858676053,1.8208864892322901e-06
