gamma_phi_s_inv,t_probe_s,eta_ent,H_eff_m4_s2,H_eff_over_H0,chiral_response_proxy,near_field_proxy_dimless
189880782.44652614,1e-15,0.9048372462247389,-1.6969766673894612e-16,0.9048372462247389,-0.9048372462247389,1.8208864094553392e-06
246834046.7068651,1e-15,0.9048371946913056,-1.6969765707411035e-16,0.9048371946913056,-0.9048371946913056,1.8208863057499172e-06
320869999.7370444,1e-15,0.904837127700824,-1.6969764451038303e-16,0.904837127700824,-0.904837127700824,1.8208861709388691e-06
417112461.20565164,1e-15,0.9048370406170758,-1.696976281782648e-16,0.9048370406170759,-0.9048370406170759,1.8208859956923104e-06
542222100.6501592,1e-15,0.9048369274132471,-1.6969760694745706e-16,0.9048369274132471,-0.9048369274132471,1.8208857678819345e-06
704857403.6451889,1e-15,0.9048367802548312,-1.696975793486376e-16,0.9048367802548313,-0.9048367802548313,1.82088547174165e-06
916273901.1886731,1e-15,0.9048365889574285,-1.6969754347177352e-16,0.9048365889574285,-0.9048365889574285,1.8208850867764619e-06
1191103133.2830079,1e-15,0.9048363402819177,-1.6969749683393435e-16,0.9048363402819177,-0.9048363402819177,1.8208845863440804e-06
1548365256.585496,1e-15,0.9048360170182232,-1.6969743620745715e-16,0.9048360170182232,-0.9048360170182232,1.820883935811103e-06
2012785375.8499384,1e-15,0.90483559679427,-1.696973573965719e-16,0.90483559679427,-0.90483559679427,1.8208830901561648e-06
2616504698.7488236,1e-15,0.904835050527701,-1.696972549470291e-16,0.904835050527701,-0.904835050527701,1.8208819908541903e-06
3401304938.279246,1e-15,0.9048343404132152,-1.6969712176863503e-16,0.9048343404132152,-0.9048343404132152,1.8208805618261283e-06
4421499907.374487,1e-15,0.9048334173062441,-1.6969694864457343e-16,0.9048334173062441,-0.9048334173062441,1.8208787041738874e-06
5747694424.835359,1e-15,0.9048322173219226,-1.6969672359355976e-16,0.9048322173219226,-0.9048322173219226,1.8208762893361345e-06
7471670675.868067,1e-15,0.9048306574140134,-1.6969643104069058e-16,0.9048306574140135,-0.9048306574140135,1.8208731501913613e-06
9712740198.471169,1e-15,0.9048286296278761,-1.69696050739617e-16,0.9048286296278761,-0.9048286296278761,1.8208690694926125e-06
12626001098.748577,1e-15,0.9048259936298477,-1.6969555637146758e-16,0.9048259936298477,-0.9048259936298477,1.8208637648336749e-06
16413071953.751266,1e-15,0.9048225669961868,-1.696949137235887e-16,0.9048225669961868,-0.9048225669961868,1.8208568691066374e-06
21336045265.01411,1e-15,0.9048181125898025,-1.696940783221137e-16,0.9048181125898025,-0.9048181125898025,1.8208479050989318e-06
27735626141.98418,1e-15,0.9048123221516403,-1.6969299235461003e-16,0.9048123221516404,-0.9048123221516404,1.8208362524727846e-06
36054711542.50499,1e-15,0.9048047949719705,-1.6969158066998673e-16,0.9048047949719706,-0.9048047949719706,1.8208211048435073e-06
46869041923.14192,1e-15,0.9047950101668959,-1.696897455790932e-16,0.9047950101668959,-0.9047950101668959,1.8208014139889873e-06
60927046613.68687,1e-15,0.9047822906438048,-1.6968736009662152e-16,0.9047822906438048,-0.9047822906438048,1.8207758173340883e-06
79201640501.9254,1e-15,0.9047657562659659,-1.6968425915736205e-16,0.9047657562659659,-0.9047657562659659,1.8207425436994968e-06
102957556731.25127,1e-15,0.9047442629817503,-1.696802282001958e-16,0.9047442629817503,-0.9047442629817503,1.8206992908059118e-06
133838875317.37592,1e-15,0.904716323717329,-1.6967498833191843e-16,0.904716323717329,-0.904716323717329,1.8206430660792142e-06
173982805293.03622,1e-15,0.9046800055775632,-1.69668177047785e-16,0.9046800055775632,-0.9046800055775632,1.8205699797784544e-06
226167594922.28647,1e-15,0.9046327962736048,-1.6965932318067958e-16,0.9046327962736048,-0.9046327962736048,1.8204749761959467e-06
294004806433.4714,1e-15,0.9045714305887261,-1.6964781435565585e-16,0.9045714305887261,-0.9045714305887261,1.8203514844386514e-06
382189262063.31146,1e-15,0.904491664966637,-1.6963285471511167e-16,0.904491664966637,-0.904491664966637,1.8201909648117132e-06
496823959473.4388,1e-15,0.9043879847811004,-1.696134100186803e-16,0.9043879847811004,-0.9043879847811004,1.8199823197304444e-06
645842443019.6991,1e-15,0.9042532242962218,-1.6958813636869749e-16,0.9042532242962218,-0.9042532242962218,1.8197111289318e-06
839557861999.5104,1e-15,0.904078073469269,-1.6955528771355505e-16,0.904078073469269,-0.904078073469269,1.819358656968766e-06
1091376714651.2738,1e-15,0.9038504382287259,-1.6951259587107297e-16,0.9038504382287259,-0.9038504382287259,1.8189005658396181e-06
1418726674116.599,1e-15,0.903554611246526,-1.694571150110098e-16,0.903554611246526,-0.903554611246526,1.8183052462573557e-06
1844262708585.5327,1e-15,0.9031701979969757,-1.6938502024282427e-16,0.9031701979969757,-0.9031701979969757,1.81753165646025e-06
2397434967801.0786,1e-15,0.9026707274574535,-1.6929134705959112e-16,0.9026707274574535,-0.9026707274574535,1.8165265263983145e-06
3116526944929.4365,1e-15,0.9020218575058989,-1.6916965476934199e-16,0.9020218575058989,-0.9020218575058989,1.8152207462912077e-06
4051304969235.378,1e-15,0.9011790612711287,-1.690115925817236e-16,0.9011790612711287,-0.9011790612711287,1.8135247106602295e-06
5266462393484.259,1e-15,0.9000846519187401,-1.6880634162158407e-16,0.9000846519187401,-0.9000846519187401,1.8113223310339933e-06
6846096838574.672,1e-15,0.8986639695738683,-1.6853989980554716e-16,0.8986639695738683,-0.8986639695738683,1.8084633625457666e-06
8899530352885.225,1e-15,0.8968205162128559,-1.6819416941545645e-16,0.8968205162128559,-0.8968205162128559,1.8047536134328322e-06
11568875283162.785,1e-15,0.8944297851769958,-1.6774579985476635e-16,0.8944297851769958,-0.8944297851769958,1.79994252760494e-06
15038869469554.133,1e-15,0.8913314976509844,-1.6716473163919035e-16,0.8913314976509844,-0.8913314976509844,1.7937075614027443e-06
19549661430912.594,1e-15,0.8873199411468979,-1.6641238442804798e-16,0.8873199411468979,-0.8873199411468979,1.78563474084907e-06
25413430367026.29,1e-15,0.8821321269761129,-1.6543943601778902e-16,0.8821321269761129,-0.8821321269761129,1.7751948298509587e-06
33035991201283.46,1e-15,0.8754335836354418,-1.6418315796313956e-16,0.8754335836354418,-0.8754335836354418,1.761714740936553e-06
42944879887892.72,1e-15,0.8668018457936578,-1.6256431901971128e-16,0.8668018457936578,-0.8668018457936578,1.7443443086387405e-06
55825862688626.77,1e-15,0.8557081881208076,-1.6048375941571847e-16,0.8557081881208076,-0.8557081881208076,1.7220195308160717e-06
72570396123242.31,1e-15,0.8414990484559286,-1.57818906860678e-16,0.8414990484559286,-0.8414990484559286,1.6934251848010484e-06
94337322162997.73,1e-15,0.8233801130579388,-1.544207918143961e-16,0.8233801130579388,-0.8233801130579388,1.6569628007008646e-06
122633068417756.44,1e-15,0.800408490572017,-1.5011257975379244e-16,0.8004084905720171,-0.8004084905720171,1.6107349123571035e-06
159415903745599.62,1e-15,0.7715020857016271,-1.4469132915786137e-16,0.7715020857016271,-0.7715020857016271,1.5525639208397702e-06
207231464521902.94,1e-15,0.7354803435976502,-1.379356329125737e-16,0.7354803435976504,-0.7354803435976504,1.4800740880928262e-06
269388930959017.53,1e-15,0.6911565459905782,-1.2962292798545883e-16,0.6911565459905782,-0.6911565459905782,1.3908772728479766e-06
350190046143170.56,1e-15,0.6375069843648302,-1.1956122300211262e-16,0.6375069843648302,-0.6375069843648302,1.2829133732128176e-06
455226827550731.0,1e-15,0.5739420605585903,-1.076399417978256e-16,0.5739420605585903,-0.5739420605585903,1.154995887101621e-06
591768574818883.1,1e-15,0.5006897782273966,-9.390184530945599e-17,0.5006897782273966,-0.5006897782273966,1.0075836470385868e-06
769264957487913.0,1e-15,0.41925960965171727,-7.86300274581165e-17,0.4192596096517172,-0.4192596096517172,8.437143015869475e-07
1000000000000000.0,1e-15,0.33287108369807955,-6.242829466195346e-17,0.33287108369807955,-0.33287108369807955,6.698668019419247e-07
