length_m,eta_ent,H_eff_m4_s2,chiral_response_proxy,near_field_proxy_dimless,far_field_proxy_dimless,near_far_proxy_ratio,score_0_100,status
1e-10,0.9890602787753687,-1.854932721576584e-16,-0.9890602787753687,1.9907111545536037e-06,0.0,1.9907111545536035e+24,99.9999758472417,CANON-CANDIDATE
1.0807067528039548e-10,0.9882623623706163,-1.8534362695604432e-16,-0.9882623623706163,1.989105164381489e-06,0.0,1.9891051643814888e+24,99.9999758472417,CANON-CANDIDATE
1.1679270855560683e-10,0.9874007724451132,-1.851820401064162e-16,-0.9874007724451132,1.9873710166129894e-06,0.0,1.9873710166129892e+24,99.9999758472417,CANON-CANDIDATE
1.2621866881430853e-10,0.9864704909097829,-1.8500757049145003e-16,-0.9864704909097829,1.9854986111903893e-06,0.0,1.9854986111903892e+24,99.9999758472417,CANON-CANDIDATE
1.3640536771754916e-10,0.9854661147737166,-1.8481920480742247e-16,-0.9854661147737166,1.983477073352564e-06,0.0,1.9834770733525637e+24,99.9999758472417,CANON-CANDIDATE
1.4741420201106196e-10,0.9843818284037316,-1.8461585236163068e-16,-0.9843818284037316,1.9812946978009625e-06,0.0,1.9812946978009624e+24,99.9999758472417,CANON-CANDIDATE
1.59311523572561e-10,0.9832113740901782,-1.8439633955215776e-16,-0.9832113740901782,1.9789388894565297e-06,0.0,1.9789388894565296e+24,99.9999758472417,CANON-CANDIDATE
1.7216903932435378e-10,0.9819480208704472,-1.8415940402087854e-16,-0.9819480208704472,1.976396100709848e-06,0.0,1.9763961007098478e+24,99.9999758472417,CANON-CANDIDATE
1.8606424342159879e-10,0.9805845315716454,-1.8390368847247954e-16,-0.9805845315716453,1.973651765086947e-06,0.0,1.973651765086947e+24,99.9999758472417,CANON-CANDIDATE
2.0108088432108064e-10,0.9791131280468437,-1.8362773415469245e-16,-0.9791131280468437,1.970690227279263e-06,0.0,1.9706902272792628e+24,99.9999758472417,CANON-CANDIDATE
2.173094695455827e-10,0.9775254545956962,-1.833299739980154e-16,-0.9775254545956962,1.967494669519223e-06,0.0,1.967494669519223e+24,99.9999758472417,CANON-CANDIDATE
2.348478111861566e-10,0.975812539580695,-1.830087254170351e-16,-0.9758125395806949,1.964047034324139e-06,0.0,1.964047034324139e+24,99.9999758472417,CANON-CANDIDATE
2.538016154301076e-10,0.97396475527557,-1.8266218278019646e-16,-0.97396475527557,1.9603279436818826e-06,0.0,1.9603279436818824e+24,99.9999758472417,CANON-CANDIDATE
2.742851196678697e-10,0.9719717760131518,-1.8228840956064502e-16,-0.9719717760131518,1.9563166148138358e-06,0.0,1.9563166148138356e+24,99.9999758472417,CANON-CANDIDATE
2.9642178101870763e-10,0.9698225347373121,-1.8188533018776246e-16,-0.9698225347373121,1.9519907727256884e-06,0.0,1.951990772725688e+24,99.9999758472417,CANON-CANDIDATE
3.203450204250925e-10,0.9675051781083877,-1.81450721627415e-16,-0.9675051781083877,1.947326559846782e-06,0.0,1.947326559846782e+24,99.9999758472417,CANON-CANDIDATE
3.4619902680051825e-10,0.9650070203649272,-1.8098220472895637e-16,-0.9650070203649272,1.9422984431662717e-06,0.0,1.9422984431662716e+24,99.9999758472417,CANON-CANDIDATE
3.741396260774774e-10,0.9623144962079657,-1.8047723538891095e-16,-0.9623144962079657,1.936879119401895e-06,0.0,1.9368791194018948e+24,99.9999758472417,CANON-CANDIDATE
4.0433522039347646e-10,0.9594131130487215,-1.7993309559526996e-16,-0.9594131130487215,1.9310394188874905e-06,0.0,1.9310394188874903e+24,99.9999758472417,CANON-CANDIDATE
4.369678030757054e-10,0.9562874030481942,-1.793468844327596e-16,-0.9562874030481942,1.924748209041662e-06,0.0,1.9247482090416618e+24,99.9999758472417,CANON-CANDIDATE
4.722340555418254e-10,0.9529208754792949,-1.7871550914859866e-16,-0.9529208754792949,1.917972298485616e-06,0.0,1.9179722984856158e+24,99.9999758472417,CANON-CANDIDATE
5.103465327280486e-10,0.9492959700606792,-1.7803567640049397e-16,-0.9492959700606792,1.9106763431167733e-06,0.0,1.910676343116773e+24,99.9999758472417,CANON-CANDIDATE
5.515349441892867e-10,0.9453940120482933,-1.7730388383428615e-16,-0.9453940120482933,1.902822755720185e-06,0.0,1.9028227557201848e+24,99.9999758472417,CANON-CANDIDATE
5.960475385927144e-10,0.9411951700277954,-1.765164121681309e-16,-0.9411951700277954,1.8943716210160766e-06,0.0,1.8943716210160763e+24,99.9999758472417,CANON-CANDIDATE
6.441525999493224e-10,0.936678417530489,-1.7566931799376062e-16,-0.936678417530489,1.8852806184030924e-06,0.0,1.885280618403092e+24,99.9999758472417,CANON-CANDIDATE
6.961400646014571e-10,0.931821499799228,-1.747584275435975e-16,-0.9318214997992279,1.8755049550670396e-06,0.0,1.8755049550670394e+24,99.9999758472417,CANON-CANDIDATE
7.52323268712176e-10,0.9266009072607931,-1.7377933171563122e-16,-0.9266009072607931,1.8649973125879488e-06,0.0,1.8649973125879487e+24,99.9999758472417,CANON-CANDIDATE
8.130408367887929e-10,0.9209918575191565,-1.7272738269634647e-16,-0.9209918575191565,1.8537078106973788e-06,0.0,1.8537078106973786e+24,99.9999758472417,CANON-CANDIDATE
8.786587226230266e-10,0.9149682879710962,-1.7159769257581874e-16,-0.9149682879710962,1.8415839924156457e-06,0.0,1.8415839924156454e+24,99.9999758472417,CANON-CANDIDATE
9.495724149488018e-10,0.908502861462468,-1.7038513440851952e-16,-0.908502861462468,1.8285708354363672e-06,0.0,1.828570835436367e+24,99.9999758472417,CANON-CANDIDATE
1.0262093211115291e-09,0.9015669877498981,-1.6908434623834868e-16,-0.9015669877498981,1.8146107953230548e-06,0.0,1.8146107953230548e+24,99.9999758472417,CANON-CANDIDATE
1.1090313431155915e-09,0.8941308639073835,-1.6768973867668876e-16,-0.8941308639073835,1.7996438868366835e-06,0.0,1.7996438868366833e+24,99.9999758472417,CANON-CANDIDATE
1.1985376615762597e-09,0.8861635372173468,-1.661955066973054e-16,-0.8861635372173468,1.7836078105183957e-06,0.0,1.7836078105183956e+24,99.9999758472417,CANON-CANDIDATE
1.2952677443553302e-09,0.8776329945061281,-1.6459564639076892e-16,-0.8776329945061281,1.766438132497714e-06,0.0,1.766438132497714e+24,99.9999758472417,CANON-CANDIDATE
1.3998045980139518e-09,0.8685062823171087,-1.6288397750231801e-16,-0.8685062823171087,1.7480685263685737e-06,0.0,1.7480685263685736e+24,99.9999758472417,CANON-CANDIDATE
1.5127782816797032e-09,0.8587496627497118,-1.6105417265867924e-16,-0.8587496627497118,1.7284310868511342e-06,0.0,1.7284310868511341e+24,99.9999758472417,CANON-CANDIDATE
1.6348697045064186e-09,0.8483288102144344,-1.59099794268482e-16,-0.8483288102144344,1.7074567258065064e-06,0.0,1.7074567258065062e+24,99.9999758472417,CANON-CANDIDATE
1.7668147296146927e-09,0.8372090547427202,-1.5701434015379932e-16,-0.8372090547427202,1.6850756619537973e-06,0.0,1.685075661953797e+24,99.9999758472417,CANON-CANDIDATE
1.909408609248092e-09,0.8253556778198886,-1.5479129903212317e-16,-0.8253556778198885,1.66121801630188e-06,0.0,1.66121801630188e+24,99.9999758472417,CANON-CANDIDATE
2.0635107778764208e-09,0.8127342669462985,-1.5242421701252444e-16,-0.8127342669462985,1.6358145257852353e-06,0.0,1.635814525785235e+24,99.9999758472417,CANON-CANDIDATE
