E,R_over_a,C_mm,C_ml,C_ll,lambda_min,lambda_max,sector_nm,sector_nl,sector_action,d_action_dlogE,d2_action_dlogE2,d_lambdamin_dlogE,d2_lambdamin_dlogE2
49.99999999999999,49.99999999999999,0.9440559731197724,-0.9279210562010757,13.370529865278918,0.8751475185683206,13.439438319830371,2,3,56.487970002788224,0.004137949277313805,-0.006059074079767791,5.560178309863594e-06,-8.1625878420415e-06
50.69894823361403,50.69894823361403,0.94405597490525,-0.9279210177000062,13.370542578411538,0.8751475957556059,13.439450957561181,2,3,56.48802744646239,0.004053836241155295,-0.008965713507266188,5.446863958979975e-06,-1.2077612668094358e-05
51.40766703989351,51.40766703989351,0.9440559765971107,-0.9279209806721754,13.37055477458536,0.8751476697967953,13.439463081385675,2,3,56.48808255479529,0.003889022337489223,-0.011631525427343359,5.22485160558972e-06,-1.566686851283425e-05
52.126293001328555,52.126293001328555,0.9440559782005595,-0.9279209450639712,13.370566474779153,0.8751477408200584,13.439474712159655,2,3,56.48813542252348,0.003730894845830335,-0.01115960621598519,5.01188400647834e-06,-1.5028590884492613e-05
52.85496460969108,52.85496460969108,0.9440559797204964,-0.9279209108235366,13.370577699123182,0.8751478089483474,13.43948586989533,2,3,56.48818614055409,0.0035791834582141746,-0.010706767378438509,4.807592997480015e-06,-1.4416297261796347e-05
53.5938222927246,53.5938222927246,0.9440559811615354,-0.9279208779007282,13.370588466933341,0.8751478742996092,13.439496573795267,2,3,56.48823479611873,0.003433628728998883,-0.01027224192639388,4.611625314510093e-06,-1.3828931337539116e-05
54.34300844120709,54.34300844120709,0.9440559825280228,-0.9279208462470715,13.370598796743922,0.8751479369869889,13.439506842284956,2,3,56.488281472921265,0.0032939816451289516,-0.00985529327885823,4.423642121054172e-06,-1.3265478007533664e-05
55.10266743639215,55.10266743639215,0.9440559838240514,-0.9279208158157194,13.370608706339064,0.8751479971190252,13.43951669304409,2,3,56.488326251279574,0.0031600032116330112,-0.009455214312180993,4.243318336705215e-06,-1.2724965801844568e-05
55.87294567783391,55.87294567783391,0.9440559850534773,-0.9279207865614069,13.370618212782993,0.8751480547998376,13.439526143036634,2,3,56.48836920826198,0.003031464048262933,-0.009071326279051606,4.0703420971510695e-06,-1.2206462662119646e-05
56.65399161160061,56.65399161160061,0.9440559862199346,-0.9279207584404107,13.370627332448977,0.875148110129306,13.439535208539606,2,3,56.4884104178178,0.0029081440050049423,-0.008702977236131892,3.904414199951134e-06,-1.1709072230760563e-05
57.44595575888287,57.44595575888287,0.944055987326847,-0.9279207314105045,13.3706360810472,0.8751481632032434,13.439543905170805,2,3,56.48844995090306,0.002789831802374465,-0.008349541200543917,3.745247667552576e-06,-1.1231935642355912e-05
58.24899074500169,58.24899074500169,0.9440559883774426,-0.9279207054309184,13.370644473651478,0.8751482141135611,13.43955224791536,2,3,56.48848787560102,0.0026763246703467303,-0.00801041751109538,3.5925671433290063e-06,-1.077423024408434e-05
59.063251328822076,59.063251328822076,0.9440559893747635,-0.9279206804622967,13.370652524724928,0.8751482629484275,13.439560251151264,2,3,56.48852425723792,0.0025674280063867627,-0.007685029329618065,3.4461084901238337e-06,-1.0335164989169057e-05
59.88889443257772,59.88889443257772,0.9440559903216791,-0.9279206564666566,13.370660248144585,0.8751483097924204,13.439567928673842,2,3,56.48855915849405,0.0024629550559893687,-0.007372822797454756,3.3056183141866313e-06,-9.91398120463234e-06
60.72607917211268,60.72607917211268,0.9440559912208946,-0.9279206334073474,13.370667657225065,0.8751483547266725,13.439575293719287,2,3,56.4885926395105,0.002362726594128617,-0.007073266322981386,3.1708535424002093e-06,-9.509950543942392e-06
61.57496688754576,61.57496688754576,0.9440559920749616,-0.9279206112490114,13.370674764741265,0.8751483978290133,13.439582358987213,2,3,56.488624757991545,0.002266570625579334,-0.00678584965620202,3.0415810030604007e-06,-9.122377162327572e-06
62.43572117436362,62.43572117436362,0.9440559928862878,-0.9279205899575439,13.370681582950128,0.875148439174101,13.439589136662315,2,3,56.48865556930289,0.0021743220920598105,-0.0065100828814503575,2.917576942707001e-06,-8.750589655316296e-06
63.30850791494842,63.30850791494842,0.9440559936571442,-0.9279205695000547,13.370688123611595,0.8751484788335536,13.439595638435186,2,3,56.48868512656614,0.0020858226005202596,-0.00624549571309975,2.7986268307245155e-06,-8.393945793245587e-06
64.19349531054625,64.19349531054625,0.9440559943896748,-0.9279205498448313,13.370694398008645,0.8751485168760722,13.439601875522246,2,3,56.48871348074926,0.002000920149839658,-0.005991636709378176,2.684524744722694e-06,-8.051831625542229e-06
65.09085391368261,65.09085391368261,0.9440559950859025,-0.9279205309613001,13.3707004169666,0.875148553367558,13.439607858684944,2,3,56.48874068075369,0.0019194688809420768,-0.0057480726008367344,2.5750732000062726e-06,-7.723652779465513e-06
66.00075666103056,66.00075666103056,0.9440559957477369,-0.9279205128199915,13.370706190871598,0.8751485883712288,13.439613598248107,2,3,56.48876677349771,0.0018413288221381663,-0.0055143875533018305,2.470082776540039e-06,-7.408842009728632e-06
66.9233789067389,66.9233789067389,0.9440559963769821,-0.927920495392504,13.370711729688356,0.875148621947727,13.439619104117611,2,3,56.48879180399655,0.0017663656597051158,-0.005290182242470021,2.369371738808468e-06,-7.106857279102317e-06
67.85889845622586,67.85889845622586,0.9440559969753411,-0.9279204786514696,13.370717042977208,0.8751486541552242,13.439624385797327,2,3,56.48881581543932,0.0016944505089213635,-0.005075073509952226,2.27276571607149e-06,-6.817176640027311e-06
68.80749560044534,68.80749560044534,0.9440559975444224,-0.9279204625705197,13.370722139910477,0.8751486850495218,13.439629452405377,2,3,56.488838849262876,0.0016254596941962518,-0.004868693544333266,2.1800974643326754e-06,-6.5392972109389784e-06
69.76935315063207,69.76935315063207,0.9440559980857457,-0.9279204471242529,13.37072702928814,0.8751487146841482,13.439634312689737,2,3,56.4888609452226,0.001559274542842104,-0.004670689397994358,2.091206575016713e-06,-6.272738503216733e-06
70.74465647353263,70.74465647353263,0.9440559986007473,-0.9279204322882016,13.370731719552918,0.8751487431104505,13.439638975043215,2,3,56.488882141460415,0.0014957811786189268,-0.004480722274634509,2.005939144567037e-06,-6.017041269548102e-06
71.73359352712879,71.73359352712879,0.9440559990907846,-0.9279204180388013,13.370736218804735,0.8751487703776848,13.439643447517835,2,3,56.48890247457006,0.0014348703352879966,-0.004298466931442646,1.9241475150977294e-06,-5.7717634092185e-06
72.73635489686026,72.73635489686026,0.9440559995571401,-0.9279204043533611,13.370740534814578,0.8751487965330981,13.43964773783862,2,3,56.48892197965971,0.0013764371667548403,-0.004123611269626598,1.8456900576779844e-06,-5.536479200353114e-06
73.75313383235395,73.75313383235395,0.9440560000010273,-0.9279203912100317,13.370744675037846,0.8751488216220145,13.439651853416859,2,3,56.48894069041218,0.0013203810719915055,-0.003955855883995177,1.7704309343002933e-06,-5.310782115030226e-06
74.78412628466641,74.78412628466641,0.9440560004235924,-0.9279203785877786,13.370748646627096,0.8751488456879093,13.439655801362779,2,3,56.48895863914245,0.0012666055176850932,-0.003794913284962627,1.6982398030052082e-06,-5.094282516005919e-06
75.82953094404715,75.82953094404715,0.9440560008259207,-0.9279203664663536,13.37075245644433,0.8751488687724879,13.439659588497763,2,3,56.488975856853216,0.0012150178847605275,-0.003640507390805861,1.628991643798372e-06,-4.8866048416027605e-06
76.88954927822957,76.88954927822957,0.9440560012090379,-0.9279203548262661,13.37075611107277,0.8751488909157549,13.439663221366054,2,3,56.48899237328795,0.001165529305126256,-0.0034923736095575225,1.5625665419349843e-06,-4.687390292861626e-06
77.96438557125752,77.96438557125752,0.9440560015739156,-0.927920343648759,13.370759616828149,0.8751489121560856,13.43966670624598,2,3,56.489008216981944,0.0011180545059232827,-0.003350257897222854,1.4988494392298435e-06,-4.496295042106366e-06
79.05424696285421,79.05424696285421,0.9440560019214717,-0.927920332915781,13.370762979769534,0.8751489325302905,13.439670049160714,2,3,56.48902341531115,0.001072511672418841,-0.0032139163073620775,1.4377299670798038e-06,-4.312987289871597e-06
80.1593434883417,80.1593434883417,0.9440560022525762,-0.9279203226099625,13.370766205709769,0.8751489520736806,13.439673255888664,2,3,56.48903799453933,0.001028822304760979,-0.003083114884627855,1.3791022794862329e-06,-4.137149056338301e-06
81.27988811911845,81.27988811911845,0.9440560025680527,-0.9279203127145921,13.370769300225424,0.8751489708201278,13.439676331973349,2,3,56.489051979862964,0.0009869110838280903,-0.0029576291406419597,1.3228648363394768e-06,-3.968478228688034e-06
82.41609680370254,82.41609680370254,0.9440560028686802,-0.9279203032135918,13.370772268666393,0.8751489888021233,13.43967928273295,2,3,56.489065395454574,0.0009467057425354142,-0.002837243431599759,1.2689201795978988e-06,-3.8066819071999405e-06
83.56818850934877,83.56818850934877,0.9440560031551969,-0.9279202940914948,13.370775116165076,0.8751490060508339,13.439682113269438,2,3,56.48907826450426,0.000908136948964966,-0.002721750974648919,1.2171749013134558e-06,-3.6514797322023166e-06
84.73638526424745,84.73638526424745,0.9440560034283025,-0.9279202853334245,13.370777847645215,0.8751490225961568,13.439684828477361,2,3,56.48909060925952,0.0008711381772172899,-0.0026109534711761286,1.1675393274401813e-06,-3.5026035001936475e-06
85.92091220031314,85.92091220031314,0.9440560036886589,-0.9279202769250718,13.370780467830352,0.8751490384667696,13.439687433052242,2,3,56.489102451063474,0.0008356456010005786,-0.0025046603943276353,1.119927496517903e-06,-3.3597943487295747e-06
87.12199759657145,87.12199759657145,0.944056003936894,-0.927920268852676,13.370782981251947,0.8751490536901823,13.439689931498659,2,3,56.48911381039149,0.0008015979842639354,-0.0024026889890088575,1.0742569216404263e-06,-3.2228069790920266e-06
88.33987292315246,88.33987292315246,0.9440560041736029,-0.9279202611030027,13.370785392257181,0.8751490682927826,13.439692328138001,2,3,56.4891247068865,0.000768936574786494,-0.0023048639606872007,1.0304484518997015e-06,-3.091403770144721e-06
89.57477288589892,89.57477288589892,0.9440560043993493,-0.9279202536633271,13.370787705016436,0.875149082299883,13.439694627115902,2,3,56.489135159392696,0.0007376050034508808,-0.00221101709048855,9.884261977788356e-07,-2.9653561858886276e-06
90.82693547159852,90.82693547159852,0.9440560046146679,-0.9279202465214135,13.37078992353046,0.8751490957357638,13.439696832409364,2,3,56.48914518598792,0.0007075491885188967,-0.0021209868502949127,9.481173535164089e-07,-2.844446183019075e-06
92.09660199384747,92.09660199384747,0.9440560048200656,-0.927920239665498,13.370792051637272,0.8751491086237168,13.43969894783362,2,3,56.489154804014866,0.0006787172455915425,-0.002034618361797323,9.094520834196373e-07,-2.7284656990869644e-06
93.38401713955656,93.38401713955656,0.9440560050160234,-0.9279202330842712,13.370794093018748,0.8751491209860826,13.43970097704869,2,3,56.48916403011079,0.0006510593930215691,-0.001951762946077476,8.723633584395429e-07,-2.617212685748193e-06
94.68942901610609,94.68942901610609,0.9440560052029972,-0.9279202267668611,13.370796051206987,0.8751491328442923,13.439702923565692,2,3,56.48917288023627,0.000624527874379055,-0.0018722779843879274,8.367869526182403e-07,-2.5104949475546223e-06
96.01308919916067,96.01308919916067,0.9440560053814201,-0.9279202207028165,13.370797929590369,0.8751491442189032,13.439704790752886,2,3,56.48918136970261,0.000599076867729309,-0.0017960266397118,8.026611730826971e-07,-2.408127582760374e-06
97.35525278115227,97.35525278115227,0.9440560055517023,-0.9279202148820925,13.370799731419412,0.8751491551296342,13.439706581841481,2,3,56.4891895131982,0.0005746624158291525,-0.0017228776028904366,7.699269275462939e-07,-2.3099327274020564e-06
98.71617842044097,98.71617842044097,0.944056005714234,-0.927920209295034,13.370801459812355,0.8751491655954008,13.439708299931187,2,3,56.489197324813865,0.0005512423424534063,-0.001652704838751684,7.385274614080117e-07,-2.2157416026540337e-06
100.09612839116286,100.09612839116286,0.9440560058693853,-0.9279202039323617,13.370803117760547,0.8751491756343471,13.439709947995585,2,3,56.48920481806706,0.0005287761896397569,-0.001585387348616657,7.084083684105735e-07,-2.12539016419913e-06
101.49536863377496,101.49536863377496,0.9440560060175073,-0.9279201987851582,13.3708047081336,0.8751491852638775,13.43971152888723,2,3,56.48921200592526,0.00050722514060908,-0.0015208092767619655,6.795174485318967e-07,-2.0387228130591552e-06
