Species,Predicted mass (kg),Ref mass (kg),% Error
H,1.6573362031770725e-27,1.6735576934604897e-27,-0.97% 🩷🡇
He,6.753663808268563e-27,6.646476991348174e-27,1.61% 🟢🡅
Li,1.1849991413360053e-26,1.1524141126186498e-26,2.83% 🟡🡅
Be,1.5226823317494333e-26,1.496511018118414e-26,1.75% 🟢🡅
B,1.8603655221628616e-26,1.7950427316149283e-26,3.64% 🟡🡅
C,2.026099142480569e-26,1.994473473582507e-26,1.59% 🟢🡅
N,2.363782332893997e-26,2.325867255218392e-26,1.63% 🟢🡅
O,2.701465523307425e-26,2.656696453571437e-26,1.69% 🟢🡅
F,3.2110982838165744e-26,3.154692119816874e-26,1.79% 🟢🡅
Ne,3.376831904134281e-26,3.3509678375568226e-26,0.77% 🩷🡅
Na,3.886464664643431e-26,3.817540956980222e-26,1.81% 🟢🡅
Mg,4.052198284961138e-26,4.035940202766034e-26,0.40% 🩷🡅
Al,4.5618310454702873e-26,4.480389877170523e-26,1.82% 🟢🡅
Si,4.727564665787994e-26,4.663623970157749e-26,1.37% 🟢🡅
P,5.237197426297143e-26,5.1433141858344745e-26,1.83% 🟢🡅
S,5.40293104661485e-26,5.323688249359353e-26,1.49% 🟢🡅
Cl,5.912563807124e-26,5.886610993131287e-26,0.44% 🩷🡅
Ar,6.766095707824591e-26,6.633521465546083e-26,2.00% 🟢🡅
K,6.587930187950856e-26,6.492425461008321e-26,1.47% 🟢🡅
Ca,6.753663808268562e-26,6.655108473419344e-26,1.48% 🟢🡅
Sc,7.607195708969153e-26,7.464953376480028e-26,1.91% 🟢🡅
Ti,8.116828469478303e-26,7.948502352841052e-26,2.12% 🟢🡅
V,8.626461229987452e-26,8.45911811599701e-26,1.98% 🟢🡅
Cr,8.792194850305159e-26,8.634138933677134e-26,1.83% 🟢🡅
Mn,9.301827610814308e-26,9.122669527239679e-26,1.96% 🟢🡅
Fe,9.467561231132016e-26,9.273280420632346e-26,2.10% 🟢🡅
Co,9.977193991641165e-26,9.786054884575631e-26,1.95% 🟢🡅
Ni,9.970978041863151e-26,9.746201946963458e-26,2.31% 🟢🡅
Cu,1.082450994256374e-25,1.0552061556262928e-25,2.58% 🟡🡅
Zn,1.099024356288145e-25,1.0856604421182608e-25,1.23% 🟢🡅
Ga,1.1843775463582038e-25,1.1577776538056212e-25,2.30% 🟢🡅
Ge,1.2353408224091189e-25,1.2060495244883648e-25,2.43% 🟢🡅
As,1.2691091414504617e-25,1.2441090799079895e-25,2.01% 🟢🡅
Se,1.3372673745109487e-25,1.3113443067378584e-25,1.98% 🟢🡅
Br,1.3538407365427196e-25,1.3268371362345906e-25,2.04% 🟢🡅
Kr,1.4219989696032066e-25,1.3914985275103401e-25,2.19% 🟢🡅
Rb,1.4385723316349772e-25,1.4192295299321434e-25,1.36% 🟢🡅
Sr,1.489535607685892e-25,1.4549643306577245e-25,2.38% 🟢🡅
Y,1.5061089697176626e-25,1.4763188630615803e-25,2.02% 🟢🡅
Zr,1.5398772887590054e-25,1.51481015863867e-25,1.65% 🟢🡅
Nb,1.5736456078003485e-25,1.542740425748534e-25,2.00% 🟢🡅
Mo,1.6246088838512633e-25,1.593287234953306e-25,1.97% 🟢🡅
Tc,1.6583772028926061e-25,1.6273282858303698e-25,1.91% 🟢🡅
Ru,1.7093404789435212e-25,1.6783068351926068e-25,1.85% 🟢🡅
Rh,1.743108797984864e-25,1.7088607540286058e-25,2.00% 🟢🡅
Pd,1.7940720740357788e-25,1.7671456752864078e-25,1.52% 🟢🡅
