selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate,grid_label
M_Lcert2,g001_nc48_nt8_ns256_tf0p24_of3p2,48,8,256,0.24,3.2,16.371637,137.15470540383689,61.16977167431899,171271.4882601924,0.00035715093210021644,0.00017857546605010822,137.15488397930292,1.3020002888294096e-06,PASS_SUBLEADING_CORRECTION,D1_ultra_paired_48_64_80
M_Lcert2,g002_nc64_nt10_ns384_tf0p2_of3p8,64,10,384,0.2,3.8,16.371637,137.15470540383689,-111.88097809237976,274195.1995151437,-0.0004080340512533321,-0.00020401702562666604,137.15450138681126,1.4874956351366907e-06,PASS_SUBLEADING_CORRECTION,D1_ultra_paired_48_64_80
M_Lcert2,g003_nc80_nt12_ns512_tf0p16_of4p4,80,12,512,0.16,4.4,16.371637,137.15470540383689,1380.636449089094,394272.8626459202,0.00350172832039162,0.00175086416019581,137.15645626799707,1.2765614967715352e-05,PASS_SUBLEADING_CORRECTION,D1_ultra_paired_48_64_80
M_Lcert2,g001_nc64_nt10_ns384_tf0p2_of3p0,64,10,384,0.2,3.0,16.371637,137.15470540383689,-171.05302100739965,274195.1995151437,-0.000623836672960981,-0.0003119183364804905,137.1543934855004,2.2742080598845034e-06,PASS_SUBLEADING_CORRECTION,D2_ultra_outer_anchored
M_Lcert2,g002_nc64_nt10_ns384_tf0p2_of3p8,64,10,384,0.2,3.8,16.371637,137.15470540383689,-111.88097809237976,274195.1995151437,-0.0004080340512533321,-0.00020401702562666604,137.15450138681126,1.4874956351366907e-06,PASS_SUBLEADING_CORRECTION,D2_ultra_outer_anchored
M_Lcert2,g003_nc64_nt10_ns384_tf0p2_of4p6,64,10,384,0.2,4.6,16.371637,137.15470540383689,-77.99657184365769,274195.1995151437,-0.00028445637261913465,-0.00014222818630956732,137.15456317565057,1.036990935825294e-06,PASS_SUBLEADING_CORRECTION,D2_ultra_outer_anchored
M_Lcert2,g004_nc64_nt10_ns384_tf0p2_of5p4,64,10,384,0.2,5.4,16.371637,137.15470540383689,-57.361837891264855,274195.1995151437,-0.00020920073725833694,-0.00010460036862916847,137.15460080346827,7.626451336188885e-07,PASS_SUBLEADING_CORRECTION,D2_ultra_outer_anchored
M_Lcert2,g001_nc64_nt10_ns384_tf0p28_of4p0,64,10,384,0.28,4.0,16.371637,137.15470540383689,-322.1586091820108,274195.1995151437,-0.0011749243230796172,-0.0005874621615398086,137.15411794167534,4.283208219580153e-06,PASS_SUBLEADING_CORRECTION,D3_ultra_tube_anchored
M_Lcert2,g002_nc64_nt10_ns384_tf0p22_of4p0,64,10,384,0.22,4.0,16.371637,137.15470540383689,-151.1190028837591,274195.1995151437,-0.000551136574057391,-0.0002755682870286955,137.15442983554985,2.0091785128137972e-06,PASS_SUBLEADING_CORRECTION,D3_ultra_tube_anchored
M_Lcert2,g003_nc64_nt10_ns384_tf0p18_of4p0,64,10,384,0.18,4.0,16.371637,137.15470540383689,-44.52684320261224,274195.1995151437,-0.00016239103850595692,-8.119551925297846e-05,137.15462420831764,5.919995162681967e-07,PASS_SUBLEADING_CORRECTION,D3_ultra_tube_anchored
M_Lcert2,g004_nc64_nt10_ns384_tf0p14_of4p0,64,10,384,0.14,4.0,16.371637,137.15470540383689,963.2765447612962,274195.1995151437,0.003513105066991134,0.001756552533495567,137.15646195637038,1.2807089106593843e-05,PASS_SUBLEADING_CORRECTION,D3_ultra_tube_anchored
