quantity,n,median,mean,std,p16,p84,min,max
C_A_obs,163,5.222423949099946e+32,1.8225106576629512e+33,3.342243729081947e+33,6.517879681365301e+31,3.573524892684747e+33,1.8662210927774046e+30,2.0275989409558603e+34
f_A_obs,163,5.36980448792713e-35,6.614089847556058e-35,4.2101121092266356e-35,3.200377687284054e-35,1.0468862007159448e-34,1.7172753921103495e-35,3.142246483364957e-34
H_A_eff_AU,163,2.1523477897441935e-10,2.9709292609008023e-10,2.717654276032713e-10,7.6032153270235e-11,5.630128720455741e-10,1.2866426201453473e-11,1.341119305813994e-09
H_A_eff_pc,163,1.0434876549738561e-15,1.4403471512933508e-15,1.3175559735464908e-15,3.6861428109627074e-16,2.72956343008467e-15,6.237819449450843e-17,6.50192987458748e-15
C_Lambda_req,163,8.624693426559301e+57,8.624693426559301e+57,0.0,8.624693426559301e+57,8.624693426559301e+57,8.624693426559301e+57,8.624693426559301e+57
f_Lambda_req,163,1.2324393592247717e-09,8.432981480939073e-09,2.2834014132883014e-08,9.75506163779414e-11,9.997531078861609e-09,2.7019732863551632e-11,1.4807887018507812e-07
H_Lambda_eff_AU,163,874.6780333361735,874.6780333361731,3.4211154959522194e-13,874.6780333361735,874.6780333361735,874.6780333361735,874.6780333361735
H_Lambda_eff_pc,163,0.004240558771273597,0.004240558771273598,8.700346618530832e-19,0.004240558771273597,0.004240558771273597,0.004240558771273597,0.004240558771273597
C_A_over_C_Lambda,163,6.055199519344953e-26,2.1131309456758466e-25,3.875202936245454e-25,7.557230569255743e-27,4.143364541724185e-25,2.1638115124538486e-28,2.3509229147925114e-24
