Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,Mbar_kg,N_baryon,Rbar_kpc,Vflat_used_kms,A_chi_obs_m2_s2,C_A_obs,f_A_obs,H_A_eff_m,H_A_eff_AU,H_A_eff_pc,epsilon_g,R_tension,p_chi,Lambda_target,theta_rms_rad,epsilon_z,Lambda_local_LPV,C_Lambda_req,f_Lambda_req,H_Lambda_eff_m,H_Lambda_eff_AU,H_Lambda_eff_pc,C_A_over_C_Lambda
CamB,10,3.36,0.26,2,65.0,5.0,0.075,0.003,1.21,7.89,0.47,66.2,0.012,1.21,0.0,0.0,2,Bm03,1.063036062e+38,6.346758670115361e+64,0.47,17.2,295840000.0,2.54502132814906e+30,4.009954467203337e-35,2.2477474397157176,1.5025263589635554e-11,7.284453350532295e-17,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.3589130885297289e-07,130849971335155.17,874.6780333361735,0.004240558771273597,2.950854253337049e-28
D512-2,10,15.2,4.56,1,56.0,10.0,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0.0,0.0,0.0,2,Tr09,5.373442481e+38,3.208164226384725e+65,1.24,35.53333333333333,1262617777.7777774,2.865696937564959e+31,8.932513223596125e-35,7.542527952402664,5.0418685219980634e-11,2.444366837820177e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.6883578326906455e-08,130849971335155.17,874.6780333361735,0.004240558771273597,3.3226652772841664e-27
D564-8,10,8.79,0.28,2,63.0,7.0,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0.0,0.0,0.0,2,Tr09,1.095050429e+38,6.537897492765674e+64,0.61,23.633333333333336,558534444.4444445,6.23614881611084e+30,9.538462209007214e-35,3.5185200790694644,2.3519854009990694e-11,1.140274700174247e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.3191845598837716e-07,130849971335155.17,874.6780333361735,0.004240558771273597,7.23057447689322e-28
D631-7,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,"Tr09,dB01",9.61822939e+38,5.742475063102881e+65,0.7,57.7,3329290000.0,4.265661024587304e+31,7.428262165203731e-35,9.202269944352842,6.151337516565898e-11,2.982252585153504e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.50191221237956e-08,130849971335155.17,874.6780333361735,0.004240558771273597,4.945869741237897e-27
DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",7.141192311e+38,4.263582942758192e+65,0.69,46.1,2125210000.0,2.6840315466590685e+31,6.295248814657088e-35,7.299541912446554,4.879442386639902e-11,2.3656204252287906e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.02287454996239e-08,130849971335155.17,874.6780333361735,0.004240558771273597,3.112031250170274e-27
DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",7.799773575000002e+38,4.65678280649598e+65,0.37,47.0,2209000000.0,1.4960086836300754e+31,3.2125369504955605e-35,5.449653072334786,3.642868074815978e-11,1.7661122811479428e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.8520712227609762e-08,130849971335155.17,874.6780333361735,0.004240558771273597,1.7345644762551135e-27
DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,4.1891892878e+39,2.501116790250437e+66,1.22,66.3,4395690000.0,9.81575165583789e+31,3.924547503779317e-35,13.959298030516022,9.331214385069467e-11,4.523900395247784e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.448336942992458e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.138098616422792e-26
DDO168,10,4.25,0.21,2,63.0,6.0,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,"Sa96,Br92",1.2821455713e+39,7.654931767496603e+65,1.02,53.4,2851560000.0,5.323770927691412e+31,6.954694162391532e-35,10.280434696376828,6.872046138272226e-11,3.3316619850503294e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.1266845595123886e-08,130849971335155.17,874.6780333361735,0.004240558771273597,6.172707439428667e-27
DDO170,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",2.4836984535e+39,1.4828692324930027e+66,1.95,60.0,3600000000.0,1.2849131879513945e+32,8.665047192267897e-35,15.971242058219167,1.0676115898900402e-10,5.175927048897947e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,5.8162198240902535e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.489807375639081e-26
ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,5.9739007669e+40,3.5666623026314027e+67,5.08,175.0,30625000000.0,2.847583607058949e+33,7.98388904090546e-35,75.18652979746253,5.025909088521707e-10,2.4366294861280818e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.41814130263922e-10,130849971335155.17,874.6780333361735,0.004240558771273597,3.3016635678782057e-25
