Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,Mbar_kg,N_baryon,Rbar_kpc,Vflat_used_kms,A_chi_obs_m2_s2,C_A_obs,f_A_obs,H_A_eff_m,H_A_eff_AU,H_A_eff_pc,epsilon_g,R_tension,p_chi,Lambda_target,theta_rms_rad,epsilon_z,Lambda_local_LPV,C_Lambda_req,f_Lambda_req,H_Lambda_eff_m,H_Lambda_eff_AU,H_Lambda_eff_pc,C_A_over_C_Lambda
F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",1.03908096391e+40,6.203736968471366e+66,17.63,112.3,12611290000.0,4.069569776856728e+33,6.559868346351717e-34,89.88268725359899,6.008286537302899e-10,2.912899513310686e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.3902416350647553e-09,130849971335155.17,874.6780333361735,0.004240558771273597,4.718509488493466e-25
F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",1.48181977482e+40,8.847068165959573e+66,15.55,139.7,19516090000.0,5.554690684526075e+33,6.278566617016226e-34,105.01026116189306,7.019502394688366e-10,3.40315079552607e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.748645839244358e-10,130849971335155.17,874.6780333361735,0.004240558771273597,6.440450007672957e-25
F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",1.5819114007400002e+40,9.444655978191012e+66,12.6,97.8,9564840000.0,2.2058954717055153e+33,2.335601716779548e-34,66.1750477164843,4.423528717811109e-10,2.1445872411757496e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.131823802237883e-10,130849971335155.17,874.6780333361735,0.004240558771273597,2.5576508782475366e-25
F579-V1,5,89.5,8.95,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,"dB01,dB96",1.77169694295e+40,1.0577753037210504e+67,15.16,112.1,12566410000.0,3.486961087785426e+33,3.2965045369455748e-34,83.20038750628362,5.561602388922479e-10,2.6963409270410965e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,8.153615797437589e-10,130849971335155.17,874.6780333361735,0.004240558771273597,4.042997142423067e-25
F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",6.6028737126e+39,3.942184793268176e+66,16.26,85.8,7361640000.0,2.1909465939979375e+33,5.557696325497681e-34,65.95043952846869,4.408514587799457e-10,2.1373081855361433e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.1877953162640053e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.5403182300382177e-25
F583-4,5,53.3,10.7,1,55.0,10.0,1.715,0.185,3.31,24.94,1.93,83.34,0.641,7.8,0.0,0.0,1,"KN08,dB96",3.4003433541e+39,2.0301436080541286e+66,7.29,67.16666666666667,4511361111.111112,6.0196576714037885e+32,2.965138844130129e-34,34.56906997420717,2.3107995997838202e-10,1.1203072602776364e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,4.24831691331727e-09,130849971335155.17,874.6780333361735,0.004240558771273597,6.979561328947139e-26
IC4202,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,2.113108890376e+41,1.2616121550626877e+68,25.9,242.6,58854760000.0,2.7900888376222193e+34,2.2115265982702775e-34,235.34816384743274,1.5732053053040731e-09,7.627114552055191e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.836247884858681e-11,130849971335155.17,874.6780333361735,0.004240558771273597,3.2350005961142735e-24
NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",5.6543735226e+39,3.375891511254516e+66,11.27,106.3,11299690000.0,2.3309186652078814e+33,6.904601813882604e-34,68.02450000876615,4.54715696757348e-10,2.2045239080321737e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.5547898674487546e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.7026104580482095e-25
NGC0100,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",8.476251069e+39,5.0606674491396845e+66,9.62,88.1,7761610000.0,1.366669691863743e+33,2.7005720205860936e-34,52.0875080053757,3.48183485243789e-10,1.6880411718258914e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.7042600631712131e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.5846008945142952e-25
NGC0801,5,80.7,8.07,1,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,"Sa96,Br92",3.721269089351e+41,2.2217493555426304e+68,59.82,220.1,48444010000.0,5.304240024296623e+34,2.3874160292042207e-34,324.49901486742704,2.1691419359715996e-09,1.0516296868274567e-14,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.881938079578217e-11,130849971335155.17,874.6780333361735,0.004240558771273597,6.150062108831008e-24
NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,1.493429655762e+41,8.916383888315234e+67,17.11,216.1,46699210000.0,1.4625011551539146e+34,1.6402402290804202e-34,170.392277345091,1.1390020228749886e-09,5.522037635012312e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.672860135443261e-11,130849971335155.17,874.6780333361735,0.004240558771273597,1.6957137869390434e-24
NGC1003,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",2.2331313488e+40,1.3332704558335867e+67,30.24,109.8,12056040000.0,6.673030986663797e+33,5.005009266849528e-34,115.09683181962637,7.693747997953715e-10,3.7300342884170634e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.468825127582216e-10,130849971335155.17,874.6780333361735,0.004240558771273597,7.7371225348306765e-25
NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,9.48577541483e+40,5.663394640024869e+67,30.09,164.4,27027360000.0,1.488546783478997e+34,2.6283649261504767e-34,171.90283649593061,1.149099487122116e-09,5.570991523127529e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.5228840606667362e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.7259126902935395e-24
NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,"Da06,Fr02",1.84433972899e+40,1.1011460084978281e+67,20.87,131.2,17213440000.0,6.575469893128629e+33,5.971478661670687e-34,114.25236413558883,7.637298819894823e-10,3.702666954606724e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.832470317287911e-10,130849971335155.17,874.6780333361735,0.004240558771273597,7.624004202723087e-25
NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",2.1288808378749998e+41,1.2710286507124732e+68,63.64,284.8,81111040000.0,9.448150778932467e+34,7.433467981729854e-34,433.0870583903579,2.895008173337309e-09,1.4035395693578544e-14,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.785601112708783e-11,130849971335155.17,874.6780333361735,0.004240558771273597,1.0954767099126528e-23
NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",8.81402451402e+40,5.262331966209983e+67,24.96,184.6,34077160000.0,1.556842392601946e+34,2.9584648072348984e-34,175.8021260900321,1.175164628128842e-09,5.697358892728629e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.6389489454370066e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.8050988198696195e-24
NGC2955,3,97.9,9.8,1,56.0,7.0,319.422,4.413,7.22,974.61,18.76,50.68,28.949,40.34,0.0,0.0,1,SG06,3.941409421499e+41,2.3531821085457347e+68,35.43,243.0,59049000000.0,3.8293086608777253e+34,1.6272895527172931e-34,275.71601033849737,1.843047692111953e-09,8.935347360732307e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.6651194122368016e-11,130849971335155.17,874.6780333361735,0.004240558771273597,4.4399359739391614e-24
NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,"Sa96,Br92",2.1205209123009998e+41,1.266037434326222e+68,42.28,209.9,44058010000.0,3.409545812802074e+34,2.693084517375756e-34,260.1657147702869,1.7391003866092254e-09,8.431396602510358e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.812352615109927e-11,130849971335155.17,874.6780333361735,0.004240558771273597,3.9532371113650865e-24
NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",1.4543868427e+39,8.683282377308412e+65,6.45,66.2,4382440000.0,5.173832540821484e+32,5.958383380853768e-34,32.04852029010335,2.1423112601898383e-10,1.0386218081350444e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.932526724108133e-09,130849971335155.17,874.6780333361735,0.004240558771273597,5.998859652087959e-26
NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",6.68031865369e+40,3.988422580384708e+67,44.08,150.1,22530010000.0,1.8177729848998192e+34,4.557623843169807e-34,189.9641378562435,1.269831829606673e-09,6.156318437016682e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.1624322028904458e-10,130849971335155.17,874.6780333361735,0.004240558771273597,2.107637796494981e-24
NGC3521,4,7.7,2.3,1,75.0,5.0,84.836,0.156,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,"Da06,Sa96",9.53328592854e+40,5.69176035362477e+67,17.74,213.7,45667690000.0,1.4828572138738694e+34,2.6052699371461047e-34,171.57399579670965,1.1469013228188257e-09,5.560334521851912e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.5152945469790743e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.7193158533699143e-24
NGC3741,10,3.21,0.17,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,"Ge07,Bm05",5.091676282e+38,3.0399383184993254e+65,7.0,50.1,2510010000.0,3.2159565037363474e+32,1.0579018936554983e-33,25.267186250608017,1.6890070782677266e-10,8.188537390350388e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.8371277713348164e-08,130849971335155.17,874.6780333361735,0.004240558771273597,3.7287777601844655e-26
NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",7.35240162899e+40,4.389683516208182e+67,19.05,174.0,30276000000.0,1.055674791273266e+34,2.404899549991158e-34,144.76609980302234,9.677016064843116e-10,4.691549780552708e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.96476429216686e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.2240142797683332e-24
NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",2.68324937188e+40,1.6020092660846146e+67,14.86,135.9,18468810000.0,5.02336109069318e+33,3.135662943430102e-34,99.86170970650932,6.67534298711842e-10,3.236297606253607e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,5.383672622342849e-10,130849971335155.17,874.6780333361735,0.004240558771273597,5.824393798420704e-25
NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",1.479760912982e+41,8.834775921427142e+67,15.68,220.8,48752640000.0,1.3992034616929397e+34,1.5837452745116332e-34,166.66416623017776,1.1140811393258539e-09,5.40121778211273e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.762209594520304e-11,130849971335155.17,874.6780333361735,0.004240558771273597,1.6223225481663666e-24
NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",1.74808783864e+40,1.0436797059488319e+67,8.72,132.7,17609290000.0,2.810573875452087e+33,2.692946753139109e-34,74.69633630272916,4.993141677298563e-10,2.4207433968725595e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,8.263735873563245e-10,130849971335155.17,874.6780333361735,0.004240558771273597,3.2587522088577307e-25
NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",2.695225330149e+41,1.6091594014086893e+68,46.02,241.0,58081000000.0,4.892348365883213e+34,3.0403130737702906e-34,311.6452310740516,2.0832196983539793e-09,1.00997341051889e-14,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,5.359750823323704e-11,130849971335155.17,874.6780333361735,0.004240558771273597,5.672489587650127e-24
NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",1.284225113226e+41,7.667347480585279e+67,21.48,171.7,29480890000.0,1.1590750084246914e+34,1.5117027255639842e-34,151.69021589730235,1.0139864637612276e-09,4.915945100913218e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.1248601225388762e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.3439028509180158e-24
NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",6.72553447302e+40,4.015418267889338e+67,22.76,158.2,25027240000.0,1.042610010692879e+34,2.59651657968104e-34,143.86751554081144,9.616949416968635e-10,4.66242864788477e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.1478941547707752e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.20886616964519e-24
NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",1.267661158126e+41,7.568453915822726e+67,29.61,184.7,34114090000.0,1.8488806308629614e+34,2.4428775697473207e-34,191.58267590577339,1.280651088209462e-09,6.208771682917624e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.1395581610833865e-10,130849971335155.17,874.6780333361735,0.004240558771273597,2.143705914426394e-24
NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",2.00477147706e+40,1.1969303025987593e+67,21.02,110.6,12232360000.0,4.7063003528892715e+33,3.931975272637859e-34,96.6588488398273,6.461244962080019e-10,3.132499954616458e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.205677229353689e-10,130849971335155.17,874.6780333361735,0.004240558771273597,5.456774078944605e-25
NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",9.15828832512e+40,5.467871496430161e+67,16.72,181.3,32869690000.0,1.0059318423314735e+34,1.8397137587966756e-34,141.31428856257017,9.446276735178836e-10,4.579684196761421e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.5773401829560464e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.1663392454435053e-24
NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,3.46334404911e+40,2.067757591395929e+67,20.97,121.2,14689440000.0,5.638198278014911e+33,2.7267211115441253e-34,105.79666331385691,7.072070131667784e-10,3.428636353598659e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,4.1710370028127085e-10,130849971335155.17,874.6780333361735,0.004240558771273597,6.537273847499748e-25
NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,1.81074850528e+41,1.08109067849142e+68,11.47,262.2,68748840000.0,1.443329429838993e+34,1.3350678703964498e-34,169.27176868739514,1.1315118851313645e-09,5.485724422497274e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.977770596074704e-11,130849971335155.17,874.6780333361735,0.004240558771273597,1.673484909497576e-24
